Saved path: bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank, bookstore, burger_joint, dentist, clothing_store, toy_store, barber_shop, bakery, pet_store : 50761
Saved path: cafe, dentist, craft_shop, music_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, grocery_store : 44765
Saved path: salon, bakery, party_store, gym, bank, dentist, cafe, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store : 36323
Saved path: gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, burger_joint, gym, craft_shop, bank, florist : 35704
Saved path: burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bakery, pet_store, music_store, gelateria, bank, dentist, bookstore : 50271
Saved path: toy_store, noodle_house, grocery_store, bookstore, craft_shop, bank, music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, hardware_store, gym : 44821
Saved path: hardware_store, gym, florist, bank, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 41730
Saved path: florist, gelateria, party_store, barber_shop, bakery, salon, hardware_store, gym, toy_store, noodle_house, bookstore, dentist, craft_shop, pizzeria, bank : 40027
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, jewelry_store : 49814
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, jewelry_store, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, grocery_store : 35210
Saved path: pharmacy, party_store, pet_store, bakery, barber_shop, toy_store, tech_shop, grocery_store, cafe, bookstore, gym, craft_shop, bank, florist, gelateria : 44225
Saved path: bakery, salon, jewelry_store, barber_shop, music_store, florist, craft_shop, dentist, cafe, grocery_store, clothing_store, tech_shop, toy_store, hardware_store, pet_store : 49228
Saved path: salon, bike_shop, pet_store, bakery, gelateria, florist, bank, dentist, grocery_store, cafe, bookstore, burger_joint, noodle_house, toy_store, jewelry_store : 47156
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, party_store, pharmacy, gelateria, florist, craft_shop, dentist, cafe, clothing_store, toy_store : 44697
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, florist, gelateria, bakery, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store : 33047
Saved path: toy_store, grocery_store, dentist, pizzeria, bank, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store, gym, burger_joint, tech_shop : 51434
Saved path: florist, craft_shop, pizzeria, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, pet_store, bakery, pharmacy, gelateria, music_store : 43836
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bike_shop, jewelry_store : 40752
Saved path: gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, music_store : 47975
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, gelateria, florist, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store : 36356
Saved path: tech_shop, grocery_store, dentist, bookstore, pizzeria, bank, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, toy_store : 49739
Saved path: bike_shop, bakery, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, burger_joint, gym, craft_shop, bank, florist, music_store, gelateria, jewelry_store : 37271
Saved path: grocery_store, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, florist, bank, bookstore, burger_joint, tech_shop : 43552
Saved path: salon, bike_shop, bakery, party_store, gelateria, florist, bank, pizzeria, craft_shop, dentist, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store : 36925
Saved path: florist, craft_shop, pizzeria, cafe, grocery_store, noodle_house, toy_store, gym, bakery, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store : 36678
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, craft_shop, music_store, salon, pet_store, bakery, barber_shop, jewelry_store, hardware_store : 46969
Saved path: jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, craft_shop, pizzeria, florist, pharmacy, bike_shop, pet_store, bakery, barber_shop : 48180
Saved path: noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, party_store, gelateria, music_store, bank, craft_shop, dentist, bookstore, tech_shop : 38848
Saved path: pet_store, salon, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store, gym, hardware_store, jewelry_store : 52070
Saved path: gym, toy_store, noodle_house, burger_joint, cafe, dentist, bank, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, hardware_store : 40628
Saved path: bookstore, burger_joint, hardware_store, gym, florist, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 46267
Saved path: florist, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, bookstore, bank : 36935
Saved path: bike_shop, salon, party_store, pharmacy, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store, bakery, pet_store : 45567
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, bank, florist, music_store, party_store : 36988
Saved path: pet_store, bike_shop, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, bakery : 41149
Saved path: bank, music_store, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, gym, toy_store, dentist, bookstore, pizzeria : 48730
Saved path: tech_shop, burger_joint, gym, pet_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house : 48229
Saved path: pizzeria, bank, gelateria, barber_shop, jewelry_store, bakery, salon, hardware_store, gym, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore : 39919
Saved path: cafe, bookstore, pizzeria, bank, florist, gelateria, bakery, bike_shop, salon, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist : 36047
Saved path: noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store : 44072
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bike_shop, gelateria, music_store, florist, pizzeria, bookstore, cafe, grocery_store, clothing_store : 44638
Saved path: hardware_store, gym, toy_store, clothing_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, salon : 37687
Saved path: toy_store, gym, hardware_store, barber_shop, bakery, pet_store, salon, pharmacy, florist, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop : 50959
Saved path: bookstore, pizzeria, craft_shop, florist, gym, hardware_store, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, burger_joint : 44929
Saved path: burger_joint, gym, bank, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe : 49294
