Saved path: gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, salon, toy_store, clothing_store, cafe, bookstore : 59108
Saved path: barber_shop, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, burger_joint, gym, hardware_store, bakery, jewelry_store : 65182
Saved path: party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gelateria, bank, music_store, pharmacy : 66827
Saved path: burger_joint, cafe, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, dentist : 67047
Saved path: toy_store, gym, burger_joint, bookstore, dentist, florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 61475
Saved path: craft_shop, pizzeria, tech_shop, bookstore, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, pharmacy, music_store, pet_store : 51949
Saved path: gelateria, bank, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, party_store, bike_shop, gym, florist : 61413
Saved path: bakery, pharmacy, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store : 56698
Saved path: pizzeria, dentist, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist, craft_shop : 52297
Saved path: pet_store, florist, gelateria, pharmacy, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, hardware_store, gym : 55063
Saved path: music_store, florist, pizzeria, tech_shop, grocery_store, clothing_store, salon, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank : 65671
Saved path: toy_store, party_store, bike_shop, bakery, pharmacy, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, noodle_house, salon : 52750
Saved path: clothing_store, grocery_store, tech_shop, dentist, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, gym, burger_joint, bookstore : 56895
Saved path: dentist, pizzeria, craft_shop, florist, bank, music_store, bakery, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 51707
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, pet_store, florist, music_store, bank, party_store, hardware_store, burger_joint, bookstore, toy_store, salon, noodle_house : 65809
Saved path: gelateria, pharmacy, bakery, jewelry_store, barber_shop, toy_store, clothing_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist, bank : 63688
Saved path: noodle_house, clothing_store, toy_store, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, salon : 61115
