Saved path: florist, craft_shop, pizzeria, bookstore, dentist, clothing_store, noodle_house, toy_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store : 46936
Saved path: toy_store, noodle_house, clothing_store, cafe, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store, salon, bike_shop, bakery, barber_shop : 38560
Saved path: bookstore, pizzeria, craft_shop, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, dentist, cafe : 38490
Saved path: craft_shop, pizzeria, florist, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, jewelry_store, barber_shop, toy_store, burger_joint, grocery_store, dentist : 49603
Saved path: salon, pharmacy, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop : 43950
Saved path: dentist, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, florist, bank, pizzeria : 38748
Saved path: pizzeria, gym, florist, gelateria, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop : 38745
Saved path: florist, music_store, pharmacy, party_store, bike_shop, pet_store, jewelry_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym : 45371
Saved path: salon, bakery, pharmacy, music_store, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, toy_store, barber_shop, jewelry_store : 43474
Saved path: toy_store, gym, hardware_store, pet_store, bakery, party_store, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, noodle_house : 46783
Saved path: bakery, pet_store, bike_shop, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, burger_joint, tech_shop, toy_store, hardware_store : 46849
Saved path: pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bakery, salon, jewelry_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, gym : 34025
Saved path: bank, craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bakery, party_store, gelateria : 34112
Saved path: barber_shop, bakery, bike_shop, hardware_store, toy_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store : 43222
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, bank, craft_shop, pizzeria, gym, burger_joint, cafe : 44311
Saved path: pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, clothing_store, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store : 45485
Saved path: craft_shop, music_store, gelateria, pharmacy, party_store, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, pizzeria : 43267
Saved path: music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, grocery_store, cafe, dentist, craft_shop, gym, florist : 51186
Saved path: dentist, cafe, burger_joint, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, florist, bank, pizzeria, craft_shop : 38378
Saved path: pet_store, bakery, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, jewelry_store, bike_shop : 41870
Saved path: music_store, pharmacy, party_store, bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, bank : 45666
Saved path: grocery_store, burger_joint, bookstore, craft_shop, music_store, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 47515
Saved path: pharmacy, florist, gym, craft_shop, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 47847
Saved path: craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, pet_store, salon, party_store, pharmacy, music_store : 48618
Saved path: bike_shop, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, cafe, bookstore, pizzeria, gelateria, music_store, jewelry_store, salon : 47828
Saved path: noodle_house, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, music_store, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 39666
Saved path: pharmacy, gelateria, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, pet_store, bakery, salon, party_store : 45203
Saved path: clothing_store, grocery_store, dentist, cafe, bookstore, bank, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, hardware_store, gym, toy_store : 42030
Saved path: salon, bakery, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, bank, music_store, pharmacy, party_store : 35094
Saved path: tech_shop, burger_joint, bookstore, pizzeria, gym, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house : 47400
Saved path: pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, jewelry_store, bike_shop, pet_store, bakery, party_store, florist, craft_shop : 49692
Saved path: hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore, craft_shop, florist, music_store, jewelry_store, salon, bakery, pet_store : 43597
Saved path: pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, burger_joint, bookstore : 37419
Saved path: bookstore, cafe, dentist, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store : 40029
Saved path: grocery_store, dentist, craft_shop, pizzeria, bank, florist, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, gym, burger_joint, toy_store : 47574
Saved path: craft_shop, florist, music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, hardware_store, gym, pizzeria : 37410
Saved path: cafe, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, music_store, bank, craft_shop, gym, hardware_store, burger_joint : 43906
Saved path: jewelry_store, pharmacy, music_store, florist, pizzeria, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, bakery, pet_store : 49048
Saved path: florist, pizzeria, bookstore, cafe, grocery_store, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store, party_store, gelateria, music_store : 46164
Saved path: hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, pizzeria, bank, gelateria, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store : 38094
Saved path: bakery, salon, jewelry_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, grocery_store, toy_store, noodle_house, burger_joint, pet_store : 42952
Saved path: noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, bank, music_store, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store : 50803
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, bank, music_store, gelateria, jewelry_store, salon, bakery, pet_store, hardware_store, gym, toy_store : 49117
Saved path: noodle_house, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 30475
Saved path: pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, florist, music_store, gelateria : 43668
Saved path: toy_store, noodle_house, burger_joint, tech_shop, clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, gelateria, bike_shop, pet_store, bakery, barber_shop : 51366
Saved path: cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, bank, gym, hardware_store, burger_joint : 36015
Saved path: bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, barber_shop : 38749
Saved path: toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, hardware_store, burger_joint, bookstore, pizzeria, bank, dentist, cafe, clothing_store : 37773
Saved path: toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, burger_joint, cafe, grocery_store, clothing_store, tech_shop : 36934
Saved path: tech_shop, bookstore, burger_joint, gym, hardware_store, pet_store, bike_shop, pharmacy, music_store, florist, craft_shop, dentist, clothing_store, toy_store, noodle_house : 49889
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, gym, craft_shop, bank : 47744
Saved path: gelateria, music_store, florist, gym, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 52634
Saved path: pet_store, bakery, party_store, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, toy_store, gym, hardware_store : 45384
Saved path: gym, hardware_store, pharmacy, gelateria, music_store, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint : 37361
Saved path: clothing_store, grocery_store, dentist, burger_joint, bookstore, bank, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store : 38328
Saved path: noodle_house, burger_joint, jewelry_store, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, cafe, clothing_store : 44375
Saved path: pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria : 44007
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, party_store, gelateria, florist, craft_shop, gym, cafe, grocery_store, clothing_store, noodle_house, toy_store : 43634
Saved path: music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, toy_store, noodle_house, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist : 40582
Saved path: tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, bakery, pet_store, party_store, gelateria, music_store, florist, bank, dentist, cafe : 47160
Saved path: bakery, gelateria, music_store, florist, pizzeria, dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store : 51381
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, pet_store, bakery, salon, pharmacy, party_store, hardware_store, gym, bookstore, cafe, dentist : 48782
Saved path: bike_shop, salon, pharmacy, gelateria, music_store, florist, bookstore, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store : 41152
Saved path: toy_store, hardware_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe, grocery_store, tech_shop, noodle_house : 32883
Saved path: gym, bank, florist, music_store, gelateria, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint : 41627
Saved path: tech_shop, toy_store, barber_shop, pet_store, bakery, salon, music_store, gelateria, bank, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store : 48621
Saved path: tech_shop, grocery_store, dentist, burger_joint, hardware_store, gym, bank, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store : 44011
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bike_shop, pet_store, bakery, barber_shop, pharmacy, florist, bank : 50699
Saved path: florist, bank, craft_shop, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, bike_shop, salon, pharmacy : 33215
Saved path: burger_joint, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bike_shop, salon, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe : 41496
