Saved path: gym, hardware_store, bike_shop, bakery, party_store, pharmacy, gelateria, florist, bank, bookstore, dentist, grocery_store, clothing_store, noodle_house, burger_joint : 37542
Saved path: salon, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, pharmacy, party_store, bakery, pet_store : 45482
Saved path: clothing_store, cafe, burger_joint, hardware_store, gym, pizzeria, bank, pharmacy, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 33916
Saved path: party_store, pharmacy, gelateria, music_store, craft_shop, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, bakery, bike_shop, salon : 35045
Saved path: dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, gym, burger_joint, bookstore : 42767
Saved path: gelateria, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, bakery : 34255
Saved path: grocery_store, toy_store, gym, hardware_store, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe, dentist : 40218
Saved path: gym, hardware_store, pet_store, jewelry_store, party_store, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, tech_shop, bookstore, burger_joint : 50520
Saved path: clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, gelateria, florist, bank, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store : 39416
Saved path: music_store, pharmacy, salon, bakery, pet_store, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria : 52117
Saved path: cafe, dentist, craft_shop, bank, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, gym, burger_joint, bookstore : 50176
Saved path: toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym : 46513
Saved path: salon, music_store, florist, craft_shop, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 50871
Saved path: noodle_house, burger_joint, gym, hardware_store, bike_shop, bakery, barber_shop, music_store, bank, craft_shop, pizzeria, bookstore, cafe, clothing_store, toy_store : 41330
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, cafe, dentist, craft_shop, bank : 47252
Saved path: burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, florist, gelateria, pharmacy, pet_store, salon, jewelry_store, hardware_store : 41528
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, party_store, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, burger_joint : 46515
Saved path: bike_shop, pharmacy, music_store, gelateria, bank, craft_shop, dentist, cafe, bookstore, tech_shop, toy_store, gym, hardware_store, bakery, pet_store : 47944
Saved path: music_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, bookstore, burger_joint, gym, pizzeria, craft_shop, bank, florist : 45620
Saved path: dentist, craft_shop, music_store, gelateria, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, bookstore : 46902
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint, gym, pizzeria, craft_shop, bank, florist, music_store : 44116
Saved path: bike_shop, hardware_store, gym, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, bookstore, cafe, dentist, craft_shop, bank, pharmacy, bakery : 38463
Saved path: burger_joint, dentist, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, party_store, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore : 46748
Saved path: pharmacy, gelateria, music_store, florist, pizzeria, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, bike_shop, salon, party_store : 40115
Saved path: clothing_store, toy_store, hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, bank, pizzeria, bookstore, burger_joint, dentist : 35469
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, bank, craft_shop, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, bakery, pet_store : 44053
Saved path: toy_store, noodle_house, grocery_store, cafe, pizzeria, craft_shop, bank, music_store, gelateria, pharmacy, salon, bike_shop, bakery, jewelry_store, gym : 37432
Saved path: burger_joint, cafe, dentist, grocery_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, bank, bookstore : 52517
Saved path: craft_shop, florist, music_store, gelateria, pharmacy, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop, cafe, dentist : 48166
Saved path: noodle_house, tech_shop, clothing_store, dentist, pizzeria, bank, gelateria, music_store, pharmacy, party_store, bakery, barber_shop, hardware_store, gym, toy_store : 41896
