Saved path: toy_store, gym, bakery, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, clothing_store : 37642
Saved path: jewelry_store, party_store, gelateria, music_store, bank, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store, tech_shop, burger_joint, bakery, pet_store : 43142
Saved path: bakery, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, pizzeria, bank, music_store, gelateria, party_store, salon, bike_shop : 37879
Saved path: clothing_store, dentist, pizzeria, bank, florist, music_store, pharmacy, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 48627
Saved path: bookstore, cafe, tech_shop, toy_store, hardware_store, salon, pet_store, bakery, barber_shop, gelateria, music_store, florist, bank, craft_shop, pizzeria : 44900
Saved path: bakery, burger_joint, bookstore, tech_shop, noodle_house, toy_store, grocery_store, dentist, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop : 35216
Saved path: grocery_store, noodle_house, gym, pizzeria, bank, florist, music_store, gelateria, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store : 47820
Saved path: pizzeria, bookstore, cafe, dentist, grocery_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, gelateria, florist, craft_shop : 46990
Saved path: cafe, dentist, craft_shop, florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop : 45913
Saved path: bike_shop, bakery, barber_shop, pharmacy, florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store : 41050
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, bank, craft_shop, bookstore, grocery_store : 44820
Saved path: gym, burger_joint, noodle_house, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, bank : 46474
Saved path: burger_joint, bookstore, craft_shop, bank, gelateria, music_store, salon, bike_shop, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house : 37583
Saved path: hardware_store, gym, toy_store, grocery_store, dentist, pizzeria, bank, florist, gelateria, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store : 44057
Saved path: pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, hardware_store, pet_store, bike_shop, salon, pharmacy, gelateria, music_store, florist : 45513
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, pharmacy : 33657
Saved path: toy_store, gym, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, florist, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint : 50447
Saved path: bookstore, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, craft_shop, gym : 39701
Saved path: pharmacy, party_store, bakery, pet_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, gelateria : 43976
Saved path: toy_store, tech_shop, grocery_store, cafe, pizzeria, bank, florist, music_store, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store : 37131
Saved path: florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, bank : 43532
Saved path: music_store, florist, craft_shop, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, party_store : 43045
Saved path: music_store, florist, craft_shop, gym, bookstore, cafe, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria : 48133
Saved path: craft_shop, bank, florist, gelateria, pharmacy, party_store, salon, bike_shop, bakery, hardware_store, toy_store, clothing_store, tech_shop, cafe, gym : 32555
Saved path: bakery, bike_shop, party_store, pharmacy, music_store, florist, bank, craft_shop, gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, barber_shop : 39170
Saved path: party_store, hardware_store, gym, burger_joint, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store : 44415
Saved path: florist, music_store, pharmacy, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, hardware_store, gym, pizzeria : 47412
Saved path: burger_joint, hardware_store, salon, bike_shop, bakery, barber_shop, gelateria, music_store, florist, bank, craft_shop, grocery_store, clothing_store, toy_store, noodle_house : 39444
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, gelateria, music_store, florist : 38528
Saved path: pet_store, bike_shop, pharmacy, gelateria, bank, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, jewelry_store, bakery : 44549
Saved path: bakery, salon, jewelry_store, party_store, pharmacy, gelateria, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store : 40863
Saved path: toy_store, barber_shop, bakery, pet_store, music_store, florist, bank, craft_shop, pizzeria, gym, burger_joint, dentist, clothing_store, tech_shop, noodle_house : 51815
Saved path: tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, pizzeria, bookstore, cafe, burger_joint : 36326
Saved path: clothing_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist : 52543
Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 45267
Saved path: barber_shop, gelateria, pharmacy, party_store, salon, bakery, pet_store, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 43703
Saved path: dentist, craft_shop, florist, music_store, gelateria, pharmacy, barber_shop, bakery, bike_shop, hardware_store, toy_store, noodle_house, burger_joint, bookstore, cafe : 42354
Saved path: bakery, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, bookstore, florist, music_store, gelateria, pharmacy, party_store, salon, bike_shop : 37843
Saved path: toy_store, clothing_store, grocery_store, cafe, hardware_store, gym, pizzeria, craft_shop, florist, pharmacy, party_store, salon, bike_shop, bakery, barber_shop : 36609
Saved path: clothing_store, tech_shop, cafe, bookstore, craft_shop, bank, gelateria, music_store, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store : 44213
Saved path: jewelry_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store, toy_store, tech_shop, burger_joint, hardware_store, pet_store, bike_shop : 48069
