Saved path: burger_joint, clothing_store, toy_store, salon, hardware_store, party_store, jewelry_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, cafe, bookstore : 65020
Saved path: pet_store, bank, gelateria, florist, gym, bakery, bike_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, cafe, dentist, pizzeria : 58964
Saved path: gelateria, florist, gym, hardware_store, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store : 60598
Saved path: barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria : 57415
Saved path: jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, pizzeria, craft_shop, florist, gelateria, music_store : 62022
Saved path: bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, pizzeria, dentist, cafe, burger_joint, gym, florist : 69573
Saved path: gym, craft_shop, pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, clothing_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy : 52669
Saved path: hardware_store, gym, pet_store, gelateria, music_store, florist, craft_shop, dentist, grocery_store, cafe, burger_joint, toy_store, salon, barber_shop, bike_shop : 54792
Saved path: clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, music_store, gelateria, florist, craft_shop, hardware_store, burger_joint, bookstore, cafe : 55298
Saved path: grocery_store, cafe, bookstore, gym, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, toy_store : 61050
Saved path: gelateria, florist, pet_store, craft_shop, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, bank : 65503
Saved path: clothing_store, noodle_house, salon, toy_store, gym, hardware_store, party_store, bakery, bank, gelateria, florist, craft_shop, dentist, cafe, grocery_store : 58681
Saved path: bookstore, cafe, dentist, pizzeria, pet_store, music_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, barber_shop, noodle_house, clothing_store, tech_shop : 65895
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym, music_store, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop : 60213
Saved path: gym, party_store, bakery, pharmacy, gelateria, bank, music_store, florist, dentist, cafe, tech_shop, grocery_store, noodle_house, bookstore, burger_joint : 56948
Saved path: dentist, pizzeria, craft_shop, florist, bank, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, bookstore : 63278
Saved path: noodle_house, salon, burger_joint, jewelry_store, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store : 63673
Saved path: music_store, gelateria, pet_store, pizzeria, dentist, grocery_store, clothing_store, noodle_house, bookstore, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy : 57707
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, toy_store, noodle_house : 61837
Saved path: noodle_house, salon, toy_store, hardware_store, bike_shop, bakery, music_store, gelateria, florist, craft_shop, dentist, burger_joint, bookstore, grocery_store, clothing_store : 48229
Saved path: pizzeria, dentist, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, florist, gelateria, bank, pet_store, craft_shop : 70096
Saved path: grocery_store, noodle_house, salon, barber_shop, bike_shop, pharmacy, gelateria, florist, pet_store, craft_shop, gym, hardware_store, bookstore, dentist, tech_shop : 54274
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, hardware_store, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 63606
Saved path: salon, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, hardware_store : 51039
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, bank : 69506
Saved path: hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy, party_store, jewelry_store : 50083
Saved path: cafe, burger_joint, bookstore, pet_store, bank, gelateria, jewelry_store, bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop : 61163
Saved path: bookstore, dentist, pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, music_store, gym, burger_joint : 55281
