Saved path: clothing_store, bookstore, cafe, pizzeria, gym, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house : 69978
Saved path: cafe, bookstore, burger_joint, gym, pizzeria, pet_store, florist, pharmacy, bakery, jewelry_store, hardware_store, salon, noodle_house, clothing_store, grocery_store : 58278
Saved path: party_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist, craft_shop, florist, bank, pharmacy : 64658
Saved path: clothing_store, cafe, bookstore, burger_joint, gym, florist, bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 63212
Saved path: craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, jewelry_store, bakery, pharmacy, music_store, pet_store : 57372
Saved path: tech_shop, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, bakery, gym, florist, bank, pet_store, craft_shop, dentist, bookstore, burger_joint : 58387
Saved path: jewelry_store, party_store, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, florist, gelateria, bank, pet_store, gym : 64977
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist, tech_shop, burger_joint, gym, toy_store, barber_shop : 69547
Saved path: bike_shop, jewelry_store, music_store, bank, gelateria, florist, pizzeria, cafe, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bakery : 66812
Saved path: bike_shop, bakery, bank, pet_store, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, salon, hardware_store, jewelry_store : 69026
Saved path: craft_shop, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, hardware_store, gym, burger_joint, salon, noodle_house, grocery_store, dentist, pizzeria : 66807
Saved path: pet_store, craft_shop, pizzeria, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist : 68939
Saved path: cafe, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, hardware_store, toy_store, burger_joint, bookstore : 53009
Saved path: gym, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, burger_joint : 61674
Saved path: bookstore, cafe, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon, hardware_store, gym : 59823
Saved path: gelateria, florist, craft_shop, pizzeria, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bakery, party_store, jewelry_store, bike_shop : 57824
