Saved path: party_store, pharmacy, gelateria, bank, craft_shop, dentist, clothing_store, toy_store, noodle_house, bookstore, burger_joint, hardware_store, pet_store, bakery, salon : 43971
Saved path: clothing_store, cafe, burger_joint, bookstore, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop : 46435
Saved path: toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe, dentist, florist, music_store, salon, bakery, pet_store, barber_shop, hardware_store, gym : 52518
Saved path: burger_joint, toy_store, clothing_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym : 42126
Saved path: burger_joint, bookstore, pizzeria, craft_shop, bank, gelateria, music_store, pharmacy, barber_shop, bakery, pet_store, hardware_store, toy_store, clothing_store, noodle_house : 46587
Saved path: pizzeria, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 41246
Saved path: pet_store, bakery, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, pharmacy, party_store, salon, bike_shop : 43334
Saved path: pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, dentist, craft_shop, bank, pizzeria, gym, hardware_store, party_store : 46695
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, noodle_house, gym, pizzeria, bank, music_store, gelateria, party_store, bakery, pet_store, salon : 45382
Saved path: pet_store, jewelry_store, barber_shop, toy_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym, pizzeria, bank, florist, gelateria, bakery : 51267
Saved path: burger_joint, gym, hardware_store, pharmacy, music_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 38819
Saved path: hardware_store, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store, bank, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store : 41908
Saved path: pizzeria, bank, florist, gelateria, pharmacy, salon, bakery, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist : 45229
Saved path: party_store, pharmacy, music_store, florist, bank, craft_shop, gym, hardware_store, cafe, noodle_house, toy_store, barber_shop, pet_store, bakery, salon : 45652
Saved path: pizzeria, bookstore, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, music_store, florist : 37482
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, jewelry_store, gelateria, music_store, florist, bank, cafe, clothing_store : 44169
Saved path: cafe, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, florist, bank, bookstore : 37224
Saved path: bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, cafe, dentist, craft_shop, music_store, gelateria, pharmacy, party_store : 39126
Saved path: pet_store, bike_shop, hardware_store, gym, toy_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, bank, pharmacy, party_store, bakery : 46930
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop : 33110
Saved path: tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, florist, bank, craft_shop, bookstore, cafe, grocery_store : 34132
Saved path: cafe, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, pet_store, bakery, party_store, florist, bank, pizzeria : 43997
Saved path: craft_shop, music_store, gelateria, party_store, bakery, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist : 39159
Saved path: pizzeria, craft_shop, dentist, bookstore, noodle_house, toy_store, gym, hardware_store, salon, bike_shop, bakery, party_store, music_store, gelateria, bank : 39773
Saved path: grocery_store, dentist, cafe, bookstore, burger_joint, gym, bank, music_store, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 40707
