Saved path: hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, music_store, party_store, salon, bike_shop, bakery, jewelry_store : 40708
Saved path: salon, party_store, pharmacy, gelateria, florist, bank, craft_shop, dentist, burger_joint, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop : 47304
Saved path: burger_joint, hardware_store, gym, craft_shop, florist, gelateria, party_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, dentist, bookstore : 40786
Saved path: pet_store, bike_shop, salon, jewelry_store, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, bank, florist, gelateria, party_store, bakery : 46451
Saved path: bakery, pharmacy, music_store, florist, bank, pizzeria, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, hardware_store : 31694
Saved path: music_store, florist, craft_shop, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bakery, salon, party_store, pharmacy : 40366
Saved path: pharmacy, gelateria, bank, craft_shop, dentist, bookstore, clothing_store, noodle_house, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 52388
Saved path: toy_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, gelateria, music_store, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop : 46233
Saved path: gelateria, florist, craft_shop, pizzeria, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop : 43904
Saved path: bakery, barber_shop, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, bank, music_store, bike_shop : 43709
Saved path: pizzeria, florist, bank, craft_shop, gym, bakery, pet_store, bike_shop, salon, burger_joint, tech_shop, toy_store, clothing_store, dentist, bookstore : 42988
Saved path: barber_shop, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, gelateria, music_store, bike_shop, bakery : 43636
Saved path: hardware_store, bike_shop, salon, pharmacy, gelateria, music_store, florist, pizzeria, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint : 33488
Saved path: burger_joint, bookstore, pizzeria, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, hardware_store : 36487
Saved path: bakery, pet_store, bike_shop, gym, florist, bank, bookstore, burger_joint, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop : 47115
Saved path: bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, bakery, party_store, pharmacy, music_store, gelateria, bank, pizzeria : 37938
Saved path: craft_shop, dentist, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, pizzeria : 38684
Saved path: music_store, party_store, salon, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, craft_shop : 35840
Saved path: florist, craft_shop, cafe, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, gelateria : 41406
Saved path: pizzeria, craft_shop, dentist, bookstore, burger_joint, toy_store, gym, hardware_store, salon, bakery, barber_shop, party_store, pharmacy, florist, bank : 39459
Saved path: clothing_store, toy_store, gym, hardware_store, pet_store, bakery, barber_shop, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, grocery_store : 47794
Saved path: florist, bank, craft_shop, dentist, grocery_store, burger_joint, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, gelateria, music_store : 40134
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, pet_store, bakery, salon, burger_joint, bookstore, florist, bank, craft_shop, dentist, cafe : 44151
Saved path: bank, craft_shop, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, gelateria, music_store : 38640
Saved path: jewelry_store, pharmacy, gelateria, music_store, bank, gym, toy_store, noodle_house, grocery_store, cafe, burger_joint, hardware_store, pet_store, bakery, salon : 45210
Saved path: bakery, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store : 41193
Saved path: jewelry_store, bakery, party_store, pharmacy, music_store, gelateria, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, toy_store, gym, hardware_store : 39322
Saved path: jewelry_store, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint, toy_store, gym : 38476
Saved path: party_store, pharmacy, music_store, bank, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery : 37019
Saved path: craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, bookstore, dentist : 41585
Saved path: bakery, party_store, pharmacy, music_store, gelateria, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store : 34580
Saved path: cafe, bookstore, pizzeria, craft_shop, bank, florist, party_store, salon, bike_shop, bakery, barber_shop, toy_store, tech_shop, grocery_store, dentist : 38086
Saved path: florist, music_store, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, dentist, cafe, bookstore, pizzeria, gym, bank : 44120
Saved path: florist, bank, craft_shop, bookstore, tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, gelateria : 32588
Saved path: toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bakery, pharmacy, gelateria, florist, bank, craft_shop, cafe, grocery_store, clothing_store : 30780
Saved path: bike_shop, bakery, jewelry_store, party_store, music_store, florist, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym : 41121
Saved path: dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store, bakery, party_store, pharmacy, gelateria, craft_shop, pizzeria, bookstore, cafe : 43129
Saved path: toy_store, hardware_store, barber_shop, bakery, party_store, gelateria, music_store, florist, bank, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store : 35463
Saved path: bakery, bike_shop, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, party_store, barber_shop : 43842
Saved path: burger_joint, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, florist, bank, dentist, cafe, grocery_store, toy_store, tech_shop : 45780
Saved path: salon, party_store, pharmacy, music_store, craft_shop, pizzeria, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 45795
Saved path: florist, bank, bookstore, cafe, grocery_store, clothing_store, noodle_house, burger_joint, pet_store, bakery, jewelry_store, party_store, pharmacy, gelateria, music_store : 41275
Saved path: cafe, bookstore, pizzeria, bank, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, grocery_store, dentist : 39782
Saved path: toy_store, gym, hardware_store, jewelry_store, pet_store, salon, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist, burger_joint, tech_shop, noodle_house : 47049
Saved path: florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, hardware_store, pet_store, salon, music_store : 48651
Saved path: music_store, florist, pizzeria, gym, hardware_store, burger_joint, cafe, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, gelateria : 46850
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, bakery, pet_store : 40680
Saved path: toy_store, clothing_store, grocery_store, burger_joint, bookstore, pizzeria, bank, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store : 42073
Saved path: gelateria, music_store, florist, pizzeria, gym, burger_joint, cafe, dentist, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery : 41248
Saved path: music_store, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, craft_shop, pizzeria, florist : 46925
Saved path: bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, cafe, bookstore, bank, florist, music_store, gelateria : 38095
Saved path: bookstore, pizzeria, bank, gelateria, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store : 44540
Saved path: toy_store, hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store : 29712
Saved path: clothing_store, dentist, craft_shop, pizzeria, bank, gelateria, party_store, bakery, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store : 37057
Saved path: toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, pharmacy, gelateria, music_store, bike_shop, pet_store, bakery, barber_shop : 51463
