Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, bank, florist, music_store, pharmacy, salon, bakery, toy_store, noodle_house, tech_shop : 32985
Saved path: burger_joint, bookstore, pizzeria, florist, pharmacy, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, grocery_store, dentist : 48482
Saved path: clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, florist, bookstore : 37906
Saved path: barber_shop, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store : 39861
Saved path: bike_shop, party_store, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, bakery : 41008
Saved path: gym, pizzeria, florist, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, burger_joint, hardware_store : 43292
Saved path: bakery, pharmacy, music_store, craft_shop, pizzeria, burger_joint, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop : 36937
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, burger_joint, pizzeria, bank, florist, music_store, pharmacy, bakery : 44890
Saved path: toy_store, hardware_store, bike_shop, bakery, pharmacy, gelateria, music_store, florist, bank, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store : 40746
Saved path: party_store, pharmacy, gelateria, bank, pizzeria, bookstore, dentist, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 46930
Saved path: dentist, cafe, bookstore, florist, music_store, party_store, pet_store, bakery, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store : 47633
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, noodle_house, toy_store, barber_shop, bakery, pet_store, bike_shop : 45430
Saved path: toy_store, noodle_house, tech_shop, clothing_store, cafe, hardware_store, gym, craft_shop, bank, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop : 46968
Saved path: bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, bike_shop, pet_store, bakery, jewelry_store, gym, toy_store, clothing_store, noodle_house, burger_joint : 44659
Saved path: salon, party_store, pharmacy, music_store, florist, bank, craft_shop, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop, bakery : 35831
Saved path: bookstore, cafe, dentist, craft_shop, florist, music_store, party_store, jewelry_store, salon, pet_store, hardware_store, gym, toy_store, noodle_house, burger_joint : 49146
Saved path: jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank, gym, bike_shop, pet_store, bakery : 37855
Saved path: salon, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, burger_joint, bookstore, pizzeria, florist, bank, hardware_store : 30250
Saved path: tech_shop, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, music_store, gelateria, pizzeria, bookstore : 46836
Saved path: hardware_store, pet_store, bakery, barber_shop, pharmacy, gelateria, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym : 51936
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, music_store, florist, bank, gym, burger_joint, dentist : 52263
Saved path: bike_shop, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, dentist, bank, florist, music_store, gelateria, pharmacy : 42327
Saved path: florist, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bakery, salon, barber_shop, pharmacy, gelateria : 47172
Saved path: dentist, craft_shop, bank, pharmacy, jewelry_store, pet_store, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe : 47655
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, florist, craft_shop, dentist, grocery_store, bookstore, burger_joint : 50249
Saved path: bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, bank, craft_shop : 42340
Saved path: dentist, craft_shop, bank, florist, music_store, pharmacy, party_store, salon, bike_shop, pet_store, bakery, toy_store, tech_shop, clothing_store, grocery_store : 43464
Saved path: clothing_store, tech_shop, burger_joint, bookstore, pizzeria, craft_shop, gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 33349
Saved path: clothing_store, toy_store, noodle_house, burger_joint, gym, pet_store, jewelry_store, pharmacy, gelateria, music_store, florist, bookstore, cafe, dentist, grocery_store : 50613
Saved path: gym, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, dentist, craft_shop : 50664
Saved path: dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, hardware_store, gym, bank : 46719
Saved path: craft_shop, florist, music_store, gelateria, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store, noodle_house, bookstore, grocery_store, dentist : 48748
Saved path: party_store, pharmacy, gelateria, music_store, craft_shop, dentist, burger_joint, toy_store, gym, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop : 51194
Saved path: clothing_store, grocery_store, cafe, gym, florist, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop : 35499
Saved path: bank, florist, party_store, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, craft_shop : 44360
Saved path: bank, gelateria, music_store, pharmacy, bakery, pet_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, dentist, bookstore, gym, craft_shop : 51766
Saved path: cafe, dentist, florist, music_store, gelateria, party_store, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store : 37884
Saved path: party_store, pharmacy, music_store, craft_shop, pizzeria, gym, burger_joint, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon : 41379
Saved path: salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, cafe, grocery_store, dentist, craft_shop, gelateria, pharmacy, bakery, pet_store : 48863
Saved path: music_store, gelateria, party_store, salon, bakery, pet_store, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist : 43554
Saved path: pharmacy, gelateria, florist, bank, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, bakery, bike_shop, jewelry_store : 33124
Saved path: bank, florist, gelateria, party_store, salon, bakery, pet_store, hardware_store, gym, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria : 45957
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, cafe, dentist, grocery_store, clothing_store, toy_store, bike_shop, salon, party_store : 37149
Saved path: hardware_store, jewelry_store, bakery, pet_store, bike_shop, gelateria, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store : 44983
Saved path: bike_shop, bakery, toy_store, clothing_store, grocery_store, cafe, burger_joint, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store, salon : 31813
Saved path: burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, pizzeria, gym : 46016
Saved path: bank, craft_shop, dentist, cafe, grocery_store, toy_store, burger_joint, gym, bakery, bike_shop, salon, party_store, pharmacy, music_store, gelateria : 38544
Saved path: bookstore, pizzeria, bank, music_store, gelateria, pharmacy, party_store, jewelry_store, pet_store, bakery, gym, toy_store, noodle_house, tech_shop, dentist : 48918
Saved path: clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, music_store, florist, pizzeria, gym, cafe : 46379
Saved path: craft_shop, bank, florist, gelateria, party_store, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, cafe, dentist : 45905
Saved path: bank, florist, music_store, bakery, pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, bookstore, burger_joint, hardware_store, gym : 48600
Saved path: tech_shop, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, music_store, florist, pizzeria, gym, burger_joint, cafe, grocery_store : 38513
Saved path: barber_shop, jewelry_store, salon, bakery, gelateria, florist, bank, craft_shop, pizzeria, gym, hardware_store, cafe, tech_shop, clothing_store, toy_store : 35485
Saved path: bookstore, burger_joint, tech_shop, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, bakery, gelateria, florist, pizzeria, craft_shop, dentist : 40442
Saved path: gym, hardware_store, salon, bike_shop, bakery, party_store, pharmacy, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe, toy_store : 33875
Saved path: pharmacy, gelateria, music_store, craft_shop, dentist, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store : 40462
Saved path: party_store, pharmacy, gelateria, music_store, florist, bank, pizzeria, burger_joint, cafe, grocery_store, toy_store, hardware_store, salon, bike_shop, bakery : 32660
Saved path: jewelry_store, party_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, pet_store, bakery, salon : 45126
Saved path: bookstore, pizzeria, bank, florist, music_store, party_store, salon, bakery, pet_store, barber_shop, hardware_store, toy_store, noodle_house, burger_joint, cafe : 44185
Saved path: jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, bank, pizzeria, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store : 39278
Saved path: toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, dentist, cafe, bookstore, burger_joint : 39151
Saved path: pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, florist, bank, dentist, cafe, bookstore, tech_shop, toy_store, gym, bakery : 46455
Saved path: grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, salon, bakery, party_store, gelateria, music_store, florist, bank, dentist : 33914
Saved path: pharmacy, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, grocery_store, dentist, burger_joint, gym, pizzeria, craft_shop, bank, florist : 40567
Saved path: bike_shop, pet_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, gelateria, pharmacy : 53133
Saved path: toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, craft_shop, bank, florist, music_store, party_store, bakery, salon, hardware_store, gym : 34994
Saved path: bakery, party_store, pharmacy, gelateria, music_store, florist, bank, gym, craft_shop, dentist, cafe, burger_joint, noodle_house, barber_shop, pet_store : 48911
Saved path: bank, florist, gelateria, barber_shop, bakery, pet_store, bike_shop, salon, hardware_store, burger_joint, tech_shop, toy_store, grocery_store, cafe, craft_shop : 46268
Saved path: bakery, party_store, pharmacy, gelateria, pizzeria, craft_shop, dentist, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, barber_shop : 37601
Saved path: grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, music_store, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store : 43217
Saved path: music_store, florist, pizzeria, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, gym, hardware_store, pharmacy, gelateria : 35694
Saved path: hardware_store, bookstore, florist, craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 46188
Saved path: gelateria, music_store, florist, bank, dentist, cafe, bookstore, burger_joint, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, party_store : 45048
Saved path: toy_store, clothing_store, dentist, bank, florist, music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, gym, burger_joint, tech_shop : 46270
Saved path: barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, gym, bank, florist, music_store, party_store, salon, bakery, pet_store : 46666
Saved path: gym, toy_store, noodle_house, tech_shop, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, music_store, pharmacy, jewelry_store, salon, bakery : 39373
Saved path: cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, florist, pizzeria, craft_shop, dentist : 36669
Saved path: bookstore, cafe, dentist, grocery_store, toy_store, jewelry_store, bakery, pet_store, salon, pharmacy, music_store, florist, bank, gym, burger_joint : 49808
Saved path: party_store, bakery, bike_shop, jewelry_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, pharmacy : 37119
Saved path: gelateria, pharmacy, bakery, pet_store, barber_shop, toy_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, bank, florist, music_store : 51481
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, music_store, florist, craft_shop, gym, burger_joint, cafe : 46198
Saved path: clothing_store, dentist, burger_joint, bookstore, pizzeria, bank, gelateria, music_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, tech_shop : 50398
Saved path: burger_joint, bookstore, cafe, grocery_store, tech_shop, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, florist, bank, gym : 35206
