Saved path: bakery, salon, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, dentist, cafe, bookstore, bank, florist, music_store, pharmacy : 37832
Saved path: florist, craft_shop, dentist, grocery_store, toy_store, burger_joint, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store : 47407
Saved path: bike_shop, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, music_store, gelateria, bakery, pet_store : 51095
Saved path: toy_store, noodle_house, tech_shop, grocery_store, bookstore, burger_joint, gym, craft_shop, florist, gelateria, bakery, pet_store, bike_shop, salon, barber_shop : 46505
Saved path: burger_joint, hardware_store, gym, craft_shop, bank, gelateria, party_store, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, bookstore : 38825
Saved path: pet_store, bike_shop, party_store, pharmacy, gelateria, florist, bank, bookstore, grocery_store, clothing_store, noodle_house, burger_joint, gym, hardware_store, bakery : 41285
Saved path: tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, bank, pharmacy, bakery, pet_store, jewelry_store, hardware_store, gym, burger_joint : 42879
Saved path: gelateria, pharmacy, party_store, bike_shop, bakery, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, bank, florist, music_store : 31855
Saved path: bookstore, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pet_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, craft_shop, pizzeria : 42626
Saved path: grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, bakery, pet_store, bike_shop, salon, party_store, music_store, pizzeria, bookstore, dentist : 47607
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist, pizzeria, craft_shop, dentist : 43135
Saved path: bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, gelateria, music_store, florist, bank : 38416
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, craft_shop, bank, florist, gelateria, party_store, bike_shop, pet_store, bakery : 45477
Saved path: bakery, salon, jewelry_store, party_store, music_store, bank, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, pet_store : 45114
Saved path: gym, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, craft_shop, pizzeria, bookstore, burger_joint, grocery_store, clothing_store, toy_store : 35965
Saved path: music_store, party_store, barber_shop, bakery, salon, hardware_store, gym, toy_store, noodle_house, tech_shop, grocery_store, bookstore, craft_shop, bank, florist : 37665
Saved path: bakery, hardware_store, gym, noodle_house, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, music_store, pharmacy, party_store, bike_shop, pet_store : 48931
Saved path: bakery, salon, party_store, pharmacy, music_store, craft_shop, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, toy_store, barber_shop, pet_store : 46145
Saved path: burger_joint, gym, pizzeria, craft_shop, bank, gelateria, party_store, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, cafe, bookstore : 45178
Saved path: music_store, gelateria, party_store, bakery, pet_store, hardware_store, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, bank, florist : 45557
Saved path: bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, party_store : 30409
Saved path: florist, bank, craft_shop, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria : 47172
Saved path: gelateria, pharmacy, salon, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, burger_joint, cafe, bookstore, pizzeria, craft_shop : 37376
