Saved path: pizzeria, dentist, cafe, burger_joint, gym, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store, craft_shop : 70273
Saved path: noodle_house, barber_shop, bakery, gelateria, florist, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store, grocery_store, clothing_store : 47940
Saved path: hardware_store, party_store, bakery, gelateria, music_store, florist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint : 53967
Saved path: florist, gelateria, music_store, pharmacy, bike_shop, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 53501
Saved path: jewelry_store, bakery, pharmacy, music_store, bank, florist, pet_store, pizzeria, dentist, bookstore, tech_shop, clothing_store, toy_store, gym, party_store : 67603
Saved path: hardware_store, gym, craft_shop, florist, gelateria, pharmacy, party_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, bookstore, burger_joint : 54973
Saved path: bank, music_store, pharmacy, bakery, party_store, hardware_store, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, dentist, pizzeria, florist : 57786
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pizzeria, dentist, cafe : 54233
Saved path: dentist, craft_shop, music_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, clothing_store, bookstore, cafe : 62075
Saved path: grocery_store, cafe, dentist, pizzeria, craft_shop, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, toy_store, noodle_house, clothing_store : 54400
Saved path: bank, music_store, bike_shop, jewelry_store, party_store, bakery, toy_store, noodle_house, clothing_store, bookstore, cafe, pizzeria, pet_store, florist, gelateria : 65439
Saved path: gelateria, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, salon, toy_store, gym, bike_shop, bakery, pharmacy, music_store, bank : 60602
Saved path: grocery_store, noodle_house, barber_shop, bike_shop, party_store, bakery, gelateria, florist, craft_shop, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop : 56340
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, noodle_house, bookstore, burger_joint, hardware_store, jewelry_store, bakery, pharmacy, bank, florist : 60523
Saved path: cafe, tech_shop, pizzeria, craft_shop, florist, gym, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint, bookstore : 56167
Saved path: gym, burger_joint, toy_store, noodle_house, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, bike_shop, hardware_store : 55384
Saved path: pharmacy, music_store, bank, gelateria, craft_shop, gym, burger_joint, cafe, dentist, tech_shop, clothing_store, barber_shop, jewelry_store, party_store, bakery : 64463
Saved path: bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, gelateria, music_store, pharmacy : 54964
Saved path: clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, cafe, burger_joint, gym, toy_store : 64627
Saved path: toy_store, salon, barber_shop, bakery, party_store, jewelry_store, music_store, bank, gelateria, craft_shop, bookstore, burger_joint, cafe, tech_shop, noodle_house : 61899
Saved path: gelateria, florist, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, noodle_house, salon, barber_shop, bakery, party_store, pharmacy, bank : 64661
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bike_shop, jewelry_store : 63059
Saved path: pizzeria, tech_shop, burger_joint, gym, toy_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, florist, pet_store : 71579
Saved path: burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, jewelry_store, bike_shop, barber_shop, salon, hardware_store : 60495
Saved path: pet_store, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore : 59490
Saved path: clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house : 67530
Saved path: cafe, clothing_store, noodle_house, salon, toy_store, gym, craft_shop, florist, gelateria, bank, bakery, bike_shop, hardware_store, burger_joint, bookstore : 52460
Saved path: pet_store, florist, bank, gelateria, pharmacy, bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, burger_joint, gym : 61681
Saved path: noodle_house, barber_shop, bakery, party_store, pharmacy, gelateria, bank, florist, pet_store, pizzeria, dentist, bookstore, burger_joint, toy_store, clothing_store : 65718
