Saved path: music_store, gelateria, pharmacy, party_store, salon, bakery, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, bank : 37585
Saved path: gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, clothing_store, dentist, craft_shop, bank : 39092
Saved path: tech_shop, noodle_house, toy_store, barber_shop, bakery, bike_shop, party_store, pharmacy, music_store, bank, pizzeria, craft_shop, dentist, bookstore, burger_joint : 40389
Saved path: clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, pizzeria, bookstore, burger_joint, bakery, pet_store, bike_shop, toy_store, tech_shop : 41570
Saved path: pizzeria, florist, music_store, gelateria, salon, bakery, pet_store, gym, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop : 47578
Saved path: bakery, pet_store, bike_shop, gelateria, florist, bank, craft_shop, dentist, cafe, bookstore, clothing_store, toy_store, gym, hardware_store, jewelry_store : 49327
Saved path: salon, bakery, barber_shop, gelateria, music_store, florist, bank, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store : 37912
Saved path: pharmacy, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, gelateria, music_store : 42999
Saved path: gelateria, pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, gym, pizzeria, craft_shop, bank, florist : 45045
Saved path: barber_shop, bakery, salon, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store : 38308
Saved path: bank, craft_shop, gym, bakery, pet_store, bike_shop, salon, party_store, barber_shop, toy_store, tech_shop, clothing_store, dentist, bookstore, pizzeria : 47866
Saved path: bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, party_store, music_store, florist, craft_shop, pizzeria : 39961
Saved path: craft_shop, florist, gelateria, bike_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, cafe, dentist : 40059
Saved path: tech_shop, toy_store, gym, hardware_store, salon, bike_shop, pet_store, gelateria, music_store, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint : 50698
Saved path: party_store, salon, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, music_store, pharmacy : 37324
Saved path: grocery_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, pharmacy, gelateria, florist, craft_shop, pizzeria, bookstore : 35997
Saved path: bike_shop, bakery, jewelry_store, pharmacy, gelateria, music_store, florist, bank, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, gym : 41574
