Saved path: dentist, pizzeria, bank, florist, pharmacy, party_store, salon, bakery, pet_store, jewelry_store, burger_joint, toy_store, clothing_store, grocery_store, cafe : 44097
Saved path: burger_joint, gym, pizzeria, gelateria, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe : 41673
Saved path: florist, bookstore, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 47554
Saved path: gym, craft_shop, pizzeria, bookstore, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, jewelry_store, bike_shop, salon, party_store, pharmacy : 35840
Saved path: jewelry_store, party_store, pharmacy, gelateria, bank, craft_shop, pizzeria, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, bakery, pet_store : 40719
Saved path: cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, bike_shop, pet_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist : 49520
Saved path: florist, bank, pizzeria, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, bike_shop, gelateria, music_store : 38762
Saved path: noodle_house, toy_store, barber_shop, pet_store, bakery, salon, party_store, pharmacy, gelateria, music_store, florist, bank, gym, craft_shop, dentist : 49741
Saved path: pharmacy, bakery, bike_shop, gym, burger_joint, noodle_house, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, bank, music_store, gelateria : 41035
Saved path: dentist, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, music_store, gelateria, bank, pizzeria, bookstore : 41001
Saved path: bakery, party_store, pharmacy, music_store, florist, bank, craft_shop, gym, bookstore, cafe, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store : 35595
Saved path: gym, hardware_store, jewelry_store, bakery, party_store, music_store, florist, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 39504
Saved path: florist, bank, bookstore, burger_joint, cafe, grocery_store, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, bakery, salon, hardware_store, craft_shop : 30599
Saved path: bike_shop, salon, music_store, florist, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store : 49432
Saved path: dentist, bookstore, pizzeria, florist, gelateria, barber_shop, jewelry_store, salon, bike_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop : 42746
Saved path: music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, pet_store, bakery, salon : 45839
Saved path: bookstore, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, pharmacy, gelateria, music_store, craft_shop, dentist, grocery_store : 49156
Saved path: bookstore, cafe, grocery_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, bank, pizzeria, gym, hardware_store, burger_joint : 46881
Saved path: gym, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, music_store, gelateria, party_store, jewelry_store, salon, pet_store, hardware_store : 46953
Saved path: dentist, bank, florist, gelateria, pharmacy, party_store, jewelry_store, salon, bakery, pet_store, hardware_store, gym, burger_joint, toy_store, clothing_store : 46859
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, pizzeria, bank, gelateria, music_store, bakery : 42552
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, party_store, salon, bakery, gym, craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store : 33505
Saved path: grocery_store, dentist, craft_shop, florist, gelateria, bakery, pet_store, bike_shop, jewelry_store, burger_joint, bookstore, tech_shop, noodle_house, toy_store, clothing_store : 47271
Saved path: florist, bank, craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, gelateria, music_store : 45777
Saved path: music_store, jewelry_store, salon, pet_store, bakery, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, bookstore, pizzeria, craft_shop, florist : 51113
Saved path: burger_joint, gym, craft_shop, bank, music_store, party_store, salon, bakery, pet_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, noodle_house : 45764
Saved path: pharmacy, music_store, florist, bank, craft_shop, bookstore, cafe, clothing_store, toy_store, noodle_house, burger_joint, gym, pet_store, bakery, salon : 42633
Saved path: barber_shop, jewelry_store, bakery, bike_shop, salon, party_store, gelateria, music_store, bank, craft_shop, gym, burger_joint, bookstore, grocery_store, toy_store : 38990
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, bookstore, pizzeria, craft_shop, bank, florist, music_store, gelateria, bakery, pet_store : 43313
