Saved path: bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, burger_joint, florist : 59575
Saved path: hardware_store, salon, barber_shop, party_store, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore : 61315
Saved path: bakery, barber_shop, salon, toy_store, clothing_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, pharmacy : 51755
Saved path: pharmacy, bakery, party_store, jewelry_store, salon, clothing_store, grocery_store, cafe, dentist, pizzeria, gym, florist, music_store, bank, gelateria : 64719
Saved path: dentist, cafe, tech_shop, clothing_store, noodle_house, burger_joint, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist : 61634
Saved path: bank, gelateria, florist, pet_store, gym, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 66017
Saved path: grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, party_store, pharmacy, music_store, bank, florist, pet_store, dentist, burger_joint, bookstore : 63815
Saved path: dentist, cafe, bookstore, gym, florist, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop : 65671
Saved path: bakery, music_store, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, noodle_house, salon, barber_shop, party_store : 57508
Saved path: gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, dentist, pet_store, florist : 53436
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, hardware_store, gym, pet_store, bank, gelateria, pharmacy : 69855
Saved path: pharmacy, bakery, bike_shop, barber_shop, noodle_house, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, music_store : 51029
Saved path: noodle_house, clothing_store, tech_shop, cafe, bookstore, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, hardware_store, toy_store : 58329
Saved path: gelateria, florist, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy : 59685
Saved path: craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, bank, pet_store : 55607
Saved path: pizzeria, dentist, burger_joint, gym, craft_shop, gelateria, music_store, bakery, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop : 58364
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, craft_shop, gym : 52072
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, florist, gelateria, bank, music_store, pharmacy, party_store, barber_shop, salon : 58183
Saved path: florist, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store : 45771
Saved path: party_store, bakery, pharmacy, music_store, gelateria, craft_shop, gym, bookstore, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 60078
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery : 56762
Saved path: gym, burger_joint, bookstore, cafe, pizzeria, florist, gelateria, bank, music_store, jewelry_store, bike_shop, bakery, barber_shop, salon, hardware_store : 67890
Saved path: gelateria, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, pharmacy, bank : 56163
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, gym, pet_store, music_store, bakery, party_store, barber_shop, salon : 58867
Saved path: dentist, burger_joint, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop : 59713
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, jewelry_store, pharmacy, music_store, gelateria, florist, pet_store, pizzeria, dentist : 61542
Saved path: hardware_store, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pet_store, florist, bank, gelateria, bike_shop, jewelry_store, party_store : 61725
Saved path: cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, jewelry_store, bike_shop, hardware_store, gym, toy_store, clothing_store, grocery_store : 64788
Saved path: tech_shop, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, pet_store, gym, hardware_store, bookstore, dentist, pizzeria : 64003
Saved path: craft_shop, dentist, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, pet_store : 59876
Saved path: bookstore, cafe, grocery_store, noodle_house, toy_store, gym, craft_shop, pet_store, florist, music_store, pharmacy, bakery, party_store, hardware_store, burger_joint : 47049
Saved path: bike_shop, pharmacy, music_store, gelateria, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, gym, toy_store, salon, jewelry_store : 61400
Saved path: barber_shop, toy_store, clothing_store, grocery_store, dentist, cafe, burger_joint, hardware_store, gym, craft_shop, pet_store, bank, party_store, jewelry_store, bike_shop : 68947
Saved path: clothing_store, cafe, bookstore, hardware_store, barber_shop, bike_shop, bakery, pharmacy, music_store, gelateria, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 52361
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon, noodle_house, grocery_store, cafe, burger_joint, dentist, pizzeria, pet_store, bank : 67108
Saved path: bank, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, cafe, hardware_store, gym, craft_shop, florist, gelateria : 63286
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, pet_store, bank, music_store, florist, gym, bakery, bike_shop, party_store, hardware_store, burger_joint, bookstore : 63511
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, florist, hardware_store, party_store, bakery, barber_shop, salon, noodle_house : 54910
Saved path: craft_shop, florist, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, dentist, pizzeria : 56796
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, gym, bike_shop, jewelry_store, burger_joint, toy_store : 59958
Saved path: bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, bookstore, gym, jewelry_store : 59569
Saved path: tech_shop, bookstore, dentist, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store : 58289
Saved path: dentist, pizzeria, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop : 45392
Saved path: grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, music_store, pet_store, gym, hardware_store, bookstore, cafe, dentist, tech_shop : 65010
Saved path: tech_shop, cafe, bookstore, burger_joint, noodle_house, salon, bike_shop, party_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria : 63852
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, gym, hardware_store, party_store, bakery, barber_shop, music_store, bank, pet_store : 65719
Saved path: party_store, bakery, music_store, bank, florist, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house, toy_store, hardware_store : 62293
Saved path: salon, noodle_house, clothing_store, tech_shop, dentist, pizzeria, florist, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym, toy_store : 57182
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, jewelry_store, party_store, bakery, gym, toy_store, noodle_house : 55658
Saved path: jewelry_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, pharmacy, bakery : 56411
Saved path: pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, party_store, hardware_store, gym, florist, gelateria, pet_store : 56760
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, florist, gelateria, party_store, barber_shop, noodle_house, clothing_store, toy_store : 57098
Saved path: jewelry_store, party_store, bike_shop, bakery, music_store, florist, craft_shop, gym, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon : 53818
Saved path: toy_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, hardware_store : 62746
Saved path: music_store, bank, florist, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, bakery : 62487
Saved path: gym, hardware_store, party_store, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist : 70415
Saved path: hardware_store, salon, toy_store, burger_joint, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, gym : 61488
Saved path: burger_joint, noodle_house, salon, jewelry_store, bike_shop, bakery, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore : 59048
Saved path: party_store, bakery, pharmacy, pet_store, craft_shop, gym, hardware_store, cafe, pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop : 59612
Saved path: bakery, party_store, bike_shop, barber_shop, salon, hardware_store, toy_store, clothing_store, bookstore, craft_shop, pet_store, florist, bank, music_store, pharmacy : 64212
Saved path: gym, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, music_store : 62297
Saved path: gym, bookstore, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, gelateria, bank, music_store, florist, pet_store, craft_shop : 62201
Saved path: music_store, bakery, bike_shop, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, gelateria, bank : 62052
Saved path: grocery_store, clothing_store, noodle_house, salon, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, pizzeria, dentist, cafe, burger_joint : 65414
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bakery, pharmacy, gelateria, hardware_store : 49218
Saved path: florist, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop : 57290
