Saved path: party_store, pharmacy, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, gym, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 44310
Saved path: bakery, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, noodle_house, gym, craft_shop, bank, music_store, pharmacy, party_store, salon, bike_shop : 34151
Saved path: salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, bookstore, pizzeria, gym, bank, gelateria, pharmacy, bakery, pet_store : 44905
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, bike_shop, bakery, barber_shop, music_store, florist, pizzeria, craft_shop, dentist, cafe : 44762
Saved path: salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store : 34921
Saved path: bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, grocery_store, toy_store, burger_joint, gym, jewelry_store : 41300
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, cafe, dentist, craft_shop, pizzeria, gelateria, pharmacy, bakery, bike_shop, salon : 35607
Saved path: florist, bank, craft_shop, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint, hardware_store, bakery, bike_shop, party_store, gelateria, music_store : 35743
Saved path: bookstore, cafe, dentist, clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, party_store, pharmacy, music_store, gelateria, bank, pizzeria : 37301
Saved path: clothing_store, grocery_store, bookstore, craft_shop, bank, florist, party_store, bike_shop, pet_store, bakery, hardware_store, burger_joint, tech_shop, noodle_house, toy_store : 39961
Saved path: pizzeria, bookstore, dentist, cafe, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, pharmacy, florist : 48449
Saved path: gym, toy_store, burger_joint, bookstore, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, bike_shop, bakery, barber_shop, hardware_store : 45715
Saved path: party_store, pharmacy, florist, pizzeria, craft_shop, dentist, grocery_store, toy_store, tech_shop, burger_joint, gym, hardware_store, jewelry_store, barber_shop, bakery : 39101
Saved path: craft_shop, dentist, cafe, bookstore, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, party_store, pharmacy, gelateria, music_store, florist : 36426
Saved path: barber_shop, bakery, party_store, hardware_store, gym, florist, pizzeria, dentist, cafe, burger_joint, noodle_house, tech_shop, grocery_store, clothing_store, toy_store : 39241
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, jewelry_store, salon, bakery, gelateria, florist, bank, craft_shop, pizzeria, bookstore, cafe : 29661
Saved path: tech_shop, burger_joint, gym, hardware_store, pet_store, bike_shop, salon, party_store, music_store, florist, pizzeria, bookstore, grocery_store, toy_store, noodle_house : 44689
Saved path: noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, burger_joint : 42904
Saved path: barber_shop, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, bank, hardware_store, party_store, salon, bike_shop, pet_store, bakery : 43319
Saved path: craft_shop, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, jewelry_store, pet_store, bakery, salon, party_store, pharmacy, gelateria, florist : 45411
Saved path: dentist, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store, pharmacy, gelateria, music_store, florist, bank : 44039
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, party_store, music_store, florist, bank, pizzeria, bookstore, dentist, cafe, burger_joint : 47251
Saved path: bakery, pet_store, bike_shop, salon, hardware_store, toy_store, noodle_house, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, florist, party_store : 43424
Saved path: barber_shop, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, grocery_store, toy_store, noodle_house, burger_joint, hardware_store, bike_shop, pet_store, bakery : 47989
Saved path: pet_store, bike_shop, salon, hardware_store, gym, toy_store, tech_shop, burger_joint, dentist, bank, florist, music_store, pharmacy, barber_shop, bakery : 52202
Saved path: gelateria, bank, gym, burger_joint, cafe, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 40751
Saved path: party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, burger_joint, bookstore, pizzeria, bank, florist, music_store, gelateria : 33359
Saved path: noodle_house, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, pharmacy, gelateria, music_store, bank, pizzeria, gym, hardware_store : 39260
