Saved path: bank, florist, gelateria, pharmacy, bakery, pet_store, bike_shop, bookstore, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop : 44361
Saved path: pharmacy, gelateria, florist, dentist, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, barber_shop, bakery, bike_shop : 40083
Saved path: cafe, dentist, grocery_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, gelateria, florist, pizzeria, bookstore : 39918
Saved path: jewelry_store, salon, pet_store, hardware_store, gym, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, gelateria, party_store : 49518
Saved path: dentist, craft_shop, florist, bank, gym, hardware_store, party_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, bookstore, grocery_store : 38247
Saved path: craft_shop, dentist, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, jewelry_store, salon, bike_shop, pet_store, gelateria, florist, pizzeria : 48278
Saved path: craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, gelateria, music_store, florist : 36459
Saved path: music_store, gelateria, barber_shop, jewelry_store, bakery, salon, hardware_store, gym, toy_store, clothing_store, dentist, bookstore, pizzeria, bank, florist : 42562
Saved path: hardware_store, bike_shop, bakery, party_store, gelateria, music_store, florist, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, noodle_house, toy_store : 38964
Saved path: toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, gelateria, florist, bank, craft_shop, bookstore, burger_joint, noodle_house, clothing_store : 33347
Saved path: hardware_store, toy_store, noodle_house, tech_shop, grocery_store, dentist, bookstore, pizzeria, bank, florist, gelateria, party_store, salon, bakery, pet_store : 43151
Saved path: craft_shop, bank, music_store, pharmacy, bakery, salon, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, hardware_store, gym, pizzeria : 36658
Saved path: craft_shop, pizzeria, bank, florist, music_store, gelateria, pharmacy, salon, bakery, hardware_store, toy_store, noodle_house, tech_shop, bookstore, dentist : 34274
Saved path: toy_store, noodle_house, clothing_store, cafe, bookstore, burger_joint, gym, bank, florist, gelateria, bakery, bike_shop, salon, jewelry_store, barber_shop : 36700
Saved path: bike_shop, bakery, gym, toy_store, clothing_store, dentist, cafe, burger_joint, bookstore, pizzeria, craft_shop, bank, music_store, party_store, salon : 39805
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, salon, jewelry_store, music_store, florist, bank, dentist, cafe, grocery_store : 38260
Saved path: toy_store, clothing_store, grocery_store, dentist, craft_shop, gym, bank, music_store, pharmacy, party_store, pet_store, bakery, salon, jewelry_store, barber_shop : 49022
Saved path: bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, pizzeria, florist, music_store, gelateria, party_store, salon : 42510
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, bank, music_store, gelateria, pharmacy, party_store : 33507
Saved path: toy_store, noodle_house, burger_joint, cafe, pizzeria, craft_shop, bank, florist, gelateria, party_store, jewelry_store, bakery, pet_store, hardware_store, gym : 41953
Saved path: gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, gelateria, bank, pizzeria, bookstore, cafe, dentist, clothing_store, tech_shop, toy_store : 40056
Saved path: gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, bookstore, burger_joint, gym, craft_shop, bank : 42210
Saved path: burger_joint, toy_store, clothing_store, grocery_store, dentist, craft_shop, bank, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym : 38338
Saved path: pharmacy, party_store, bike_shop, pet_store, bakery, barber_shop, hardware_store, burger_joint, noodle_house, clothing_store, cafe, dentist, craft_shop, music_store, gelateria : 50865
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, bank, gelateria, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, burger_joint, tech_shop : 39425
Saved path: music_store, gelateria, pharmacy, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop, bank : 41574
