Saved path: gelateria, pharmacy, salon, bike_shop, jewelry_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist : 37498
Saved path: tech_shop, bookstore, cafe, dentist, craft_shop, pizzeria, florist, gelateria, party_store, bike_shop, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 40044
Saved path: bank, craft_shop, gym, bookstore, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, gelateria : 44391
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, music_store, bank, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store : 45719
Saved path: grocery_store, cafe, burger_joint, pet_store, bike_shop, salon, jewelry_store, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, gym, toy_store : 46370
Saved path: florist, bank, pizzeria, craft_shop, dentist, grocery_store, toy_store, gym, jewelry_store, salon, bakery, pet_store, pharmacy, gelateria, music_store : 48118
Saved path: tech_shop, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, toy_store, clothing_store, grocery_store : 35529
Saved path: gym, hardware_store, bakery, pet_store, bike_shop, party_store, pharmacy, florist, bank, craft_shop, dentist, cafe, grocery_store, noodle_house, toy_store : 44692
Saved path: party_store, pet_store, bakery, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, hardware_store, gym, craft_shop, music_store : 47467
Saved path: hardware_store, toy_store, noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, party_store, jewelry_store, bike_shop, pet_store : 48376
Saved path: hardware_store, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, dentist, craft_shop, bank, pizzeria, gym : 38127
Saved path: dentist, grocery_store, bookstore, burger_joint, toy_store, barber_shop, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store, bank, craft_shop : 50936
Saved path: florist, music_store, pharmacy, bakery, pet_store, salon, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, dentist, burger_joint, gym, craft_shop : 51100
Saved path: salon, party_store, gelateria, florist, craft_shop, pizzeria, cafe, clothing_store, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop : 42340
