Saved path: pizzeria, craft_shop, florist, music_store, gelateria, bike_shop, bakery, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym : 41531
Saved path: pharmacy, gelateria, florist, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, bookstore, burger_joint, gym, bike_shop, salon, party_store : 37837
Saved path: pizzeria, craft_shop, dentist, cafe, burger_joint, noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, music_store : 43658
Saved path: bakery, gym, toy_store, noodle_house, cafe, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, jewelry_store, salon, bike_shop, pet_store : 44531
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon, party_store, florist, pizzeria, bookstore, cafe : 39850
Saved path: clothing_store, toy_store, noodle_house, tech_shop, burger_joint, bakery, pet_store, bike_shop, salon, pharmacy, florist, craft_shop, pizzeria, bookstore, dentist : 44668
Saved path: music_store, pharmacy, party_store, bakery, jewelry_store, barber_shop, noodle_house, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, bank, florist : 35134
Saved path: craft_shop, cafe, grocery_store, toy_store, tech_shop, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, salon, pharmacy, gelateria, music_store, florist : 36752
Saved path: toy_store, clothing_store, cafe, bookstore, pizzeria, bank, florist, music_store, pharmacy, salon, bike_shop, bakery, jewelry_store, hardware_store, gym : 36112
Saved path: grocery_store, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, dentist, cafe : 52230
Saved path: florist, bank, pizzeria, craft_shop, dentist, cafe, clothing_store, toy_store, gym, bakery, salon, jewelry_store, pharmacy, gelateria, music_store : 37903
Saved path: toy_store, grocery_store, cafe, gym, pizzeria, bank, florist, music_store, gelateria, party_store, salon, bike_shop, pet_store, bakery, barber_shop : 47132
Saved path: hardware_store, toy_store, clothing_store, grocery_store, tech_shop, craft_shop, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, jewelry_store : 45303
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, dentist, pizzeria, florist, music_store, pharmacy, jewelry_store, salon, pet_store : 47608
Saved path: noodle_house, toy_store, hardware_store, pet_store, bakery, salon, jewelry_store, barber_shop, pharmacy, gelateria, florist, dentist, cafe, grocery_store, tech_shop : 47172
Saved path: hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, grocery_store, bookstore, pizzeria, music_store, gelateria, pharmacy, party_store, bakery, jewelry_store : 32871
Saved path: pharmacy, gelateria, florist, bank, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store, pet_store, bakery, salon : 43501
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, bakery, bike_shop, salon, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, cafe : 34059
Saved path: gym, pet_store, bakery, jewelry_store, party_store, gelateria, music_store, bank, craft_shop, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint : 48878
Saved path: noodle_house, toy_store, hardware_store, jewelry_store, bakery, bike_shop, salon, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, grocery_store, tech_shop : 34886
Saved path: jewelry_store, barber_shop, toy_store, clothing_store, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, music_store, pharmacy, salon, pet_store, bakery : 46879
Saved path: noodle_house, toy_store, hardware_store, salon, bike_shop, pet_store, bakery, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store : 38786
Saved path: craft_shop, pizzeria, bank, florist, gelateria, party_store, bakery, pet_store, bike_shop, salon, jewelry_store, toy_store, grocery_store, cafe, dentist : 44780
Saved path: pharmacy, party_store, salon, bike_shop, pet_store, bakery, hardware_store, toy_store, clothing_store, noodle_house, burger_joint, pizzeria, craft_shop, bank, florist : 39357
Saved path: dentist, cafe, bookstore, pizzeria, music_store, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, grocery_store : 42668
Saved path: noodle_house, toy_store, hardware_store, bike_shop, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop : 38238
Saved path: barber_shop, jewelry_store, pharmacy, music_store, craft_shop, dentist, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery : 49152
Saved path: florist, bank, pizzeria, bookstore, cafe, noodle_house, toy_store, hardware_store, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, gelateria : 40299
Saved path: toy_store, noodle_house, burger_joint, gym, pet_store, bakery, party_store, pharmacy, gelateria, music_store, bank, bookstore, dentist, grocery_store, clothing_store : 47858
Saved path: pharmacy, party_store, salon, pet_store, gym, toy_store, noodle_house, tech_shop, burger_joint, cafe, dentist, bookstore, pizzeria, music_store, gelateria : 47453
Saved path: noodle_house, burger_joint, bakery, bike_shop, salon, jewelry_store, hardware_store, gym, bank, florist, craft_shop, bookstore, grocery_store, clothing_store, toy_store : 31567
Saved path: noodle_house, tech_shop, bookstore, burger_joint, gym, hardware_store, bakery, party_store, pharmacy, gelateria, music_store, dentist, grocery_store, clothing_store, toy_store : 37953
Saved path: salon, gelateria, florist, bank, craft_shop, gym, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store : 45276
Saved path: craft_shop, pizzeria, bank, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, gym, toy_store, grocery_store, cafe, dentist : 38966
Saved path: pizzeria, gym, bank, gelateria, music_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, bookstore : 49328
Saved path: tech_shop, noodle_house, toy_store, grocery_store, cafe, craft_shop, bank, gelateria, music_store, pharmacy, party_store, jewelry_store, salon, bakery, burger_joint : 33109
Saved path: cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, grocery_store : 39111
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, party_store, pharmacy, florist, bank, craft_shop, gym, burger_joint, cafe, grocery_store : 34950
Saved path: music_store, gelateria, party_store, salon, bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, bank, florist : 38924
Saved path: tech_shop, grocery_store, dentist, bookstore, pizzeria, gym, florist, music_store, pharmacy, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house : 51635
Saved path: barber_shop, salon, bike_shop, bakery, gelateria, music_store, florist, pizzeria, gym, hardware_store, burger_joint, grocery_store, clothing_store, noodle_house, toy_store : 40381
Saved path: bakery, pet_store, bike_shop, pharmacy, music_store, florist, bank, gym, burger_joint, bookstore, dentist, grocery_store, clothing_store, noodle_house, barber_shop : 52758
Saved path: bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, grocery_store, cafe, hardware_store, gym, pizzeria, bank, music_store, gelateria, party_store : 39454
Saved path: tech_shop, grocery_store, bookstore, craft_shop, bank, pharmacy, party_store, salon, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house : 45789
Saved path: music_store, gelateria, pharmacy, bakery, pet_store, bike_shop, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, dentist, pizzeria, gym : 53298
