Saved path: bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store, burger_joint, cafe, pizzeria, pet_store, gelateria, bank, music_store, florist, hardware_store : 68168
Saved path: jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, dentist, pizzeria, pet_store, florist, gelateria, bakery, party_store : 63247
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, grocery_store, salon, hardware_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, pet_store : 61263
Saved path: bank, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery : 62853
Saved path: jewelry_store, party_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, bank, gelateria, pharmacy : 68372
Saved path: party_store, hardware_store, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, gym, craft_shop, florist, gelateria, bank, music_store, jewelry_store : 59305
Saved path: bank, gelateria, pharmacy, bike_shop, gym, toy_store, clothing_store, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist, music_store : 58947
Saved path: grocery_store, clothing_store, toy_store, burger_joint, gym, bike_shop, jewelry_store, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist, tech_shop : 63821
Saved path: noodle_house, salon, barber_shop, party_store, music_store, bank, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store, bookstore, burger_joint, toy_store : 62326
Saved path: party_store, bike_shop, gym, burger_joint, cafe, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery : 54304
Saved path: party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, hardware_store, craft_shop, pet_store, florist, music_store, pharmacy, bakery : 54608
Saved path: dentist, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, hardware_store, burger_joint, grocery_store : 66033
Saved path: bike_shop, barber_shop, noodle_house, toy_store, hardware_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, florist, bank, pharmacy, bakery, party_store : 65134
Saved path: grocery_store, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, gelateria, bank, florist, pet_store, gym, burger_joint, cafe, dentist : 68664
Saved path: gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, clothing_store, noodle_house, toy_store, gym, bike_shop, party_store, bakery, bank : 59669
Saved path: noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, bike_shop, gym, toy_store : 62144
Saved path: party_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, dentist, pizzeria, craft_shop, florist, bank, music_store, pharmacy, jewelry_store : 64645
Saved path: pharmacy, bakery, party_store, hardware_store, salon, noodle_house, grocery_store, dentist, cafe, burger_joint, gym, craft_shop, pet_store, florist, bank : 63199
Saved path: cafe, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store, bakery, gelateria, craft_shop, gym, burger_joint, bookstore : 59467
Saved path: grocery_store, dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, gym, burger_joint, bookstore : 69465
Saved path: bank, florist, pet_store, gym, hardware_store, burger_joint, bookstore, dentist, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy : 64280
Saved path: pet_store, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria : 64055
Saved path: pet_store, florist, music_store, pharmacy, bakery, barber_shop, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, bookstore, cafe, dentist, craft_shop : 49140
Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, noodle_house, salon, hardware_store, gym, bike_shop, bakery : 55470
Saved path: barber_shop, salon, toy_store, clothing_store, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, gym, bakery, party_store : 56638
Saved path: clothing_store, salon, barber_shop, bike_shop, jewelry_store, music_store, bank, gelateria, florist, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store : 62992
Saved path: clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, pharmacy, bakery, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house : 49988
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, gelateria, florist, gym, bakery, hardware_store, salon : 56766
Saved path: gym, toy_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, cafe, burger_joint : 60428
Saved path: music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, gym, party_store, jewelry_store : 60399
Saved path: salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, bank, pharmacy, bakery, party_store, barber_shop : 63366
Saved path: hardware_store, gym, craft_shop, pet_store, florist, bank, gelateria, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe : 57752
Saved path: craft_shop, music_store, bank, gelateria, pharmacy, party_store, bike_shop, gym, hardware_store, salon, clothing_store, grocery_store, bookstore, cafe, pizzeria : 64075
Saved path: bookstore, hardware_store, gym, pet_store, florist, bank, gelateria, pharmacy, bakery, barber_shop, salon, grocery_store, tech_shop, dentist, cafe : 60096
Saved path: gym, hardware_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store : 54690
Saved path: bike_shop, music_store, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, tech_shop, grocery_store, salon, hardware_store, jewelry_store : 62093
Saved path: jewelry_store, party_store, gelateria, bank, music_store, florist, pet_store, pizzeria, bookstore, clothing_store, noodle_house, salon, toy_store, gym, bike_shop : 72731
Saved path: hardware_store, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, florist, craft_shop, gym : 58226
Saved path: burger_joint, hardware_store, gym, pet_store, bank, music_store, pharmacy, party_store, bike_shop, barber_shop, noodle_house, clothing_store, pizzeria, dentist, cafe : 67556
Saved path: cafe, dentist, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, party_store, pharmacy, music_store, florist, pet_store, gym, hardware_store, burger_joint : 56750
Saved path: pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, florist : 66445
Saved path: bank, music_store, florist, bookstore, burger_joint, hardware_store, party_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, pizzeria, craft_shop, pet_store : 68294
Saved path: party_store, jewelry_store, bike_shop, bakery, bank, florist, craft_shop, pizzeria, cafe, bookstore, burger_joint, clothing_store, toy_store, gym, hardware_store : 64473
Saved path: bookstore, tech_shop, pizzeria, florist, music_store, bank, gelateria, pet_store, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, grocery_store : 73880
Saved path: gym, hardware_store, bike_shop, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, florist, bank : 64501
Saved path: gelateria, music_store, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, toy_store, clothing_store, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store : 56917
Saved path: gelateria, music_store, florist, pet_store, craft_shop, gym, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, bakery, bike_shop, jewelry_store : 53497
Saved path: noodle_house, grocery_store, tech_shop, burger_joint, cafe, dentist, craft_shop, pet_store, gelateria, music_store, florist, hardware_store, party_store, barber_shop, salon : 59414
Saved path: pharmacy, bakery, bike_shop, barber_shop, noodle_house, clothing_store, toy_store, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist, music_store, bank : 59491
Saved path: gym, hardware_store, salon, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, bike_shop : 68490
Saved path: burger_joint, cafe, dentist, pet_store, florist, gelateria, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, bookstore : 59232
Saved path: salon, barber_shop, bakery, pharmacy, gelateria, bank, music_store, florist, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, hardware_store : 54979
Saved path: hardware_store, burger_joint, cafe, grocery_store, noodle_house, toy_store, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 59295
Saved path: bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store, barber_shop, party_store, pharmacy, gelateria, pet_store, craft_shop, gym, hardware_store : 59254
Saved path: jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, noodle_house, bookstore, burger_joint, gym, bike_shop : 68830
Saved path: hardware_store, burger_joint, noodle_house, clothing_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon : 64024
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, gym, toy_store, salon, grocery_store : 57954
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, toy_store, salon, hardware_store, gym, bike_shop, party_store, pharmacy, bank, pet_store : 67215
Saved path: bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, cafe, dentist, craft_shop, music_store, bank, gelateria, pharmacy : 63108
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, dentist, bookstore : 63043
