Saved path: music_store, gelateria, pharmacy, party_store, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, bookstore, pizzeria, craft_shop : 38056
Saved path: pizzeria, craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, pet_store, bakery, toy_store, noodle_house, grocery_store, cafe, burger_joint, gym : 45307
Saved path: craft_shop, gelateria, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist : 41075
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, music_store, bank, dentist, cafe, bookstore, tech_shop, noodle_house, toy_store, bakery, pet_store : 44660
Saved path: salon, bakery, pet_store, gym, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, florist, music_store, pharmacy, party_store : 42158
Saved path: burger_joint, gym, bakery, bike_shop, salon, party_store, pharmacy, music_store, bank, dentist, clothing_store, toy_store, noodle_house, tech_shop, bookstore : 39744
Saved path: pet_store, bakery, jewelry_store, party_store, pharmacy, music_store, craft_shop, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym : 44858
Saved path: craft_shop, pizzeria, gym, burger_joint, noodle_house, tech_shop, clothing_store, toy_store, jewelry_store, bakery, salon, pharmacy, gelateria, florist, bank : 32136
Saved path: toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, craft_shop, florist, music_store, pharmacy, party_store, bakery, bike_shop, jewelry_store, barber_shop : 36147
Saved path: toy_store, tech_shop, hardware_store, gym, craft_shop, bank, florist, gelateria, party_store, salon, bike_shop, pet_store, bakery, jewelry_store, barber_shop : 43414
Saved path: craft_shop, music_store, gelateria, pharmacy, party_store, jewelry_store, pet_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe, bookstore : 45612
Saved path: gelateria, music_store, pizzeria, bookstore, cafe, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, salon, bakery, pet_store : 43799
Saved path: gelateria, music_store, florist, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, jewelry_store, salon, pet_store : 45962
Saved path: music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, clothing_store, cafe, bookstore, pizzeria, florist : 46526
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, music_store, gelateria, party_store, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, clothing_store : 34931
Saved path: jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, craft_shop, pizzeria, music_store, party_store, salon, bakery, pet_store : 47237
Saved path: party_store, pharmacy, music_store, florist, craft_shop, dentist, grocery_store, cafe, bookstore, burger_joint, tech_shop, toy_store, bakery, bike_shop, salon : 37160
Saved path: clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store, pharmacy, gelateria, florist, craft_shop, bookstore, cafe : 30999
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, salon, bakery : 32686
Saved path: craft_shop, pizzeria, bookstore, burger_joint, noodle_house, clothing_store, toy_store, hardware_store, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, florist : 40111
Saved path: bookstore, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, bakery, bike_shop, salon, jewelry_store, party_store, pharmacy, music_store, craft_shop, pizzeria : 34844
Saved path: bank, craft_shop, gym, bookstore, dentist, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, pharmacy, music_store, florist : 51917
Saved path: toy_store, noodle_house, burger_joint, gym, hardware_store, pet_store, bike_shop, salon, pharmacy, gelateria, florist, craft_shop, dentist, cafe, clothing_store : 46248
Saved path: toy_store, noodle_house, tech_shop, grocery_store, cafe, bookstore, craft_shop, bank, florist, gelateria, party_store, bakery, bike_shop, jewelry_store, barber_shop : 33489
Saved path: burger_joint, gym, hardware_store, party_store, gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore : 45809
Saved path: music_store, florist, bank, pizzeria, dentist, cafe, burger_joint, tech_shop, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, gelateria : 38825
Saved path: tech_shop, burger_joint, hardware_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, florist, pizzeria, dentist, clothing_store, toy_store : 40609
Saved path: bank, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, bookstore, cafe, burger_joint, gym, craft_shop : 46109
Saved path: dentist, craft_shop, bank, music_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe : 38664
Saved path: party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, bank, florist, pizzeria, bookstore, burger_joint, hardware_store : 40754
Saved path: toy_store, gym, pet_store, party_store, pharmacy, gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store : 47703
Saved path: craft_shop, pizzeria, bank, music_store, pharmacy, pet_store, bakery, barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, dentist : 49705
Saved path: music_store, gelateria, pharmacy, party_store, salon, pet_store, bakery, barber_shop, toy_store, clothing_store, dentist, burger_joint, hardware_store, gym, florist : 52014
Saved path: bakery, gym, toy_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, pizzeria, bank, music_store, gelateria, party_store, bike_shop, pet_store : 48782
Saved path: pizzeria, florist, music_store, gelateria, pharmacy, party_store, pet_store, gym, toy_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop : 46858
Saved path: craft_shop, pizzeria, bank, florist, gelateria, bakery, bike_shop, salon, hardware_store, gym, toy_store, noodle_house, clothing_store, cafe, dentist : 37116
Saved path: jewelry_store, salon, bakery, party_store, pharmacy, gelateria, florist, bank, craft_shop, gym, toy_store, grocery_store, cafe, burger_joint, hardware_store : 31492
Saved path: salon, pharmacy, bank, dentist, cafe, bookstore, burger_joint, tech_shop, clothing_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop : 50193
Saved path: toy_store, clothing_store, grocery_store, cafe, dentist, craft_shop, bank, florist, music_store, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, tech_shop : 35734
Saved path: pharmacy, music_store, bank, gym, pizzeria, bookstore, cafe, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 46559
Saved path: dentist, craft_shop, pizzeria, gelateria, pharmacy, jewelry_store, bike_shop, bakery, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, cafe : 39784
Saved path: pet_store, jewelry_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, bookstore, florist, music_store, gelateria, pharmacy, party_store : 45905
Saved path: clothing_store, grocery_store, dentist, bookstore, pizzeria, florist, music_store, pharmacy, party_store, jewelry_store, bakery, pet_store, burger_joint, tech_shop, toy_store : 47391
Saved path: grocery_store, clothing_store, tech_shop, toy_store, barber_shop, bakery, party_store, gelateria, florist, bank, pizzeria, gym, hardware_store, burger_joint, cafe : 34468
