Saved path: clothing_store, noodle_house, salon, toy_store, burger_joint, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, tech_shop : 64495
Saved path: noodle_house, toy_store, barber_shop, pharmacy, music_store, florist, craft_shop, gym, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 47684
Saved path: party_store, jewelry_store, bike_shop, barber_shop, pharmacy, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, clothing_store, toy_store, hardware_store : 71153
Saved path: pet_store, bank, music_store, bike_shop, jewelry_store, party_store, hardware_store, gym, bookstore, burger_joint, toy_store, salon, noodle_house, grocery_store, pizzeria : 72132
Saved path: pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, noodle_house, salon, hardware_store, gym, party_store, pharmacy, music_store, bank, gelateria : 64894
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, party_store, gelateria, craft_shop, gym, burger_joint, bookstore, cafe, dentist, tech_shop, grocery_store : 54295
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, barber_shop, jewelry_store, bakery, bank, pet_store, dentist, cafe, bookstore : 68387
Saved path: dentist, pizzeria, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, toy_store, gym, burger_joint, bookstore : 68504
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, bookstore, dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, bakery : 65638
Saved path: cafe, tech_shop, dentist, pizzeria, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, barber_shop, toy_store, hardware_store, burger_joint : 71025
Saved path: barber_shop, salon, hardware_store, toy_store, clothing_store, grocery_store, bookstore, pizzeria, craft_shop, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop : 63195
Saved path: pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, jewelry_store : 64372
Saved path: bakery, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store : 59078
Saved path: bookstore, cafe, tech_shop, clothing_store, noodle_house, bike_shop, party_store, pharmacy, music_store, bank, gelateria, florist, craft_shop, gym, burger_joint : 54469
Saved path: hardware_store, gym, craft_shop, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, cafe, burger_joint : 60937
Saved path: salon, barber_shop, bakery, party_store, bike_shop, gelateria, bank, music_store, florist, pet_store, craft_shop, burger_joint, cafe, tech_shop, clothing_store : 61883
Saved path: pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, gym, pet_store, craft_shop : 52544
Saved path: cafe, pizzeria, pet_store, bank, music_store, pharmacy, party_store, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint : 64704
Saved path: bank, music_store, pharmacy, bakery, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, florist : 61296
Saved path: pet_store, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, hardware_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, dentist, pizzeria : 62203
