Saved path: jewelry_store, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, cafe, dentist, pizzeria, bank, party_store, salon, bike_shop, pet_store, bakery : 45900
Saved path: tech_shop, noodle_house, toy_store, hardware_store, barber_shop, bakery, bike_shop, party_store, gelateria, florist, bank, pizzeria, bookstore, cafe, clothing_store : 35816
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, florist, pharmacy, party_store, bakery, bike_shop, salon : 41456
Saved path: party_store, pharmacy, gelateria, florist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store, bike_shop : 45548
Saved path: cafe, bookstore, pizzeria, florist, music_store, party_store, salon, bike_shop, bakery, barber_shop, hardware_store, toy_store, tech_shop, clothing_store, grocery_store : 37502
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery : 37366
Saved path: noodle_house, toy_store, clothing_store, grocery_store, bookstore, cafe, dentist, craft_shop, florist, gelateria, jewelry_store, salon, bakery, gym, burger_joint : 38174
Saved path: bookstore, dentist, cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, gym, pizzeria : 50775
Saved path: florist, music_store, gelateria, pharmacy, party_store, jewelry_store, bakery, gym, toy_store, bookstore, cafe, dentist, craft_shop, pizzeria, bank : 38087
Saved path: bank, florist, gelateria, pharmacy, party_store, salon, bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, cafe, pizzeria, craft_shop : 31693
Saved path: bakery, gelateria, florist, bank, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, salon, bike_shop, pet_store : 42935
Saved path: gym, pet_store, bike_shop, salon, jewelry_store, party_store, gelateria, music_store, pizzeria, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint : 51342
Saved path: barber_shop, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, bookstore, florist, music_store, pharmacy, salon, bakery, pet_store : 46045
Saved path: music_store, florist, bank, gym, burger_joint, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, salon, bike_shop, pet_store, bakery : 47292
Saved path: bakery, party_store, music_store, pizzeria, gym, craft_shop, dentist, bookstore, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, salon, bike_shop : 43896
Saved path: bakery, barber_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, music_store, party_store, bike_shop : 41524
Saved path: bike_shop, salon, party_store, pharmacy, craft_shop, dentist, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 48060
Saved path: bakery, salon, party_store, pharmacy, music_store, craft_shop, gym, bookstore, cafe, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store : 47219
