Saved path: burger_joint, bookstore, cafe, dentist, bank, gelateria, pharmacy, party_store, salon, pet_store, bakery, jewelry_store, barber_shop, toy_store, gym : 48785
Saved path: craft_shop, pizzeria, bookstore, burger_joint, cafe, grocery_store, toy_store, barber_shop, jewelry_store, salon, bakery, party_store, music_store, florist, bank : 32847
Saved path: noodle_house, toy_store, barber_shop, pet_store, bakery, party_store, hardware_store, gym, florist, bank, craft_shop, pizzeria, cafe, grocery_store, tech_shop : 43695
Saved path: toy_store, barber_shop, jewelry_store, bakery, salon, pharmacy, music_store, florist, craft_shop, pizzeria, gym, hardware_store, burger_joint, tech_shop, clothing_store : 36296
Saved path: hardware_store, gym, burger_joint, cafe, grocery_store, clothing_store, dentist, craft_shop, bank, florist, gelateria, pharmacy, party_store, bakery, pet_store : 42385
Saved path: bike_shop, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, tech_shop, grocery_store, clothing_store, toy_store, bakery, pet_store : 40789
Saved path: tech_shop, burger_joint, gym, hardware_store, bakery, bike_shop, salon, party_store, florist, bank, pizzeria, dentist, clothing_store, toy_store, noodle_house : 36939
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, pizzeria, bookstore, burger_joint, hardware_store, party_store, bakery, salon : 33399
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bakery, party_store, music_store, florist, pizzeria, craft_shop : 38369
Saved path: clothing_store, dentist, bookstore, burger_joint, gym, craft_shop, bank, florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store : 43792
Saved path: music_store, pharmacy, party_store, salon, bike_shop, jewelry_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, florist : 34685
Saved path: tech_shop, burger_joint, gym, jewelry_store, salon, pet_store, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, grocery_store, toy_store : 42916
Saved path: burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, bank, florist, gelateria, bakery, salon, jewelry_store, hardware_store : 36112
Saved path: gym, hardware_store, party_store, gelateria, music_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, bookstore : 48990
Saved path: toy_store, pet_store, salon, party_store, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store, tech_shop : 45115
Saved path: pet_store, bike_shop, music_store, florist, bank, dentist, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery : 54715
Saved path: pharmacy, party_store, salon, bakery, barber_shop, toy_store, noodle_house, tech_shop, cafe, burger_joint, gym, pizzeria, craft_shop, florist, music_store : 34210
Saved path: gelateria, party_store, bakery, bike_shop, jewelry_store, gym, burger_joint, bookstore, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, music_store : 43254
Saved path: bakery, hardware_store, toy_store, noodle_house, tech_shop, burger_joint, dentist, cafe, bookstore, pizzeria, bank, gelateria, music_store, salon, bike_shop : 37753
Saved path: cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, party_store, jewelry_store, bike_shop, pet_store, bakery, gym, toy_store, noodle_house : 44733
Saved path: noodle_house, burger_joint, gym, pet_store, salon, jewelry_store, party_store, pharmacy, music_store, florist, pizzeria, bookstore, cafe, clothing_store, toy_store : 44838
Saved path: grocery_store, toy_store, gym, bank, florist, music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, burger_joint, tech_shop : 36879
Saved path: clothing_store, grocery_store, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, bike_shop, bakery, hardware_store, gym, toy_store, noodle_house, tech_shop : 35340
Saved path: bank, florist, music_store, gelateria, pharmacy, salon, bakery, pet_store, gym, burger_joint, tech_shop, toy_store, grocery_store, dentist, craft_shop : 46270
Saved path: florist, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, craft_shop, bank : 37541
Saved path: bookstore, pizzeria, craft_shop, gym, pet_store, bakery, salon, pharmacy, party_store, jewelry_store, toy_store, clothing_store, grocery_store, tech_shop, burger_joint : 42512
Saved path: pharmacy, gelateria, gym, pizzeria, craft_shop, dentist, burger_joint, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, party_store : 49801
Saved path: noodle_house, tech_shop, grocery_store, cafe, dentist, craft_shop, gym, bank, florist, music_store, salon, bike_shop, bakery, barber_shop, toy_store : 42524
Saved path: party_store, pharmacy, gelateria, florist, craft_shop, dentist, grocery_store, bookstore, tech_shop, toy_store, hardware_store, salon, pet_store, bakery, barber_shop : 49022
Saved path: noodle_house, toy_store, gym, hardware_store, jewelry_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, florist, dentist, grocery_store, tech_shop : 40596
Saved path: dentist, cafe, clothing_store, toy_store, gym, hardware_store, jewelry_store, bakery, salon, party_store, pharmacy, music_store, florist, bank, craft_shop : 37072
Saved path: dentist, grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, music_store, florist, bank, pizzeria, craft_shop : 44332
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, pizzeria, craft_shop, bank, music_store, pharmacy, bakery, pet_store, bike_shop, hardware_store, gym : 42623
Saved path: hardware_store, gym, burger_joint, toy_store, grocery_store, dentist, craft_shop, music_store, gelateria, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store : 41594
Saved path: grocery_store, dentist, music_store, gelateria, pharmacy, pet_store, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, burger_joint, bookstore, cafe : 49586
Saved path: grocery_store, cafe, bookstore, pizzeria, bank, florist, music_store, gelateria, barber_shop, bakery, pet_store, hardware_store, gym, toy_store, noodle_house : 48101
Saved path: cafe, bookstore, gym, craft_shop, bank, music_store, gelateria, bike_shop, bakery, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist : 45417
Saved path: toy_store, noodle_house, tech_shop, burger_joint, gym, jewelry_store, bike_shop, music_store, florist, pizzeria, bookstore, cafe, dentist, grocery_store, clothing_store : 42837
Saved path: grocery_store, clothing_store, toy_store, noodle_house, burger_joint, jewelry_store, party_store, salon, bike_shop, pet_store, bakery, gym, bank, pizzeria, bookstore : 41057
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, tech_shop, grocery_store, cafe, gym, hardware_store, party_store, pharmacy, music_store, bakery, pet_store : 47523
Saved path: grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bakery, bike_shop, salon, hardware_store, florist, bank, pizzeria, bookstore, burger_joint, tech_shop : 32318
Saved path: dentist, cafe, clothing_store, noodle_house, toy_store, gym, bakery, pet_store, bike_shop, salon, jewelry_store, pharmacy, gelateria, music_store, florist : 50042
Saved path: pet_store, bike_shop, salon, party_store, pharmacy, florist, bank, craft_shop, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, bakery : 41424
Saved path: bike_shop, gelateria, bank, pizzeria, craft_shop, dentist, cafe, burger_joint, tech_shop, toy_store, hardware_store, jewelry_store, barber_shop, bakery, pet_store : 48598
Saved path: party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop, bookstore, cafe, dentist, craft_shop, music_store : 42581
Saved path: bakery, jewelry_store, barber_shop, toy_store, clothing_store, noodle_house, burger_joint, dentist, craft_shop, pizzeria, bank, florist, music_store, gelateria, pet_store : 48940
Saved path: bakery, party_store, gelateria, music_store, bank, craft_shop, dentist, bookstore, grocery_store, clothing_store, toy_store, hardware_store, salon, bike_shop, pet_store : 46765
Saved path: party_store, music_store, florist, bank, gym, bookstore, dentist, clothing_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 53288
Saved path: gelateria, party_store, barber_shop, bakery, bike_shop, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, dentist, craft_shop, pizzeria, florist : 42645
Saved path: pet_store, bike_shop, salon, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store, dentist, craft_shop, bank, florist, pharmacy, party_store, bakery : 44301
Saved path: jewelry_store, hardware_store, toy_store, clothing_store, grocery_store, cafe, burger_joint, pizzeria, bank, florist, gelateria, party_store, salon, bakery, pet_store : 40681
Saved path: bakery, pet_store, bike_shop, party_store, pharmacy, gelateria, bank, pizzeria, bookstore, dentist, clothing_store, tech_shop, toy_store, hardware_store, jewelry_store : 47466
Saved path: music_store, gelateria, party_store, pet_store, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, florist : 45631
Saved path: bakery, bike_shop, hardware_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, dentist, craft_shop, pizzeria, florist, music_store, gelateria : 37445
Saved path: pharmacy, gelateria, bank, craft_shop, dentist, cafe, bookstore, tech_shop, grocery_store, clothing_store, toy_store, bakery, pet_store, bike_shop, salon : 44140
Saved path: party_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, gym, craft_shop, bank, florist, music_store, gelateria : 37466
Saved path: grocery_store, dentist, bookstore, pizzeria, bank, florist, party_store, salon, pet_store, bakery, jewelry_store, hardware_store, burger_joint, noodle_house, toy_store : 45957
Saved path: barber_shop, jewelry_store, pet_store, bakery, salon, pharmacy, gelateria, music_store, bank, craft_shop, bookstore, burger_joint, cafe, grocery_store, toy_store : 44368
Saved path: toy_store, tech_shop, burger_joint, bakery, jewelry_store, party_store, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, cafe, dentist, clothing_store : 37175
Saved path: florist, bank, craft_shop, pizzeria, bookstore, burger_joint, dentist, clothing_store, toy_store, gym, bakery, pet_store, bike_shop, jewelry_store, gelateria : 49971
Saved path: craft_shop, dentist, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, barber_shop, bakery, party_store, florist, bank, pizzeria : 36846
Saved path: bakery, pet_store, bike_shop, hardware_store, toy_store, clothing_store, dentist, pizzeria, bank, florist, music_store, gelateria, pharmacy, party_store, barber_shop : 50718
Saved path: burger_joint, tech_shop, grocery_store, toy_store, hardware_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore : 47952
Saved path: burger_joint, tech_shop, noodle_house, toy_store, grocery_store, bookstore, pizzeria, craft_shop, gelateria, pharmacy, salon, bike_shop, jewelry_store, hardware_store, gym : 36792
Saved path: florist, pizzeria, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, burger_joint, hardware_store, pet_store, bike_shop, salon, jewelry_store, party_store : 44294
Saved path: pizzeria, bookstore, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, salon, bakery, pet_store, barber_shop, party_store, gelateria, craft_shop : 49461
Saved path: salon, hardware_store, gym, toy_store, grocery_store, bookstore, florist, music_store, gelateria, pharmacy, party_store, barber_shop, bakery, pet_store, bike_shop : 49164
Saved path: burger_joint, bookstore, pizzeria, gelateria, party_store, salon, pet_store, bakery, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, cafe : 43319
Saved path: pharmacy, music_store, craft_shop, gym, burger_joint, bookstore, dentist, clothing_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, party_store : 41960
Saved path: pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, gym, bank, florist, music_store, pharmacy, bike_shop : 51641
Saved path: gym, bakery, jewelry_store, party_store, gelateria, florist, bank, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store : 32164
Saved path: salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, tech_shop, hardware_store, gym, pizzeria, craft_shop, florist, music_store, pharmacy, party_store : 36928
Saved path: florist, craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, toy_store, gym, pet_store, bakery, salon, party_store, pharmacy, music_store : 41875
Saved path: florist, bookstore, burger_joint, cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, music_store : 35907
Saved path: pet_store, bakery, party_store, pharmacy, bank, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, toy_store, gym, hardware_store, jewelry_store, bike_shop : 44394
Saved path: florist, bookstore, cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, jewelry_store, party_store, pharmacy, gelateria, music_store : 43638
Saved path: pharmacy, gelateria, florist, craft_shop, dentist, cafe, clothing_store, noodle_house, toy_store, gym, hardware_store, barber_shop, bakery, bike_shop, party_store : 41949
Saved path: bike_shop, bakery, barber_shop, party_store, pharmacy, gelateria, bank, pizzeria, dentist, clothing_store, tech_shop, noodle_house, toy_store, hardware_store, salon : 40006
Saved path: jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, bank, florist, gym, hardware_store, party_store, bakery, pet_store, bike_shop : 45066
Saved path: jewelry_store, bakery, bike_shop, pharmacy, music_store, florist, bank, pizzeria, bookstore, grocery_store, tech_shop, noodle_house, toy_store, gym, hardware_store : 36972
Saved path: craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, toy_store, gym, hardware_store, pet_store, bakery, salon, pharmacy, music_store, florist : 43442
Saved path: bakery, pet_store, bike_shop, party_store, gelateria, music_store, florist, craft_shop, gym, burger_joint, cafe, grocery_store, toy_store, hardware_store, jewelry_store : 46292
Saved path: clothing_store, grocery_store, dentist, craft_shop, gym, florist, music_store, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, tech_shop : 52192
Saved path: bank, florist, music_store, gelateria, party_store, bakery, pet_store, barber_shop, toy_store, noodle_house, grocery_store, burger_joint, hardware_store, gym, craft_shop : 47340
Saved path: pharmacy, party_store, salon, pet_store, hardware_store, gym, burger_joint, tech_shop, noodle_house, toy_store, grocery_store, dentist, craft_shop, pizzeria, florist : 44847
Saved path: toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, gym, pizzeria, florist, music_store, gelateria, bakery, salon, jewelry_store, barber_shop : 39896
Saved path: gym, hardware_store, jewelry_store, salon, pet_store, bakery, gelateria, florist, pizzeria, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint : 48356
Saved path: tech_shop, burger_joint, gym, pet_store, bakery, party_store, gelateria, bank, craft_shop, pizzeria, bookstore, grocery_store, clothing_store, toy_store, noodle_house : 40583
Saved path: florist, music_store, gelateria, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, grocery_store, cafe, dentist, craft_shop : 49079
Saved path: party_store, pharmacy, music_store, bank, pizzeria, gym, burger_joint, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, bakery, pet_store, bike_shop : 44718
Saved path: clothing_store, cafe, bookstore, florist, music_store, gelateria, pharmacy, bike_shop, pet_store, bakery, barber_shop, hardware_store, gym, toy_store, noodle_house : 50070
Saved path: cafe, clothing_store, noodle_house, barber_shop, bakery, pet_store, party_store, pharmacy, gelateria, music_store, craft_shop, gym, hardware_store, burger_joint, bookstore : 48204
Saved path: hardware_store, barber_shop, bakery, pet_store, bike_shop, salon, party_store, music_store, florist, bank, craft_shop, burger_joint, cafe, grocery_store, toy_store : 47513
Saved path: bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, craft_shop, pizzeria : 34209
Saved path: hardware_store, gym, toy_store, tech_shop, burger_joint, bookstore, pizzeria, bank, florist, music_store, gelateria, pharmacy, barber_shop, bakery, bike_shop : 39168
Saved path: burger_joint, bookstore, music_store, gelateria, pharmacy, party_store, bakery, bike_shop, jewelry_store, hardware_store, gym, toy_store, clothing_store, grocery_store, tech_shop : 38493
Saved path: jewelry_store, salon, bike_shop, party_store, pharmacy, florist, pizzeria, dentist, cafe, grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store : 39857
Saved path: party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, burger_joint, bookstore, craft_shop, florist, music_store : 36565
Saved path: party_store, music_store, gelateria, pharmacy, hardware_store, bookstore, cafe, dentist, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, pet_store, bakery : 50844
Saved path: bakery, pet_store, burger_joint, tech_shop, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank, gelateria, pharmacy, salon : 43829
Saved path: hardware_store, bike_shop, pet_store, bakery, barber_shop, gelateria, florist, bank, pizzeria, bookstore, burger_joint, noodle_house, tech_shop, clothing_store, toy_store : 45640
Saved path: salon, jewelry_store, toy_store, clothing_store, tech_shop, noodle_house, burger_joint, pizzeria, craft_shop, bank, music_store, pharmacy, party_store, bakery, pet_store : 42844
Saved path: bookstore, cafe, grocery_store, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, bank, pizzeria : 43526
Saved path: barber_shop, bakery, pet_store, bike_shop, salon, pharmacy, gelateria, florist, gym, pizzeria, craft_shop, dentist, bookstore, tech_shop, toy_store : 50713
Saved path: bookstore, cafe, burger_joint, gym, craft_shop, bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop : 39218
Saved path: salon, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, cafe, clothing_store, toy_store, noodle_house, burger_joint, hardware_store, jewelry_store, pet_store : 44352
Saved path: gym, pizzeria, craft_shop, bank, florist, pharmacy, salon, bakery, pet_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, burger_joint : 43826
Saved path: bookstore, cafe, grocery_store, tech_shop, noodle_house, toy_store, gym, pet_store, bike_shop, salon, party_store, pharmacy, gelateria, music_store, pizzeria : 43422
Saved path: bike_shop, salon, jewelry_store, barber_shop, toy_store, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, gelateria, party_store, bakery, pet_store : 47615
Saved path: jewelry_store, hardware_store, toy_store, grocery_store, cafe, burger_joint, pizzeria, craft_shop, bank, florist, music_store, bike_shop, pet_store, bakery, barber_shop : 47513
Saved path: pet_store, salon, party_store, pharmacy, gelateria, music_store, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store : 45871
Saved path: craft_shop, bank, music_store, pharmacy, pet_store, bakery, barber_shop, toy_store, clothing_store, dentist, cafe, burger_joint, hardware_store, gym, pizzeria : 52204
Saved path: barber_shop, jewelry_store, bakery, pet_store, bike_shop, party_store, pharmacy, music_store, bank, pizzeria, burger_joint, cafe, grocery_store, clothing_store, toy_store : 44454
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, cafe : 35027
Saved path: barber_shop, bakery, salon, pharmacy, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, dentist, grocery_store, clothing_store, toy_store : 40830
Saved path: party_store, music_store, florist, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bike_shop, pet_store : 52630
Saved path: music_store, pharmacy, bakery, pet_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, florist : 45708
Saved path: bookstore, cafe, burger_joint, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon, bike_shop, pet_store, bakery, party_store, bank, craft_shop : 40855
Saved path: florist, bank, pizzeria, bookstore, cafe, grocery_store, clothing_store, tech_shop, toy_store, gym, bakery, bike_shop, pharmacy, gelateria, music_store : 34291
Saved path: pizzeria, bookstore, burger_joint, dentist, grocery_store, clothing_store, noodle_house, toy_store, barber_shop, bakery, pet_store, party_store, pharmacy, music_store, bank : 48991
Saved path: grocery_store, cafe, bookstore, burger_joint, toy_store, jewelry_store, bakery, bike_shop, salon, party_store, music_store, florist, bank, craft_shop, dentist : 39545
Saved path: gelateria, music_store, bakery, barber_shop, hardware_store, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, pizzeria, craft_shop, bank : 40971
Saved path: bookstore, dentist, craft_shop, gym, hardware_store, party_store, bakery, bike_shop, salon, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 36948
Saved path: salon, party_store, pharmacy, florist, craft_shop, pizzeria, burger_joint, cafe, grocery_store, tech_shop, noodle_house, toy_store, barber_shop, bakery, pet_store : 41830
Saved path: cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, gym, bakery, bike_shop, salon, gelateria, florist, bank, pizzeria, bookstore : 32656
Saved path: pizzeria, craft_shop, music_store, gelateria, party_store, bike_shop, jewelry_store, hardware_store, burger_joint, tech_shop, noodle_house, toy_store, clothing_store, dentist, bookstore : 42352
Saved path: craft_shop, pizzeria, bookstore, dentist, grocery_store, toy_store, noodle_house, burger_joint, gym, pet_store, bike_shop, party_store, pharmacy, gelateria, music_store : 50334
Saved path: burger_joint, cafe, dentist, craft_shop, pizzeria, bank, gelateria, pharmacy, jewelry_store, pet_store, bakery, gym, toy_store, noodle_house, tech_shop : 45669
Saved path: jewelry_store, salon, bike_shop, pet_store, hardware_store, gym, burger_joint, noodle_house, toy_store, clothing_store, dentist, craft_shop, gelateria, pharmacy, party_store : 48453
Saved path: grocery_store, clothing_store, tech_shop, toy_store, gym, hardware_store, bakery, party_store, pharmacy, florist, craft_shop, pizzeria, bookstore, cafe, dentist : 34456
Saved path: party_store, bike_shop, bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, cafe, dentist, gym, florist, gelateria, pharmacy : 41006
Saved path: jewelry_store, barber_shop, pharmacy, gelateria, florist, craft_shop, dentist, cafe, tech_shop, clothing_store, toy_store, gym, hardware_store, pet_store, bakery : 49399
