Saved path: tech_shop, bookstore, cafe, dentist, craft_shop, bank, florist, pharmacy, party_store, pet_store, bakery, barber_shop, jewelry_store, hardware_store, toy_store : 45741
Saved path: grocery_store, clothing_store, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, salon, bakery, pet_store, party_store, gelateria, florist, bookstore, dentist : 46769
Saved path: pharmacy, gelateria, music_store, bank, craft_shop, gym, burger_joint, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bakery, salon, party_store : 35488
Saved path: jewelry_store, barber_shop, toy_store, tech_shop, cafe, hardware_store, gym, pizzeria, craft_shop, florist, gelateria, party_store, bike_shop, pet_store, bakery : 45874
Saved path: bookstore, pizzeria, craft_shop, dentist, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, bakery, pet_store, bike_shop, salon, jewelry_store, burger_joint : 39154
Saved path: cafe, bookstore, tech_shop, toy_store, gym, jewelry_store, bike_shop, pet_store, bakery, gelateria, florist, bank, craft_shop, dentist, grocery_store : 49204
Saved path: florist, music_store, pharmacy, party_store, salon, jewelry_store, hardware_store, gym, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, bookstore, craft_shop : 34406
Saved path: hardware_store, burger_joint, noodle_house, toy_store, grocery_store, cafe, dentist, craft_shop, gelateria, pharmacy, party_store, jewelry_store, barber_shop, bakery, pet_store : 47444
Saved path: gelateria, bakery, pet_store, jewelry_store, barber_shop, toy_store, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop : 50305
Saved path: pet_store, bakery, salon, music_store, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, bookstore, hardware_store : 50993
Saved path: florist, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, tech_shop, burger_joint, gym, salon, party_store, pharmacy, gelateria, music_store : 37163
Saved path: pet_store, bike_shop, jewelry_store, toy_store, clothing_store, tech_shop, burger_joint, cafe, bookstore, pizzeria, florist, music_store, gelateria, pharmacy, party_store : 44421
Saved path: music_store, gelateria, pharmacy, party_store, bakery, pet_store, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, tech_shop, toy_store, grocery_store, dentist : 50558
Saved path: tech_shop, noodle_house, toy_store, gym, bakery, pet_store, salon, jewelry_store, party_store, pharmacy, florist, craft_shop, pizzeria, cafe, grocery_store : 41942
Saved path: florist, gelateria, party_store, salon, bakery, barber_shop, toy_store, noodle_house, clothing_store, dentist, cafe, bookstore, burger_joint, gym, bank : 39395
Saved path: salon, bike_shop, pet_store, bakery, toy_store, noodle_house, tech_shop, cafe, dentist, craft_shop, pizzeria, bank, florist, pharmacy, jewelry_store : 43440
