Saved path: barber_shop, toy_store, burger_joint, cafe, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, gelateria, pharmacy, salon, pet_store, bakery : 48964
Saved path: music_store, florist, craft_shop, pizzeria, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, gym, bike_shop, pet_store, bakery, jewelry_store : 46743
Saved path: bank, pizzeria, cafe, grocery_store, clothing_store, tech_shop, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, florist : 34699
Saved path: burger_joint, noodle_house, clothing_store, toy_store, barber_shop, bakery, pet_store, bike_shop, pharmacy, hardware_store, gym, pizzeria, craft_shop, dentist, cafe : 50752
Saved path: clothing_store, grocery_store, cafe, dentist, music_store, pharmacy, party_store, barber_shop, jewelry_store, salon, bakery, pet_store, hardware_store, toy_store, tech_shop : 49229
Saved path: bakery, barber_shop, toy_store, noodle_house, grocery_store, dentist, burger_joint, gym, craft_shop, bank, gelateria, music_store, salon, bike_shop, pet_store : 53199
Saved path: pizzeria, gym, hardware_store, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, gelateria, music_store, bank, craft_shop : 48750
Saved path: cafe, dentist, grocery_store, toy_store, hardware_store, jewelry_store, bike_shop, party_store, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, bookstore : 40316
Saved path: gym, toy_store, clothing_store, grocery_store, cafe, burger_joint, bakery, pet_store, bike_shop, jewelry_store, pharmacy, gelateria, florist, craft_shop, pizzeria : 43727
Saved path: cafe, grocery_store, clothing_store, toy_store, barber_shop, bakery, bike_shop, salon, party_store, pharmacy, gelateria, gym, pizzeria, craft_shop, dentist : 40699
Saved path: bookstore, pizzeria, craft_shop, bank, florist, gelateria, bike_shop, pet_store, bakery, burger_joint, tech_shop, toy_store, clothing_store, grocery_store, dentist : 45221
Saved path: pharmacy, party_store, salon, bakery, jewelry_store, gym, burger_joint, noodle_house, toy_store, clothing_store, grocery_store, dentist, cafe, bookstore, bank : 36981
Saved path: pet_store, bakery, pharmacy, gelateria, music_store, florist, pizzeria, bookstore, dentist, grocery_store, tech_shop, toy_store, gym, hardware_store, bike_shop : 49621
Saved path: clothing_store, grocery_store, dentist, craft_shop, pizzeria, florist, music_store, party_store, bakery, barber_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store : 41373
Saved path: burger_joint, tech_shop, toy_store, gym, hardware_store, pet_store, bakery, salon, barber_shop, party_store, gelateria, music_store, florist, pizzeria, bookstore : 47075
Saved path: music_store, gelateria, party_store, salon, bike_shop, bakery, jewelry_store, barber_shop, toy_store, gym, burger_joint, bookstore, dentist, craft_shop, bank : 43521
Saved path: cafe, bookstore, pizzeria, craft_shop, florist, music_store, pharmacy, party_store, salon, bike_shop, bakery, jewelry_store, hardware_store, toy_store, tech_shop : 33238
Saved path: bike_shop, bakery, party_store, pharmacy, florist, pizzeria, craft_shop, dentist, grocery_store, tech_shop, noodle_house, toy_store, hardware_store, jewelry_store, salon : 35881
Saved path: gelateria, pharmacy, party_store, jewelry_store, bakery, pet_store, gym, toy_store, clothing_store, dentist, cafe, bookstore, pizzeria, craft_shop, florist : 46859
Saved path: pizzeria, bank, gelateria, pharmacy, party_store, salon, bike_shop, pet_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, cafe, gym : 44490
