Saved path: salon, bike_shop, pet_store, bakery, gym, toy_store, tech_shop, clothing_store, grocery_store, cafe, pizzeria, craft_shop, bank, gelateria, pharmacy : 41498
Saved path: pizzeria, burger_joint, noodle_house, clothing_store, toy_store, hardware_store, jewelry_store, barber_shop, bakery, salon, party_store, pharmacy, music_store, bank, craft_shop : 35599
Saved path: bakery, pet_store, bike_shop, salon, party_store, music_store, florist, pizzeria, gym, hardware_store, cafe, tech_shop, noodle_house, toy_store, barber_shop : 47412
Saved path: pharmacy, party_store, salon, bike_shop, bakery, barber_shop, toy_store, noodle_house, clothing_store, cafe, dentist, craft_shop, pizzeria, gym, bank : 40850
Saved path: gym, hardware_store, salon, bike_shop, bakery, barber_shop, pharmacy, music_store, florist, craft_shop, pizzeria, bookstore, tech_shop, noodle_house, toy_store : 38408
Saved path: bookstore, burger_joint, hardware_store, jewelry_store, pet_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, dentist, clothing_store, toy_store, tech_shop : 48634
Saved path: barber_shop, jewelry_store, hardware_store, toy_store, tech_shop, cafe, bookstore, pizzeria, bank, gelateria, party_store, salon, bike_shop, pet_store, bakery : 43095
Saved path: bakery, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, cafe, gym, pizzeria, bank, florist, gelateria, pharmacy, party_store, pet_store : 41982
Saved path: party_store, bakery, pet_store, salon, jewelry_store, hardware_store, toy_store, clothing_store, tech_shop, bookstore, cafe, dentist, florist, music_store, pharmacy : 47686
Saved path: pet_store, bike_shop, salon, jewelry_store, barber_shop, toy_store, noodle_house, tech_shop, grocery_store, cafe, pizzeria, florist, gelateria, pharmacy, bakery : 42234
Saved path: craft_shop, dentist, cafe, grocery_store, tech_shop, toy_store, barber_shop, jewelry_store, salon, bakery, gelateria, music_store, florist, bank, gym : 40216
Saved path: hardware_store, gym, pizzeria, dentist, cafe, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, pharmacy, party_store, jewelry_store, bakery, pet_store : 47424
Saved path: jewelry_store, bakery, pharmacy, gelateria, music_store, bank, craft_shop, bookstore, grocery_store, clothing_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store : 33423
Saved path: toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, bank, gelateria, pharmacy, bakery, pet_store, bike_shop, salon, jewelry_store, hardware_store : 46486
Saved path: grocery_store, dentist, pizzeria, bank, florist, gelateria, party_store, bike_shop, pet_store, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store : 46796
Saved path: toy_store, gym, jewelry_store, salon, bike_shop, pet_store, bakery, gelateria, craft_shop, pizzeria, bookstore, dentist, grocery_store, clothing_store, tech_shop : 49810
Saved path: tech_shop, toy_store, barber_shop, jewelry_store, bike_shop, pet_store, bakery, pharmacy, gelateria, music_store, bank, bookstore, cafe, dentist, grocery_store : 50230
Saved path: cafe, tech_shop, noodle_house, toy_store, barber_shop, jewelry_store, pet_store, bakery, pharmacy, florist, bank, craft_shop, gym, hardware_store, burger_joint : 42497
Saved path: bakery, salon, music_store, gelateria, florist, bank, pizzeria, bookstore, dentist, grocery_store, clothing_store, toy_store, noodle_house, burger_joint, pet_store : 45752
Saved path: gym, hardware_store, jewelry_store, bike_shop, bakery, party_store, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, cafe, bookstore, pizzeria, bank : 32172
Saved path: bike_shop, bakery, barber_shop, toy_store, noodle_house, tech_shop, clothing_store, grocery_store, dentist, cafe, burger_joint, bookstore, pizzeria, gelateria, party_store : 40049
Saved path: gelateria, florist, bank, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, toy_store, barber_shop, bakery, pet_store, bike_shop : 48187
Saved path: pizzeria, craft_shop, florist, gelateria, barber_shop, bakery, pet_store, bike_shop, hardware_store, gym, toy_store, noodle_house, burger_joint, cafe, bookstore : 46877
Saved path: florist, craft_shop, dentist, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, gym, hardware_store, pet_store, bakery, barber_shop, party_store, gelateria : 49900
Saved path: bakery, barber_shop, toy_store, clothing_store, tech_shop, burger_joint, dentist, craft_shop, bank, florist, pizzeria, gym, hardware_store, party_store, salon : 38532
Saved path: cafe, grocery_store, toy_store, noodle_house, tech_shop, burger_joint, hardware_store, pet_store, bakery, salon, party_store, pharmacy, music_store, florist, craft_shop : 41212
Saved path: grocery_store, toy_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, party_store, gelateria, music_store, craft_shop, pizzeria, bookstore, cafe : 35690
Saved path: salon, bakery, hardware_store, toy_store, grocery_store, tech_shop, gym, pizzeria, craft_shop, bank, florist, music_store, gelateria, pharmacy, party_store : 32282
Saved path: tech_shop, clothing_store, toy_store, gym, hardware_store, salon, bike_shop, bakery, gelateria, music_store, florist, bank, craft_shop, pizzeria, cafe : 35643
