,post_office,barber_shop,bakery,bike_shop,cafe,clothing_store,dentist,craft_shop,grocery_store,jewelry_store,florist,hardware_store,gym,pizzeria,pet_store,music_store,pharmacy,toy_store,bank,bookstore,noodle_house,party_store,burger_joint,gelateria,salon,tech_shop
post_office,0.0,4732.7331,2576.3201,4263.7346,2865.7376000000004,4048.1569000000004,5919.325700000001,4143.2865,4138.9785,3232.2861000000003,6277.523699999999,645.2581,1926.7862000000002,4328.5842,7960.282299999999,8547.348199999999,6224.132,2626.1169,4963.3578,3149.4078000000004,2806.0864,3963.0989999999993,1958.1408999999999,7602.641299999998,2528.9001999999996,2649.1608
barber_shop,4732.7330999999995,0.0,3600.6732,5288.0877,7154.910699999999,6289.2282,10208.4988,8432.4596,6752.8387999999995,1500.447,10566.6968,4934.4312,6215.9593,8617.757300000001,8984.6354,9571.701299999999,7248.4851,5252.219800000001,9252.5309,7438.5809,5592.8473,4987.4520999999995,6247.313999999999,8626.9944,3553.2533,6121.1345
bakery,2576.3201000000004,3600.6731999999997,0.0,1705.2803,4998.4977,6180.9169999999995,8052.085800000001,6276.046600000001,6271.7386,2100.2262,8410.2838,2778.0182,4059.5463000000004,6461.344300000001,5383.962199999999,7415.2883,5092.0721,4758.8769999999995,7096.1179,5282.1679,4938.8465,2831.0391,4090.901,6470.5814,580.5803000000001,4781.9209
bike_shop,4263.7346,5288.087700000001,1705.2803,0.0,6685.9122,7868.3315,9739.5003,7963.4611,7959.1530999999995,3787.6407000000004,10097.6983,4465.4327,5746.960800000001,8148.7588000000005,5620.138299999999,9102.7028,6779.4866,6446.291499999999,8783.5324,6969.5824,6626.2609999999995,4518.4536,5778.3155,8157.995899999999,1734.8344,6469.3354
cafe,2865.7376000000004,7154.9107,4998.4977,6685.912200000001,0.0,1736.8515000000002,3053.5881000000004,3600.7643000000007,1273.2409000000002,5654.4637,5735.001499999999,3067.4357,3576.9238,2862.7624000000005,10382.4599,10851.850999999999,8646.3096,2671.6641,4420.8356,1087.6694,1848.1136000000001,6385.276599999999,929.9185,9907.1441,4951.0778,1319.8264000000004
clothing_store,4048.1569000000004,6289.228200000001,6180.917,7868.331500000001,1736.8515000000002,0.0,4237.8244,5148.754,463.61060000000003,6703.553400000001,7282.991199999999,4249.8550000000005,4759.3431,4410.7521,11564.8792,12151.945099999999,9828.7289,1722.3462000000002,5968.8252999999995,2635.6591,1602.3337000000001,7567.6959,2477.9082,11207.2382,6133.4971000000005,1398.9961000000003
dentist,5919.3257,10208.498800000001,8052.085800000001,9739.5003,3053.5881000000004,4237.824400000001,0.0,3814.1706,3774.213800000001,8708.051800000001,6501.111999999998,6121.023800000001,6030.6709,4552.172500000001,13436.048,11617.961499999998,11297.927699999997,5725.252200000001,5186.946099999999,4141.257500000001,4901.7017000000005,9438.8647,3983.5066000000006,10673.254599999998,8004.665900000001,4373.414500000001
craft_shop,4143.286499999999,8432.4596,6276.0466,7963.4611,3600.7643000000007,5148.754000000001,3814.1706,0.0,4874.0052000000005,6932.0126,2686.9413999999992,4344.9846,2216.5002999999997,738.0019000000002,11660.0088,7803.7909,7483.757099999999,5553.803399999999,1372.7754999999995,2513.0949000000005,4777.3227,7662.825499999999,3859.1276000000003,6859.084,6228.6267,4249.0355
grocery_store,4138.9785,6752.838800000001,6271.738600000001,7959.153100000001,1273.2409000000002,463.61060000000003,3774.2138000000004,4874.0052000000005,0.0,6927.704600000001,7008.242399999999,4340.676600000001,4850.164699999999,4136.0033,11655.7008,12125.0919,9919.550500000001,2185.9568000000004,5694.0765,2360.9103000000005,2020.1393000000007,7658.5175,2203.1594000000005,11180.385,6224.318700000001,1491.852100000001
jewelry_store,3232.2861000000003,1500.4469999999997,2100.2262,3787.6407000000004,5654.463700000001,6703.553399999999,8708.051800000001,6932.0126,6927.704600000001,0.0,9066.2498,3433.9842,4715.5123,7117.3103,7484.188399999999,8071.254299999999,5748.0381,5414.843,7752.0839,5938.133900000002,5594.8125,3487.0051,4746.867,7126.547399999999,2052.8063,5437.8869
