subject,experiment,session,comparison,time_len_a,time_len_b,time_compared_samples,n_events,n_close_diff_events,close_diff_event_indices,n_exact_time_diff,n_close_time_diff,mean_abs_time_diff,max_abs_time_diff,mean_signed_time_diff,std_time_diff,mse_time
LTP606,ValueCourier,5,BIDS vs CMLReader,10241,10241,10241,90,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP607,ValueCourier,1,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,1,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,3,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP607,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP609,ValueCourier,4,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,2,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP607,ValueCourier,4,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,4,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP609,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP609,ValueCourier,5,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP612,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP609,ValueCourier,3,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP607,ValueCourier,5,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP610,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP610,ValueCourier,2,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP614,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP610,ValueCourier,3,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP610,ValueCourier,5,BIDS vs CMLReader,10241,10241,10241,150,0,[],0,0,0.0,0.0,0.0,0.0,0.0
LTP613,ValueCourier,0,BIDS vs CMLReader,10241,10241,10241,75,0,[],0,0,0.0,0.0,0.0,0.0,0.0
