subject,experiment,session,comparison,source_a,source_b,n_common_channels,n_exact_diff_channels,n_close_diff_channels,mean_abs_diff,max_abs_diff,mean_signed_diff,std_diff,mse,n_samples_compared,exact_diff_channels,close_diff_channels,n_events,n_close_diff_events,close_diff_event_indices
LTP606,ValueCourier,5,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],90,0,[]
LTP607,ValueCourier,1,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP606,ValueCourier,1,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP606,ValueCourier,3,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP607,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
LTP609,ValueCourier,4,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP606,ValueCourier,2,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP607,ValueCourier,4,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP606,ValueCourier,4,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP609,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
LTP609,ValueCourier,5,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP612,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
LTP609,ValueCourier,3,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP607,ValueCourier,5,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP610,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
LTP610,ValueCourier,2,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP606,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
LTP614,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
LTP610,ValueCourier,3,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP610,ValueCourier,5,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],150,0,[]
LTP613,ValueCourier,0,BIDS vs CMLReader,BIDS,CMLReader,128,0,0,0.0,0.0,0.0,0.0,0.0,10241,[],[],75,0,[]
