subject,experiment,session,comparison,time_len_a,time_len_b,time_compared_samples,n_exact_time_diff,n_close_time_diff,mean_abs_time_diff,max_abs_time_diff,mean_signed_time_diff,std_time_diff,mse_time
LTP606,ValueCourier,1,BIDS vs CMLReader,11229184,11229184,11229184,11229183,11229183,2738758.256103516,5477516.512207031,-2738758.256103516,1581222.957220363,10001062825815.9
LTP606,ValueCourier,1,BIDS vs PYEDFLIB,11229184,11229184,11229184,0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,1,CMLReader vs PYEDFLIB,11229184,11229184,11229184,11229183,11229183,2738758.256103516,5477516.512207031,2738758.256103516,1581222.957220363,10001062825815.9
LTP606,ValueCourier,4,BIDS vs CMLReader,9787392,9787392,9787392,9787391,9787391,2387110.256103516,4774220.512207031,-2387110.256103516,1378198.8897603815,7597727554531.321
LTP606,ValueCourier,4,BIDS vs PYEDFLIB,9787392,9787392,9787392,0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,4,CMLReader vs PYEDFLIB,9787392,9787392,9787392,9787391,9787391,2387110.256103516,4774220.512207031,2387110.256103516,1378198.8897603815,7597727554531.321
LTP606,ValueCourier,5,BIDS vs CMLReader,5785600,5785600,5785600,5785599,5785599,1411087.2561035156,2822174.5122070312,-1411087.2561035156,814691.7479751019,2654889888556.479
LTP606,ValueCourier,5,BIDS vs PYEDFLIB,5785600,5785600,5785600,0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,5,CMLReader vs PYEDFLIB,5785600,5785600,5785600,5785599,5785599,1411087.2561035156,2822174.5122070312,1411087.2561035156,814691.7479751019,2654889888556.479
LTP606,ValueCourier,2,BIDS vs CMLReader,10551296,10551296,10551296,10551295,10551295,2573423.756103516,5146847.512207031,-2573423.756103516,1485767.039139043,8830013523069.906
LTP606,ValueCourier,2,BIDS vs PYEDFLIB,10551296,10551296,10551296,0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,2,CMLReader vs PYEDFLIB,10551296,10551296,10551296,10551295,10551295,2573423.756103516,5146847.512207031,2573423.756103516,1485767.039139043,8830013523069.906
LTP606,ValueCourier,3,BIDS vs CMLReader,9490432,9490432,9490432,9490431,9490431,2314682.756103516,4629365.512207031,-2314682.756103516,1336382.85313865,7143675391565.947
LTP606,ValueCourier,3,BIDS vs PYEDFLIB,9490432,9490432,9490432,0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,3,CMLReader vs PYEDFLIB,9490432,9490432,9490432,9490431,9490431,2314682.756103516,4629365.512207031,2314682.756103516,1336382.85313865,7143675391565.947
LTP606,ValueCourier,0,BIDS vs CMLReader,10821632,10821632,10821632,10821631,10821631,2639357.756103516,5278715.512207031,-2639357.756103516,1523834.051787792,9288279582091.766
LTP606,ValueCourier,0,BIDS vs PYEDFLIB,10821632,10821632,10821632,0,0,0.0,0.0,0.0,0.0,0.0
LTP606,ValueCourier,0,CMLReader vs PYEDFLIB,10821632,10821632,10821632,10821631,10821631,2639357.756103516,5278715.512207031,2639357.756103516,1523834.051787792,9288279582091.766
