,subject,serialpos,prob
0,LTP564,1,0.04878048780487805
1,LTP564,2,0.07317073170731707
2,LTP564,3,0.024390243902439025
3,LTP564,4,0.07317073170731707
4,LTP564,5,0.07317073170731707
5,LTP564,6,0.024390243902439025
6,LTP564,7,0.024390243902439025
7,LTP564,8,0.04878048780487805
8,LTP564,9,0.0
9,LTP564,10,0.0
10,LTP564,11,0.024390243902439025
11,LTP564,12,0.024390243902439025
12,LTP564,13,0.0
13,LTP564,14,0.14634146341463414
14,LTP564,15,0.4146341463414634
15,LTP565,1,0.5
16,LTP565,2,0.0
17,LTP565,3,0.0
18,LTP565,4,0.0
19,LTP565,5,0.0
20,LTP565,6,0.0
21,LTP565,7,0.0
22,LTP565,8,0.0
23,LTP565,9,0.0
24,LTP565,10,0.0
25,LTP565,11,0.0
26,LTP565,12,0.0
27,LTP565,13,0.0
28,LTP565,14,0.08333333333333333
29,LTP565,15,0.4166666666666667
30,LTP566,1,0.6111111111111112
31,LTP566,2,0.05555555555555555
32,LTP566,3,0.0
33,LTP566,4,0.05555555555555555
34,LTP566,5,0.0
35,LTP566,6,0.0
36,LTP566,7,0.0
37,LTP566,8,0.1111111111111111
38,LTP566,9,0.0
39,LTP566,10,0.0
40,LTP566,11,0.0
41,LTP566,12,0.0
42,LTP566,13,0.05555555555555555
43,LTP566,14,0.0
44,LTP566,15,0.1111111111111111
45,LTP567,1,0.030303030303030304
46,LTP567,2,0.0
47,LTP567,3,0.0
48,LTP567,4,0.0
49,LTP567,5,0.0
50,LTP567,6,0.0
51,LTP567,7,0.0
52,LTP567,8,0.0
53,LTP567,9,0.0
54,LTP567,10,0.030303030303030304
55,LTP567,11,0.06060606060606061
56,LTP567,12,0.030303030303030304
57,LTP567,13,0.06060606060606061
58,LTP567,14,0.12121212121212122
59,LTP567,15,0.6666666666666666
60,LTP568,1,0.1568627450980392
61,LTP568,2,0.058823529411764705
62,LTP568,3,0.0
63,LTP568,4,0.0
64,LTP568,5,0.0
65,LTP568,6,0.0
66,LTP568,7,0.0196078431372549
67,LTP568,8,0.0
68,LTP568,9,0.0
69,LTP568,10,0.0
70,LTP568,11,0.0
71,LTP568,12,0.0196078431372549
72,LTP568,13,0.058823529411764705
73,LTP568,14,0.13725490196078433
74,LTP568,15,0.5490196078431373
75,LTP569,1,0.06
76,LTP569,2,0.0
77,LTP569,3,0.0
78,LTP569,4,0.0
79,LTP569,5,0.02
80,LTP569,6,0.0
81,LTP569,7,0.0
82,LTP569,8,0.0
83,LTP569,9,0.02
84,LTP569,10,0.0
85,LTP569,11,0.04
86,LTP569,12,0.0
87,LTP569,13,0.08
88,LTP569,14,0.12
89,LTP569,15,0.66
90,LTP571,1,0.8867924528301887
91,LTP571,2,0.05660377358490566
92,LTP571,3,0.0
93,LTP571,4,0.018867924528301886
94,LTP571,5,0.0
95,LTP571,6,0.018867924528301886
96,LTP571,7,0.0
97,LTP571,8,0.0
98,LTP571,9,0.0
99,LTP571,10,0.018867924528301886
100,LTP571,11,0.0
101,LTP571,12,0.0
102,LTP571,13,0.0
103,LTP571,14,0.0
104,LTP571,15,0.0
105,LTP572,1,0.058823529411764705
106,LTP572,2,0.0196078431372549
107,LTP572,3,0.0196078431372549
108,LTP572,4,0.058823529411764705
109,LTP572,5,0.0392156862745098
110,LTP572,6,0.0
111,LTP572,7,0.0392156862745098
112,LTP572,8,0.0196078431372549
113,LTP572,9,0.0
114,LTP572,10,0.0392156862745098
115,LTP572,11,0.058823529411764705
116,LTP572,12,0.0
117,LTP572,13,0.0196078431372549
118,LTP572,14,0.17647058823529413
119,LTP572,15,0.45098039215686275
120,LTP573,1,0.20754716981132076
121,LTP573,2,0.09433962264150944
122,LTP573,3,0.018867924528301886
123,LTP573,4,0.11320754716981132
124,LTP573,5,0.03773584905660377
125,LTP573,6,0.05660377358490566
126,LTP573,7,0.0
127,LTP573,8,0.018867924528301886
128,LTP573,9,0.018867924528301886
129,LTP573,10,0.0
130,LTP573,11,0.018867924528301886
131,LTP573,12,0.0
132,LTP573,13,0.018867924528301886
133,LTP573,14,0.0
134,LTP573,15,0.39622641509433965
135,LTP574,1,0.018518518518518517
136,LTP574,2,0.037037037037037035
137,LTP574,3,0.018518518518518517
138,LTP574,4,0.0
139,LTP574,5,0.0
140,LTP574,6,0.0
141,LTP574,7,0.0
142,LTP574,8,0.0
143,LTP574,9,0.018518518518518517
144,LTP574,10,0.018518518518518517
145,LTP574,11,0.018518518518518517
146,LTP574,12,0.07407407407407407
147,LTP574,13,0.12962962962962962
148,LTP574,14,0.12962962962962962
149,LTP574,15,0.5370370370370371
150,LTP575,1,0.3018867924528302
151,LTP575,2,0.018867924528301886
152,LTP575,3,0.0
153,LTP575,4,0.018867924528301886
154,LTP575,5,0.018867924528301886
155,LTP575,6,0.018867924528301886
156,LTP575,7,0.03773584905660377
157,LTP575,8,0.03773584905660377
158,LTP575,9,0.03773584905660377
159,LTP575,10,0.018867924528301886
160,LTP575,11,0.018867924528301886
161,LTP575,12,0.05660377358490566
162,LTP575,13,0.11320754716981132
163,LTP575,14,0.1509433962264151
164,LTP575,15,0.1509433962264151
165,LTP576,1,0.07272727272727272
166,LTP576,2,0.07272727272727272
167,LTP576,3,0.01818181818181818
168,LTP576,4,0.03636363636363636
169,LTP576,5,0.03636363636363636
170,LTP576,6,0.0
171,LTP576,7,0.0
172,LTP576,8,0.05454545454545454
173,LTP576,9,0.0
174,LTP576,10,0.0
175,LTP576,11,0.0
176,LTP576,12,0.03636363636363636
177,LTP576,13,0.0
178,LTP576,14,0.14545454545454545
179,LTP576,15,0.5272727272727272
180,LTP577,1,0.2
181,LTP577,2,0.0
182,LTP577,3,0.13333333333333333
183,LTP577,4,0.0
184,LTP577,5,0.0
185,LTP577,6,0.0
186,LTP577,7,0.0
187,LTP577,8,0.06666666666666667
188,LTP577,9,0.0
189,LTP577,10,0.0
190,LTP577,11,0.0
191,LTP577,12,0.06666666666666667
192,LTP577,13,0.13333333333333333
193,LTP577,14,0.06666666666666667
194,LTP577,15,0.3333333333333333
195,LTP578,1,0.32727272727272727
196,LTP578,2,0.14545454545454545
197,LTP578,3,0.09090909090909091
198,LTP578,4,0.05454545454545454
199,LTP578,5,0.03636363636363636
200,LTP578,6,0.01818181818181818
201,LTP578,7,0.01818181818181818
202,LTP578,8,0.01818181818181818
203,LTP578,9,0.01818181818181818
204,LTP578,10,0.01818181818181818
205,LTP578,11,0.01818181818181818
206,LTP578,12,0.01818181818181818
207,LTP578,13,0.03636363636363636
208,LTP578,14,0.07272727272727272
209,LTP578,15,0.10909090909090909
210,LTP579,1,0.8
211,LTP579,2,0.0
212,LTP579,3,0.2
213,LTP579,4,0.0
214,LTP579,5,0.0
215,LTP579,6,0.0
216,LTP579,7,0.0
217,LTP579,8,0.0
218,LTP579,9,0.0
219,LTP579,10,0.0
220,LTP579,11,0.0
221,LTP579,12,0.0
222,LTP579,13,0.0
223,LTP579,14,0.0
224,LTP579,15,0.0
225,LTP580,1,0.019230769230769232
226,LTP580,2,0.038461538461538464
227,LTP580,3,0.038461538461538464
228,LTP580,4,0.0
229,LTP580,5,0.0
230,LTP580,6,0.019230769230769232
231,LTP580,7,0.0
232,LTP580,8,0.019230769230769232
233,LTP580,9,0.019230769230769232
234,LTP580,10,0.019230769230769232
