Saved path: hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bakery, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore : 50652
Saved path: party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, clothing_store, noodle_house, toy_store, burger_joint, hardware_store : 56353
Saved path: bakery, pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, gym, hardware_store, toy_store, salon, barber_shop, jewelry_store, party_store : 67486
Saved path: music_store, pharmacy, jewelry_store, hardware_store, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank : 66885
Saved path: bakery, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, noodle_house, bookstore, burger_joint, gym, hardware_store, party_store : 58947
Saved path: bakery, hardware_store, gym, gelateria, bank, florist, craft_shop, pizzeria, dentist, cafe, bookstore, clothing_store, noodle_house, toy_store, barber_shop : 58899
Saved path: gym, craft_shop, florist, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, grocery_store, dentist, cafe, burger_joint : 64445
Saved path: dentist, cafe, bookstore, tech_shop, grocery_store, noodle_house, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store, craft_shop : 61894
Saved path: gelateria, pharmacy, bakery, hardware_store, gym, toy_store, salon, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store : 48967
Saved path: gym, craft_shop, pet_store, gelateria, bike_shop, jewelry_store, bakery, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint : 58166
Saved path: pet_store, bank, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym : 69073
Saved path: pet_store, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, bakery, pharmacy, gelateria, bank : 57836
Saved path: bike_shop, jewelry_store, party_store, bakery, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, cafe, gym, hardware_store : 58084
Saved path: tech_shop, noodle_house, salon, toy_store, hardware_store, party_store, bakery, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore : 63861
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, pet_store, craft_shop, gym, hardware_store, bakery : 49398
Saved path: dentist, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store : 62845
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, hardware_store, gym, toy_store, noodle_house, bookstore, dentist, pet_store, florist, gelateria, bank : 64475
Saved path: noodle_house, toy_store, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, florist, gym, hardware_store, party_store, bike_shop, barber_shop : 59101
Saved path: hardware_store, bakery, bank, gelateria, florist, craft_shop, dentist, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, gym : 51110
Saved path: pizzeria, dentist, tech_shop, grocery_store, burger_joint, hardware_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, pharmacy, gelateria, florist, craft_shop : 59477
