Saved path: tech_shop, cafe, burger_joint, gym, craft_shop, pet_store, bank, gelateria, bakery, bike_shop, party_store, hardware_store, salon, noodle_house, clothing_store : 58034
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, pharmacy, bank, florist, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop : 65831
Saved path: burger_joint, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, gym : 62870
Saved path: barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, toy_store : 67785
Saved path: toy_store, barber_shop, jewelry_store, party_store, bike_shop, gym, pet_store, florist, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house : 61656
Saved path: pet_store, craft_shop, gym, bookstore, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, bakery, pharmacy, bank, florist : 60598
Saved path: burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria, hardware_store : 59055
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, florist, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store : 56098
Saved path: bakery, pharmacy, gelateria, bank, florist, dentist, cafe, bookstore, burger_joint, hardware_store, noodle_house, salon, barber_shop, jewelry_store, party_store : 65655
Saved path: jewelry_store, hardware_store, toy_store, burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery : 63294
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, tech_shop : 55258
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, bookstore : 54528
Saved path: bakery, music_store, bank, gelateria, florist, pizzeria, dentist, cafe, grocery_store, clothing_store, toy_store, burger_joint, gym, hardware_store, jewelry_store : 60656
Saved path: pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, toy_store, salon, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, music_store : 60601
Saved path: cafe, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, bank, music_store, florist, pet_store, pizzeria, dentist, tech_shop : 63317
Saved path: dentist, bookstore, gym, pet_store, florist, music_store, bank, gelateria, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop : 58847
Saved path: bakery, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 62062
