Saved path: salon, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, florist, music_store, bank, bakery, bike_shop, jewelry_store : 61720
Saved path: grocery_store, tech_shop, dentist, craft_shop, florist, music_store, bank, gelateria, bakery, party_store, hardware_store, gym, toy_store, salon, noodle_house : 59660
Saved path: grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, bike_shop, barber_shop, gym, burger_joint, bookstore, cafe : 60099
Saved path: bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, party_store, jewelry_store, barber_shop, noodle_house, grocery_store : 68304
Saved path: pharmacy, music_store, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, bike_shop, bakery : 55037
Saved path: tech_shop, pizzeria, pet_store, bank, music_store, florist, bookstore, burger_joint, hardware_store, bike_shop, party_store, bakery, barber_shop, noodle_house, clothing_store : 67454
Saved path: craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, grocery_store, dentist, burger_joint, gym : 58888
Saved path: bakery, party_store, pharmacy, music_store, bank, florist, craft_shop, gym, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, noodle_house, barber_shop : 63384
Saved path: clothing_store, cafe, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, jewelry_store, hardware_store, gym, burger_joint, toy_store, salon : 56092
Saved path: pet_store, gym, burger_joint, bookstore, cafe, dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, music_store, florist : 57811
Saved path: florist, music_store, bank, gelateria, hardware_store, toy_store, salon, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop : 53752
Saved path: bank, pharmacy, bakery, bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, pet_store, florist : 60665
Saved path: party_store, jewelry_store, gelateria, gym, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery : 58725
Saved path: music_store, florist, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria, bank : 70306
Saved path: bike_shop, jewelry_store, party_store, gelateria, music_store, florist, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, noodle_house, salon, barber_shop : 68110
Saved path: hardware_store, gym, pet_store, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, toy_store, noodle_house, grocery_store, pizzeria, dentist, burger_joint : 62878
Saved path: grocery_store, toy_store, barber_shop, bakery, party_store, bank, music_store, florist, craft_shop, gym, burger_joint, cafe, dentist, pizzeria, tech_shop : 63775
Saved path: bakery, bike_shop, jewelry_store, hardware_store, salon, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, pharmacy : 63666
Saved path: pizzeria, gym, burger_joint, grocery_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank, pet_store : 70958
Saved path: florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, bike_shop, pharmacy, bank : 59454
Saved path: dentist, pizzeria, craft_shop, pet_store, music_store, jewelry_store, party_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore : 61029
Saved path: craft_shop, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, florist, pet_store : 61317
Saved path: bank, pharmacy, bakery, bike_shop, gym, burger_joint, toy_store, salon, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist : 62456
Saved path: cafe, burger_joint, toy_store, noodle_house, barber_shop, bike_shop, party_store, bakery, gym, pet_store, florist, craft_shop, pizzeria, dentist, tech_shop : 57046
Saved path: toy_store, grocery_store, tech_shop, cafe, dentist, pet_store, florist, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, salon : 67098
Saved path: clothing_store, noodle_house, salon, burger_joint, gym, bike_shop, bakery, bank, florist, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store : 59824
Saved path: grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria, tech_shop, cafe, bookstore : 51646
Saved path: salon, toy_store, clothing_store, grocery_store, bookstore, dentist, craft_shop, pet_store, bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store : 65766
Saved path: bike_shop, party_store, bakery, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop, pet_store, bank, gelateria : 58376
Saved path: gelateria, bank, florist, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, toy_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy : 55246
Saved path: music_store, bank, gelateria, bakery, bike_shop, jewelry_store, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym : 64941
Saved path: burger_joint, bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, florist, gym : 50367
Saved path: salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, party_store, bike_shop : 62595
Saved path: toy_store, clothing_store, grocery_store, tech_shop, pizzeria, cafe, bookstore, gym, bank, gelateria, pharmacy, bakery, bike_shop, barber_shop, salon : 60271
Saved path: pet_store, craft_shop, pizzeria, tech_shop, grocery_store, cafe, bookstore, hardware_store, toy_store, salon, barber_shop, pharmacy, bank, music_store, florist : 59204
Saved path: dentist, craft_shop, pet_store, bank, florist, gym, hardware_store, party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, burger_joint, bookstore : 70321
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, tech_shop, pizzeria, florist, music_store, bank, pharmacy : 66636
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store, bike_shop, bakery, pharmacy, bank, pet_store, pizzeria, tech_shop : 58790
Saved path: clothing_store, noodle_house, salon, party_store, bike_shop, music_store, bank, gelateria, florist, craft_shop, gym, burger_joint, bookstore, dentist, grocery_store : 62365
Saved path: burger_joint, gym, bike_shop, jewelry_store, bakery, pharmacy, bank, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store : 66788
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, bank, pet_store, craft_shop, bookstore : 54285
Saved path: bike_shop, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, cafe, dentist, pet_store, florist, bank, music_store : 60322
Saved path: music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, noodle_house, cafe, burger_joint, hardware_store, craft_shop, florist, bank : 64033
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, florist : 66765
Saved path: toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, florist, music_store, gelateria, pharmacy, bakery, jewelry_store : 52886
Saved path: craft_shop, florist, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, dentist, pizzeria : 48505
Saved path: barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, music_store, pharmacy, bakery, party_store, jewelry_store : 60214
Saved path: grocery_store, tech_shop, bookstore, dentist, pet_store, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, salon, toy_store : 60542
Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, pet_store, gym, bookstore, tech_shop : 56227
Saved path: barber_shop, hardware_store, toy_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop : 62479
Saved path: gelateria, jewelry_store, party_store, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, florist : 61182
Saved path: bike_shop, party_store, bakery, pharmacy, florist, pet_store, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop : 59275
Saved path: salon, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, toy_store : 55027
Saved path: bank, music_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, cafe, hardware_store, gym, craft_shop, gelateria : 60505
Saved path: toy_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, salon : 63221
Saved path: cafe, tech_shop, grocery_store, dentist, craft_shop, florist, bank, music_store, bike_shop, jewelry_store, party_store, bakery, toy_store, burger_joint, bookstore : 60631
Saved path: clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, toy_store : 70175
Saved path: cafe, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, grocery_store : 67835
Saved path: pet_store, florist, bank, pharmacy, party_store, gym, hardware_store, salon, noodle_house, clothing_store, bookstore, burger_joint, cafe, pizzeria, craft_shop : 67093
Saved path: bakery, party_store, jewelry_store, barber_shop, hardware_store, gym, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop, music_store, pharmacy : 62394
Saved path: cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, gym, hardware_store, burger_joint : 52739
Saved path: bank, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, cafe, tech_shop, dentist, craft_shop, pet_store : 66700
Saved path: bike_shop, barber_shop, toy_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, florist, bank, music_store, pharmacy, jewelry_store : 68227
Saved path: hardware_store, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, florist, bookstore, burger_joint : 53319
Saved path: music_store, gelateria, florist, pet_store, craft_shop, dentist, burger_joint, clothing_store, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy : 59242
