Saved path: jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store, tech_shop, cafe, gym, craft_shop, pet_store, florist, music_store, gelateria, bike_shop : 55063
Saved path: grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, gym, pet_store, bank, music_store, florist, craft_shop, dentist, burger_joint, bookstore, tech_shop : 64814
Saved path: gym, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, party_store : 65597
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, cafe, burger_joint, gym, hardware_store, jewelry_store, party_store, bakery, pharmacy, music_store, bank, pizzeria : 61326
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, noodle_house, cafe, dentist, florist, gelateria : 61106
Saved path: pet_store, gelateria, bank, music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, cafe, bookstore : 56281
Saved path: cafe, burger_joint, party_store, jewelry_store, bike_shop, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, clothing_store : 60124
Saved path: clothing_store, toy_store, salon, barber_shop, bike_shop, hardware_store, gym, pet_store, gelateria, music_store, florist, pizzeria, dentist, cafe, tech_shop : 57227
Saved path: gym, hardware_store, bakery, party_store, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, pet_store, bank, music_store : 67313
Saved path: clothing_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, florist, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house : 60887
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, hardware_store, gym, pet_store, florist, gelateria, bank, pharmacy, bike_shop, barber_shop, salon : 56603
Saved path: gelateria, bank, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, cafe, tech_shop, pizzeria, pet_store, florist : 62549
Saved path: barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, hardware_store, craft_shop, florist, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop : 56095
Saved path: bakery, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, florist, music_store, pharmacy : 47119
Saved path: bike_shop, bakery, pharmacy, gelateria, bank, florist, pet_store, gym, pizzeria, cafe, grocery_store, clothing_store, toy_store, salon, barber_shop : 61958
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, tech_shop, cafe, bookstore, hardware_store, pet_store, gelateria : 65504
Saved path: jewelry_store, party_store, bike_shop, pharmacy, music_store, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, grocery_store, noodle_house, salon : 62793
Saved path: bookstore, salon, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, gelateria, bank, bakery, jewelry_store, party_store, hardware_store, gym, burger_joint : 67708
