Saved path: party_store, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, bookstore, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, florist, gym : 62937
Saved path: gym, hardware_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house : 58727
Saved path: jewelry_store, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, clothing_store, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop, bakery : 59925
Saved path: salon, barber_shop, bike_shop, party_store, bank, florist, pet_store, gym, burger_joint, cafe, dentist, pizzeria, tech_shop, clothing_store, toy_store : 70285
Saved path: pizzeria, dentist, bookstore, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, florist, pet_store : 72066
Saved path: burger_joint, bookstore, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, florist, dentist : 62315
Saved path: barber_shop, salon, toy_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, bakery : 54657
Saved path: salon, barber_shop, pharmacy, music_store, gelateria, pet_store, gym, hardware_store, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 52775
Saved path: pharmacy, bakery, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, tech_shop, dentist, craft_shop, gym, pet_store, florist, bank : 69383
Saved path: party_store, bike_shop, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, toy_store, gym, pet_store, gelateria, pharmacy : 55757
Saved path: pet_store, bank, gelateria, florist, gym, hardware_store, party_store, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, dentist, pizzeria, craft_shop : 70594
Saved path: pizzeria, craft_shop, music_store, bank, gelateria, bakery, bike_shop, jewelry_store, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop : 64248
Saved path: florist, pet_store, pizzeria, dentist, grocery_store, clothing_store, bookstore, burger_joint, hardware_store, toy_store, barber_shop, bakery, pharmacy, music_store, bank : 61627
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, burger_joint, toy_store, barber_shop, bike_shop, party_store, bakery : 63742
Saved path: barber_shop, hardware_store, bakery, party_store, bike_shop, music_store, bank, gelateria, pet_store, pizzeria, cafe, grocery_store, clothing_store, noodle_house, salon : 66033
