Saved path: cafe, burger_joint, gym, craft_shop, pet_store, florist, bank, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, tech_shop : 64029
Saved path: party_store, jewelry_store, bike_shop, bakery, bank, gelateria, craft_shop, pizzeria, dentist, tech_shop, clothing_store, cafe, bookstore, burger_joint, hardware_store : 62105
Saved path: bookstore, craft_shop, florist, gelateria, bank, music_store, pharmacy, bike_shop, jewelry_store, party_store, hardware_store, salon, toy_store, burger_joint, tech_shop : 62039
Saved path: music_store, gelateria, florist, gym, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria : 62420
Saved path: noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore, pet_store, florist, music_store, gelateria, pharmacy, party_store, hardware_store, toy_store, salon : 52835
Saved path: hardware_store, burger_joint, bookstore, dentist, pizzeria, tech_shop, toy_store, salon, barber_shop, bakery, jewelry_store, music_store, gelateria, pet_store, gym : 65528
Saved path: bike_shop, barber_shop, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, grocery_store, cafe, bookstore, hardware_store, party_store : 61506
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, party_store, bakery, music_store, florist, pet_store, gym, burger_joint : 50636
Saved path: burger_joint, gym, hardware_store, bike_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, pizzeria, dentist, cafe, tech_shop, noodle_house, bookstore : 60627
Saved path: bakery, pharmacy, music_store, gelateria, gym, hardware_store, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store : 51084
Saved path: dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop, pharmacy, bank, music_store, craft_shop, gym, burger_joint, bookstore : 63526
Saved path: bakery, pharmacy, bank, florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, noodle_house, toy_store, hardware_store, party_store : 65265
Saved path: noodle_house, salon, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, bank, florist, pet_store, hardware_store, burger_joint, dentist, tech_shop, grocery_store : 71373
Saved path: pet_store, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist : 57626
Saved path: pizzeria, tech_shop, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, florist, gym, hardware_store, burger_joint : 60350
Saved path: bookstore, cafe, tech_shop, grocery_store, noodle_house, salon, jewelry_store, party_store, bike_shop, bakery, bank, gelateria, florist, craft_shop, dentist : 62883
Saved path: noodle_house, clothing_store, toy_store, burger_joint, bookstore, pizzeria, craft_shop, gym, hardware_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 55588
