Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, pharmacy, party_store, salon : 65544
Saved path: music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, burger_joint, clothing_store, toy_store, gym, bike_shop, party_store, jewelry_store : 61869
Saved path: salon, noodle_house, toy_store, gym, bookstore, tech_shop, pizzeria, florist, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 69803
Saved path: pharmacy, gelateria, craft_shop, pizzeria, dentist, tech_shop, clothing_store, toy_store, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 59988
Saved path: hardware_store, bakery, pharmacy, music_store, bank, florist, gym, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint : 48523
Saved path: pizzeria, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, barber_shop, hardware_store, gym, toy_store, grocery_store, bookstore, cafe, dentist : 62082
Saved path: gelateria, bakery, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank : 60944
Saved path: music_store, bank, gelateria, craft_shop, dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, gym, hardware_store, party_store, jewelry_store, bike_shop : 62868
Saved path: clothing_store, cafe, bookstore, burger_joint, gym, pet_store, florist, music_store, gelateria, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house : 49964
Saved path: tech_shop, pizzeria, craft_shop, florist, gelateria, jewelry_store, bike_shop, bakery, hardware_store, gym, burger_joint, toy_store, salon, clothing_store, cafe : 57727
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, clothing_store, tech_shop, cafe, burger_joint, gym : 63847
Saved path: burger_joint, hardware_store, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store : 61296
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, cafe, grocery_store, clothing_store, noodle_house, burger_joint, hardware_store, bike_shop, bakery : 50913
Saved path: bakery, party_store, jewelry_store, bike_shop, gym, burger_joint, noodle_house, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, pharmacy : 65042
