Saved path: pet_store, craft_shop, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, hardware_store, bookstore, florist, music_store, bank : 70975
Saved path: pet_store, gelateria, bank, music_store, jewelry_store, bike_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 64173
Saved path: music_store, bank, gelateria, florist, pizzeria, gym, hardware_store, burger_joint, cafe, grocery_store, clothing_store, salon, barber_shop, bakery, jewelry_store : 66963
Saved path: pharmacy, gelateria, music_store, florist, gym, hardware_store, bookstore, pizzeria, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, party_store : 63023
Saved path: bookstore, tech_shop, pizzeria, pet_store, florist, music_store, pharmacy, party_store, jewelry_store, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint : 64902
Saved path: jewelry_store, party_store, bakery, gym, burger_joint, salon, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop, gelateria, bank, music_store : 66512
Saved path: pizzeria, craft_shop, pet_store, bank, music_store, party_store, bike_shop, barber_shop, noodle_house, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym : 67992
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, bank : 63099
Saved path: bank, pet_store, bookstore, burger_joint, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, hardware_store, gym, florist, music_store : 65567
Saved path: bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, gelateria, bank, music_store : 57878
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, hardware_store, burger_joint, cafe : 58053
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, hardware_store, craft_shop, gelateria, bank, music_store, pharmacy, party_store, jewelry_store : 63813
Saved path: burger_joint, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, craft_shop, gym, hardware_store : 52371
Saved path: bookstore, dentist, craft_shop, florist, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, clothing_store, grocery_store, tech_shop, cafe : 51291
Saved path: pharmacy, bakery, barber_shop, salon, grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, hardware_store, gym, craft_shop, florist, bank : 59248
Saved path: gelateria, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, clothing_store, bookstore, pizzeria, craft_shop, pet_store, florist, music_store, bank : 66099
Saved path: salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, barber_shop : 54305
Saved path: burger_joint, toy_store, noodle_house, clothing_store, cafe, dentist, pizzeria, craft_shop, pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop, gym : 54883
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, florist, bank, pet_store, gym : 66578
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, noodle_house, barber_shop, bakery, pharmacy, gelateria, music_store, florist : 50548
Saved path: tech_shop, grocery_store, cafe, bookstore, burger_joint, toy_store, salon, bike_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist : 58146
Saved path: cafe, pizzeria, craft_shop, pet_store, florist, music_store, jewelry_store, bike_shop, bakery, hardware_store, gym, toy_store, clothing_store, burger_joint, bookstore : 58092
Saved path: bakery, party_store, jewelry_store, barber_shop, toy_store, gym, burger_joint, grocery_store, tech_shop, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy : 66732
Saved path: barber_shop, salon, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, gym, craft_shop, music_store, pharmacy, bakery, jewelry_store, bike_shop : 59863
Saved path: jewelry_store, party_store, gym, hardware_store, salon, toy_store, burger_joint, cafe, tech_shop, dentist, craft_shop, gelateria, bank, music_store, bike_shop : 67087
Saved path: burger_joint, cafe, dentist, pizzeria, craft_shop, florist, bank, pet_store, gym, hardware_store, party_store, barber_shop, salon, noodle_house, clothing_store : 67021
Saved path: party_store, jewelry_store, hardware_store, gym, burger_joint, cafe, bookstore, noodle_house, clothing_store, pizzeria, florist, gelateria, bank, music_store, pharmacy : 62831
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, bakery : 63946
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, clothing_store, noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, gelateria, pet_store, craft_shop : 53604
Saved path: hardware_store, gym, craft_shop, pet_store, bank, pharmacy, bakery, jewelry_store, barber_shop, salon, grocery_store, tech_shop, cafe, bookstore, burger_joint : 62847
Saved path: pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, dentist, grocery_store, clothing_store, bookstore, burger_joint, gym, hardware_store, bike_shop, party_store : 51793
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, grocery_store, clothing_store, noodle_house, toy_store, gym, bike_shop, jewelry_store, bakery, pharmacy, music_store : 58240
Saved path: party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, dentist, craft_shop, gym, hardware_store, gelateria, music_store, pharmacy : 60186
