Saved path: florist, music_store, bank, bakery, party_store, bike_shop, barber_shop, noodle_house, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym : 67447
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, pharmacy, bakery : 52544
Saved path: barber_shop, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, pet_store, florist, pharmacy, bakery, jewelry_store, bike_shop : 55808
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym, craft_shop, music_store, bank, pharmacy, bakery, bike_shop, jewelry_store, salon : 66917
Saved path: pharmacy, bakery, party_store, hardware_store, toy_store, burger_joint, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, music_store : 55537
Saved path: noodle_house, clothing_store, grocery_store, dentist, pet_store, florist, bank, music_store, jewelry_store, party_store, bakery, hardware_store, burger_joint, toy_store, salon : 66108
Saved path: jewelry_store, party_store, bakery, pharmacy, gelateria, florist, pet_store, pizzeria, cafe, bookstore, clothing_store, toy_store, salon, barber_shop, bike_shop : 60712
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bakery, party_store, bike_shop : 57835
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, toy_store, gym, craft_shop, pet_store, florist, music_store : 54097
Saved path: jewelry_store, party_store, music_store, gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 58967
Saved path: noodle_house, clothing_store, grocery_store, cafe, burger_joint, gym, pizzeria, pet_store, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store : 63903
Saved path: bookstore, tech_shop, grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, gym, pet_store, florist, craft_shop, pizzeria, dentist : 58268
Saved path: party_store, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop : 52495
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, bank, music_store, florist, gym : 65748
Saved path: gym, craft_shop, pizzeria, dentist, cafe, bookstore, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store : 59780
Saved path: jewelry_store, salon, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, gelateria, florist, gym, hardware_store, bakery, bike_shop, party_store : 61500
Saved path: toy_store, salon, jewelry_store, bike_shop, bakery, pharmacy, music_store, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint : 59460
Saved path: pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, barber_shop, hardware_store, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, dentist : 60126
Saved path: bank, gelateria, bakery, jewelry_store, bike_shop, gym, toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store : 63385
Saved path: dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, gelateria, music_store, bakery, party_store, barber_shop, noodle_house, clothing_store : 54454
Saved path: gym, craft_shop, pet_store, gelateria, music_store, jewelry_store, bakery, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint : 61406
Saved path: grocery_store, clothing_store, salon, bike_shop, bakery, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop : 60915
Saved path: tech_shop, pizzeria, dentist, burger_joint, hardware_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store : 57964
Saved path: florist, music_store, bakery, jewelry_store, bike_shop, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, grocery_store, pizzeria, craft_shop : 56881
Saved path: toy_store, salon, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, party_store, bike_shop, music_store, bank, florist, gym : 64123
Saved path: burger_joint, gym, hardware_store, party_store, bakery, barber_shop, gelateria, bank, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, bookstore : 65350
Saved path: bank, gelateria, pharmacy, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, pizzeria, craft_shop, pet_store, florist : 63690
Saved path: hardware_store, burger_joint, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, craft_shop, pizzeria, gym : 59450
Saved path: bike_shop, party_store, bakery, gelateria, bank, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, toy_store, salon, hardware_store, gym : 60377
Saved path: party_store, jewelry_store, pharmacy, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, gym : 57982
Saved path: grocery_store, noodle_house, salon, hardware_store, bakery, pharmacy, bank, gelateria, craft_shop, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop : 55965
Saved path: cafe, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery, bank, music_store, craft_shop, pizzeria, dentist, tech_shop : 68680
Saved path: party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, bakery : 66882
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, hardware_store, gym, toy_store : 61001
Saved path: burger_joint, bookstore, grocery_store, clothing_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, cafe : 57135
Saved path: music_store, gelateria, craft_shop, pizzeria, dentist, cafe, burger_joint, hardware_store, gym, noodle_house, salon, barber_shop, bakery, party_store, pharmacy : 58055
Saved path: music_store, florist, pet_store, craft_shop, burger_joint, cafe, tech_shop, grocery_store, noodle_house, salon, toy_store, hardware_store, party_store, bakery, bank : 60850
Saved path: bookstore, cafe, tech_shop, pizzeria, pet_store, florist, gelateria, bank, pharmacy, bakery, party_store, bike_shop, hardware_store, salon, toy_store : 64988
Saved path: gelateria, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank : 64326
Saved path: clothing_store, barber_shop, bakery, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, toy_store : 59835
Saved path: craft_shop, pizzeria, dentist, clothing_store, noodle_house, salon, bookstore, burger_joint, gym, bakery, party_store, bike_shop, gelateria, bank, music_store : 65959
Saved path: jewelry_store, party_store, bakery, gym, florist, bank, pet_store, craft_shop, dentist, bookstore, grocery_store, noodle_house, salon, barber_shop, bike_shop : 70212
Saved path: grocery_store, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, barber_shop, bakery, party_store, jewelry_store, hardware_store, bookstore, cafe : 70609
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, music_store, florist, gym, hardware_store, bookstore, dentist, tech_shop, clothing_store, toy_store : 69233
Saved path: tech_shop, clothing_store, toy_store, hardware_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, pizzeria, dentist, cafe : 58780
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, gym, craft_shop, gelateria, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 60320
Saved path: music_store, pharmacy, party_store, bike_shop, gym, burger_joint, salon, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank : 66219
Saved path: craft_shop, gym, toy_store, noodle_house, tech_shop, cafe, bookstore, burger_joint, hardware_store, bakery, bike_shop, gelateria, bank, florist, pet_store : 53300
Saved path: hardware_store, burger_joint, bookstore, clothing_store, grocery_store, tech_shop, dentist, craft_shop, gelateria, bank, pharmacy, bike_shop, barber_shop, salon, toy_store : 59793
Saved path: bike_shop, barber_shop, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, florist, hardware_store : 56386
Saved path: florist, music_store, bank, gelateria, bakery, party_store, bike_shop, barber_shop, salon, toy_store, gym, bookstore, cafe, dentist, craft_shop : 63110
Saved path: toy_store, grocery_store, dentist, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, gym : 67164
Saved path: jewelry_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, dentist, pizzeria, craft_shop, music_store, bank, gym, hardware_store : 69204
Saved path: barber_shop, salon, hardware_store, bookstore, clothing_store, grocery_store, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy, bike_shop, jewelry_store : 72845
Saved path: toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank, pet_store, craft_shop, pizzeria, gym, hardware_store, bookstore, grocery_store : 63860
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, barber_shop : 54536
Saved path: pharmacy, music_store, bank, pet_store, craft_shop, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, toy_store, gym, hardware_store, bike_shop : 55563
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gelateria, music_store, pharmacy, bakery, barber_shop, salon, toy_store : 50806
Saved path: pizzeria, tech_shop, grocery_store, noodle_house, bookstore, gym, hardware_store, bakery, party_store, jewelry_store, gelateria, bank, music_store, florist, pet_store : 66335
Saved path: tech_shop, cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, jewelry_store, bakery, hardware_store, toy_store, grocery_store : 59476
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, toy_store, clothing_store, tech_shop, bookstore : 51921
Saved path: hardware_store, gym, burger_joint, clothing_store, dentist, pizzeria, craft_shop, florist, music_store, bank, bakery, party_store, bike_shop, barber_shop, salon : 67303
Saved path: craft_shop, pizzeria, dentist, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, music_store, bank, pet_store, gym : 70122
Saved path: gym, bike_shop, party_store, pharmacy, bank, gelateria, florist, craft_shop, pizzeria, dentist, cafe, burger_joint, toy_store, salon, hardware_store : 63026
Saved path: music_store, florist, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, gym, hardware_store, bakery, barber_shop, gelateria, bank : 56661
Saved path: toy_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, dentist, tech_shop, cafe, burger_joint : 55091
Saved path: salon, toy_store, grocery_store, tech_shop, pizzeria, burger_joint, hardware_store, gym, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop : 60264
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, bank, craft_shop, pizzeria, dentist, bookstore, burger_joint : 68925
Saved path: noodle_house, toy_store, hardware_store, salon, barber_shop, bike_shop, bakery, pharmacy, gelateria, florist, pet_store, dentist, tech_shop, grocery_store, clothing_store : 52010
Saved path: grocery_store, dentist, bookstore, burger_joint, gym, craft_shop, florist, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house : 58417
Saved path: burger_joint, gym, craft_shop, gelateria, music_store, bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, cafe : 58464
Saved path: bike_shop, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, florist, music_store, bank, gelateria, jewelry_store : 62775
Saved path: jewelry_store, hardware_store, barber_shop, salon, clothing_store, cafe, dentist, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, bike_shop : 67090
Saved path: hardware_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, gelateria, bank, gym : 71344
Saved path: craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, toy_store, salon, hardware_store, jewelry_store, party_store, pharmacy, bank, gelateria : 65870
Saved path: gelateria, music_store, bike_shop, jewelry_store, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, cafe, dentist, craft_shop, pet_store : 56985
Saved path: bike_shop, music_store, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, clothing_store, noodle_house, salon, burger_joint, hardware_store, bakery, party_store : 64736
Saved path: burger_joint, cafe, dentist, pet_store, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop : 59439
