Saved path: bakery, party_store, bike_shop, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, grocery_store, tech_shop, burger_joint, toy_store, salon, barber_shop : 65151
Saved path: bank, pharmacy, bakery, party_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, bookstore, burger_joint, cafe, dentist, pet_store, florist : 64768
Saved path: burger_joint, cafe, dentist, pizzeria, grocery_store, clothing_store, toy_store, barber_shop, party_store, bike_shop, gelateria, bank, music_store, florist, gym : 65166
Saved path: pizzeria, dentist, grocery_store, clothing_store, burger_joint, gym, bakery, party_store, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store : 63800
Saved path: burger_joint, hardware_store, gym, toy_store, noodle_house, barber_shop, bakery, party_store, pharmacy, gelateria, craft_shop, pizzeria, tech_shop, grocery_store, cafe : 55000
Saved path: grocery_store, toy_store, hardware_store, bakery, bike_shop, jewelry_store, barber_shop, music_store, bank, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop : 69260
Saved path: florist, pizzeria, tech_shop, cafe, bookstore, burger_joint, salon, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, bank : 65558
Saved path: gym, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store : 63070
Saved path: pizzeria, dentist, tech_shop, cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, bakery, music_store, gelateria, craft_shop : 60731
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, florist, bank, music_store, pharmacy, party_store, bike_shop, hardware_store, burger_joint, toy_store : 55772
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, party_store, jewelry_store, bike_shop, bakery, toy_store, burger_joint, cafe, tech_shop : 64898
Saved path: noodle_house, salon, toy_store, gym, hardware_store, bike_shop, jewelry_store, pharmacy, bank, florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store : 68890
Saved path: music_store, gelateria, pharmacy, bakery, hardware_store, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop : 46009
