Saved path: pizzeria, dentist, bookstore, burger_joint, toy_store, noodle_house, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, pet_store, craft_shop : 59406
Saved path: gelateria, music_store, pharmacy, bakery, bike_shop, party_store, hardware_store, burger_joint, bookstore, toy_store, salon, noodle_house, grocery_store, pizzeria, pet_store : 58575
Saved path: tech_shop, dentist, craft_shop, florist, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint, bookstore : 63739
Saved path: hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store, salon, barber_shop, bike_shop, pharmacy, florist, craft_shop, gym : 51048
Saved path: gym, hardware_store, bakery, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore, florist, music_store, gelateria, pet_store : 51616
Saved path: party_store, bakery, barber_shop, salon, noodle_house, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria, pet_store, florist, bank, pharmacy : 66855
Saved path: florist, pet_store, gym, bookstore, dentist, pizzeria, tech_shop, clothing_store, noodle_house, salon, barber_shop, bakery, jewelry_store, bike_shop, gelateria : 63877
Saved path: jewelry_store, bakery, pharmacy, music_store, gelateria, florist, craft_shop, bookstore, cafe, grocery_store, noodle_house, toy_store, hardware_store, salon, barber_shop : 54428
Saved path: party_store, jewelry_store, bike_shop, music_store, gelateria, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, toy_store, hardware_store : 55173
Saved path: party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bookstore, cafe, burger_joint, bakery : 54804
Saved path: clothing_store, noodle_house, burger_joint, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, florist, pizzeria, dentist, cafe, tech_shop, grocery_store : 52327
Saved path: bakery, barber_shop, salon, noodle_house, tech_shop, pizzeria, dentist, cafe, bookstore, burger_joint, hardware_store, gym, gelateria, bank, music_store : 59221
Saved path: gelateria, bank, music_store, pharmacy, hardware_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, grocery_store, dentist, craft_shop, pet_store : 68126
Saved path: bike_shop, hardware_store, bank, florist, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, jewelry_store : 66230
Saved path: bank, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, salon, toy_store, clothing_store, burger_joint, hardware_store, gym, pet_store, gelateria : 63642
Saved path: gym, bookstore, dentist, tech_shop, grocery_store, noodle_house, toy_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, bank, music_store, craft_shop : 67946
Saved path: florist, gelateria, music_store, pharmacy, party_store, jewelry_store, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, cafe, pizzeria, pet_store : 62075
Saved path: barber_shop, gelateria, bank, pet_store, pizzeria, dentist, tech_shop, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store : 70389
Saved path: gym, hardware_store, jewelry_store, party_store, pharmacy, bank, music_store, florist, craft_shop, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store : 62194
Saved path: pharmacy, gelateria, bank, music_store, pizzeria, tech_shop, grocery_store, clothing_store, bookstore, burger_joint, gym, hardware_store, bike_shop, jewelry_store, barber_shop : 68917
Saved path: clothing_store, noodle_house, salon, barber_shop, gym, hardware_store, bike_shop, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, pizzeria, dentist : 62116
Saved path: cafe, tech_shop, grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, music_store, florist, pet_store, gym, pizzeria, dentist : 62661
Saved path: bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bakery, pharmacy, bank, gym, burger_joint : 67546
Saved path: barber_shop, hardware_store, burger_joint, toy_store, noodle_house, clothing_store, grocery_store, dentist, pizzeria, pet_store, gelateria, pharmacy, bakery, bike_shop, jewelry_store : 60844
Saved path: salon, barber_shop, jewelry_store, hardware_store, burger_joint, bookstore, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, noodle_house, toy_store : 61316
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, barber_shop, bike_shop : 68546
Saved path: party_store, bike_shop, bakery, pharmacy, gelateria, music_store, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, jewelry_store : 52847
Saved path: toy_store, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, florist, bank, gelateria, pharmacy, jewelry_store, bike_shop, barber_shop : 66240
Saved path: clothing_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop : 55993
Saved path: gelateria, music_store, florist, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy : 53834
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, florist, bakery, party_store, jewelry_store, hardware_store, salon, noodle_house, grocery_store, tech_shop : 58783
Saved path: bookstore, cafe, dentist, pizzeria, grocery_store, clothing_store, barber_shop, bike_shop, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint : 55243
Saved path: bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, bank, gelateria : 69763
Saved path: cafe, dentist, pizzeria, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bank, pet_store, gym, hardware_store, burger_joint, bookstore : 70474
Saved path: toy_store, salon, barber_shop, pharmacy, gelateria, bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop, cafe, gym, hardware_store : 58956
Saved path: tech_shop, grocery_store, noodle_house, toy_store, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, gelateria, florist, craft_shop, dentist, cafe, bookstore : 59329
Saved path: craft_shop, pizzeria, tech_shop, clothing_store, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, burger_joint, cafe, bookstore, florist, pet_store : 56872
Saved path: cafe, bookstore, clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, music_store, florist, pet_store, craft_shop, pizzeria : 59432
Saved path: party_store, jewelry_store, bike_shop, hardware_store, salon, grocery_store, dentist, burger_joint, gym, florist, music_store, bank, gelateria, pharmacy, bakery : 65087
Saved path: clothing_store, grocery_store, tech_shop, dentist, cafe, hardware_store, gym, music_store, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, toy_store : 63832
Saved path: party_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, bookstore, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, hardware_store : 67760
Saved path: florist, music_store, bank, gelateria, pharmacy, jewelry_store, bike_shop, hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, bookstore, pizzeria : 65910
