Saved path: bank, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, noodle_house, salon, toy_store, gym, bike_shop, party_store, bakery, pharmacy : 66450
Saved path: bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, bank, florist, gym, hardware_store : 69693
Saved path: party_store, jewelry_store, barber_shop, clothing_store, bookstore, cafe, pizzeria, craft_shop, gym, pet_store, florist, gelateria, bank, music_store, pharmacy : 70807
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, burger_joint, gym, pet_store, florist, music_store : 47366
Saved path: toy_store, clothing_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, burger_joint : 48245
Saved path: pet_store, florist, gelateria, music_store, bakery, party_store, jewelry_store, barber_shop, toy_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop : 62529
Saved path: bike_shop, jewelry_store, party_store, music_store, florist, pet_store, gym, hardware_store, bookstore, dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop : 63658
Saved path: gym, hardware_store, bookstore, cafe, dentist, tech_shop, noodle_house, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, florist : 65154
Saved path: dentist, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, jewelry_store, bakery, music_store, bank, pet_store, gym, hardware_store, bookstore : 70995
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, cafe, tech_shop, pizzeria, craft_shop, florist, music_store, bank, gym, hardware_store, bakery : 67449
Saved path: bike_shop, party_store, bakery, barber_shop, salon, toy_store, noodle_house, grocery_store, cafe, tech_shop, pizzeria, pet_store, bank, florist, gym : 67920
Saved path: grocery_store, pizzeria, craft_shop, florist, music_store, bank, gelateria, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, gym, burger_joint, bookstore : 67331
Saved path: party_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, cafe, burger_joint, gym, pet_store, florist, gelateria, bank, pharmacy, bakery : 60640
Saved path: burger_joint, bookstore, cafe, dentist, craft_shop, music_store, bank, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym : 58163
Saved path: bank, music_store, pharmacy, jewelry_store, barber_shop, noodle_house, clothing_store, cafe, bookstore, burger_joint, gym, pizzeria, craft_shop, florist, gelateria : 65687
Saved path: gym, craft_shop, florist, gelateria, music_store, party_store, jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, dentist, bookstore, burger_joint, hardware_store : 60915
Saved path: tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, florist, music_store, bakery, party_store, jewelry_store, salon, noodle_house, grocery_store : 58423
Saved path: tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, music_store, florist, pet_store, gym, burger_joint, bookstore : 53964
Saved path: grocery_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, bakery, party_store, hardware_store, salon, noodle_house : 64955
Saved path: cafe, bookstore, gym, craft_shop, pet_store, music_store, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist : 62431
Saved path: bike_shop, party_store, bakery, pharmacy, music_store, pet_store, gym, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 60767
Saved path: dentist, pizzeria, pet_store, bank, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint : 65909
Saved path: dentist, pizzeria, craft_shop, gym, florist, music_store, bank, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe : 64030
Saved path: pharmacy, jewelry_store, party_store, hardware_store, gym, toy_store, clothing_store, grocery_store, bookstore, tech_shop, pizzeria, craft_shop, pet_store, florist, bank : 66610
