Saved path: salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store : 52053
Saved path: gym, craft_shop, music_store, bank, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store : 70309
Saved path: jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, noodle_house, grocery_store, dentist, pizzeria, pet_store, gelateria, music_store, pharmacy, bakery, party_store : 64138
Saved path: toy_store, noodle_house, grocery_store, bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, florist, pharmacy, bakery, bike_shop, hardware_store, gym : 45921
Saved path: bike_shop, pharmacy, gelateria, florist, pet_store, craft_shop, dentist, tech_shop, cafe, bookstore, gym, hardware_store, salon, barber_shop, jewelry_store : 62197
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, cafe, dentist, florist, gelateria : 57873
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, bank, music_store, pharmacy, bakery, barber_shop, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 59674
Saved path: burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, party_store, jewelry_store, hardware_store, toy_store, noodle_house, clothing_store : 54746
Saved path: jewelry_store, bakery, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, cafe, tech_shop, noodle_house, bookstore, burger_joint, hardware_store : 67030
Saved path: hardware_store, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore : 70336
Saved path: florist, gelateria, bank, music_store, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore, gym, craft_shop, pet_store : 65371
Saved path: grocery_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, florist, bank, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, clothing_store : 65294
Saved path: cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, barber_shop, toy_store, clothing_store, tech_shop, pizzeria : 51932
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, bike_shop, hardware_store, toy_store, salon, noodle_house, tech_shop, cafe : 57536
Saved path: barber_shop, bakery, bike_shop, hardware_store, gym, pet_store, gelateria, florist, craft_shop, dentist, burger_joint, cafe, tech_shop, clothing_store, toy_store : 52417
Saved path: gym, pet_store, bank, music_store, florist, craft_shop, bookstore, cafe, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, party_store, hardware_store : 65962
Saved path: pizzeria, dentist, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store : 67695
Saved path: gelateria, pharmacy, gym, toy_store, noodle_house, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, craft_shop, pet_store, florist, bank : 55859
Saved path: tech_shop, cafe, dentist, pizzeria, craft_shop, gelateria, bank, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, clothing_store : 66181
Saved path: burger_joint, hardware_store, pharmacy, bank, music_store, bike_shop, party_store, bakery, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, bookstore : 64052
Saved path: dentist, craft_shop, florist, music_store, bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, grocery_store : 65518
Saved path: grocery_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, bakery, pharmacy, music_store, pizzeria, dentist, bookstore, cafe, tech_shop : 58632
Saved path: hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, cafe, bookstore, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, jewelry_store : 63029
Saved path: music_store, florist, pet_store, pizzeria, tech_shop, clothing_store, noodle_house, salon, toy_store, bookstore, burger_joint, gym, jewelry_store, gelateria, bank : 70471
Saved path: gym, craft_shop, pet_store, bank, music_store, bike_shop, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, burger_joint : 61459
Saved path: clothing_store, grocery_store, dentist, bookstore, burger_joint, gym, pet_store, bank, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, toy_store : 63823
