Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bike_shop, bakery, gym, bookstore, burger_joint, toy_store, salon, noodle_house, clothing_store, tech_shop : 54074
Saved path: jewelry_store, party_store, bakery, bank, gym, craft_shop, dentist, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 68354
Saved path: noodle_house, clothing_store, bookstore, cafe, pizzeria, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, toy_store, salon : 57508
Saved path: gelateria, pet_store, gym, hardware_store, toy_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 62715
Saved path: florist, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, bookstore, cafe, tech_shop, dentist, pet_store : 66865
Saved path: florist, music_store, bank, gelateria, pet_store, gym, hardware_store, bike_shop, bakery, barber_shop, salon, clothing_store, bookstore, burger_joint, pizzeria : 64858
Saved path: gym, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore, dentist, pizzeria, pet_store, florist, music_store, bank, gelateria, bike_shop : 64703
Saved path: pet_store, florist, gelateria, music_store, bike_shop, jewelry_store, party_store, bakery, toy_store, noodle_house, burger_joint, bookstore, dentist, pizzeria, craft_shop : 59266
Saved path: salon, hardware_store, gym, burger_joint, bookstore, clothing_store, dentist, pizzeria, craft_shop, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop : 70954
Saved path: bookstore, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, hardware_store, jewelry_store, bike_shop, pharmacy, gelateria, florist, craft_shop, gym : 51364
Saved path: dentist, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, bakery, music_store, florist, gym, hardware_store, burger_joint, bookstore : 56806
Saved path: grocery_store, clothing_store, noodle_house, salon, jewelry_store, party_store, bakery, gelateria, bank, music_store, florist, pet_store, craft_shop, pizzeria, bookstore : 66288
Saved path: bike_shop, hardware_store, burger_joint, toy_store, grocery_store, cafe, dentist, craft_shop, pet_store, florist, gelateria, bank, music_store, bakery, jewelry_store : 61421
Saved path: florist, music_store, pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, bookstore, hardware_store, gym, craft_shop, pet_store : 57909
Saved path: burger_joint, gym, craft_shop, pet_store, florist, bank, pharmacy, bike_shop, barber_shop, salon, toy_store, grocery_store, dentist, cafe, bookstore : 62273
Saved path: clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, pet_store, bank, gelateria, jewelry_store, bike_shop, bakery, hardware_store, toy_store, noodle_house : 61179
Saved path: music_store, bank, gelateria, pet_store, dentist, cafe, tech_shop, grocery_store, noodle_house, bookstore, gym, hardware_store, jewelry_store, bakery, pharmacy : 63174
Saved path: bank, gelateria, florist, pizzeria, dentist, grocery_store, cafe, burger_joint, toy_store, barber_shop, jewelry_store, party_store, bakery, gym, pet_store : 70237
Saved path: pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, tech_shop, dentist, pizzeria, florist : 54374
Saved path: pet_store, florist, gelateria, music_store, pharmacy, jewelry_store, party_store, toy_store, grocery_store, tech_shop, pizzeria, dentist, cafe, burger_joint, gym : 59288
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, bookstore, cafe, grocery_store, tech_shop, pizzeria, florist, bank, bakery : 69794
