Saved path: bakery, pharmacy, gelateria, pet_store, gym, toy_store, noodle_house, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, bike_shop, jewelry_store : 54849
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, salon, clothing_store, bookstore, burger_joint, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank : 66372
Saved path: grocery_store, clothing_store, noodle_house, toy_store, gym, bakery, party_store, jewelry_store, pharmacy, gelateria, music_store, florist, pizzeria, tech_shop, bookstore : 55232
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, craft_shop, pet_store, florist, gelateria, bank, pharmacy, jewelry_store, bike_shop, hardware_store : 61140
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, pharmacy, bank, florist, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, grocery_store : 68168
Saved path: dentist, pizzeria, craft_shop, gym, pet_store, bank, gelateria, jewelry_store, party_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop : 69342
Saved path: burger_joint, salon, barber_shop, bike_shop, party_store, hardware_store, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, cafe, bookstore : 68760
Saved path: jewelry_store, party_store, bakery, pharmacy, bank, florist, craft_shop, pizzeria, tech_shop, grocery_store, burger_joint, noodle_house, salon, barber_shop, bike_shop : 65912
Saved path: pet_store, gelateria, music_store, jewelry_store, party_store, bakery, hardware_store, gym, burger_joint, toy_store, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop : 55598
Saved path: music_store, bank, pet_store, craft_shop, dentist, cafe, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, gym, florist : 60146
Saved path: bike_shop, hardware_store, salon, noodle_house, grocery_store, cafe, bookstore, burger_joint, gym, pizzeria, pet_store, florist, gelateria, music_store, pharmacy : 55998
Saved path: craft_shop, pizzeria, tech_shop, grocery_store, cafe, burger_joint, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, gelateria, music_store, florist : 56457
Saved path: noodle_house, clothing_store, bookstore, gym, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, salon : 65032
Saved path: bank, florist, craft_shop, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, jewelry_store, bakery : 64406
Saved path: music_store, gelateria, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop : 61853
Saved path: bakery, bike_shop, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, craft_shop, music_store, bank, pharmacy : 52032
Saved path: gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store, gelateria, bank, pet_store, craft_shop : 66379
Saved path: bike_shop, jewelry_store, barber_shop, salon, tech_shop, pizzeria, dentist, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, bakery : 65408
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, jewelry_store, bike_shop, bank, florist, pet_store, craft_shop, dentist, cafe, bookstore, burger_joint : 64210
Saved path: cafe, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, burger_joint : 65306
Saved path: gym, toy_store, salon, noodle_house, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, bank, gelateria, jewelry_store, party_store, bakery : 67026
Saved path: salon, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, gym, burger_joint, cafe, dentist, tech_shop, clothing_store, toy_store : 66224
Saved path: pet_store, craft_shop, gym, hardware_store, burger_joint, toy_store, noodle_house, salon, barber_shop, bakery, party_store, gelateria, bank, music_store, florist : 60243
Saved path: salon, noodle_house, tech_shop, cafe, burger_joint, bookstore, craft_shop, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, toy_store : 45024
Saved path: pet_store, florist, music_store, craft_shop, pizzeria, cafe, clothing_store, noodle_house, salon, barber_shop, bakery, party_store, bike_shop, hardware_store, gym : 59830
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, gelateria, bike_shop, jewelry_store, hardware_store, salon, noodle_house, clothing_store, toy_store, burger_joint, cafe : 59633
