Saved path: cafe, bookstore, burger_joint, hardware_store, party_store, bakery, gym, florist, gelateria, bank, pet_store, craft_shop, dentist, grocery_store, clothing_store : 58182
Saved path: burger_joint, dentist, pizzeria, pet_store, gelateria, music_store, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe : 58485
Saved path: bike_shop, party_store, hardware_store, gym, pet_store, gelateria, music_store, florist, dentist, cafe, tech_shop, noodle_house, toy_store, salon, barber_shop : 61277
Saved path: party_store, hardware_store, salon, noodle_house, toy_store, burger_joint, bookstore, cafe, tech_shop, pizzeria, craft_shop, florist, bank, music_store, bike_shop : 62447
Saved path: jewelry_store, party_store, pharmacy, bank, music_store, florist, craft_shop, bookstore, burger_joint, cafe, grocery_store, noodle_house, toy_store, hardware_store, bike_shop : 57156
Saved path: pet_store, florist, gelateria, music_store, barber_shop, jewelry_store, bike_shop, hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, pizzeria, craft_shop : 63603
Saved path: burger_joint, bookstore, cafe, tech_shop, clothing_store, noodle_house, gym, pet_store, florist, music_store, bank, gelateria, pharmacy, jewelry_store, hardware_store : 60020
Saved path: bakery, pharmacy, music_store, gelateria, craft_shop, pizzeria, gym, hardware_store, burger_joint, bookstore, grocery_store, toy_store, barber_shop, bike_shop, jewelry_store : 62574
Saved path: bakery, pharmacy, gelateria, florist, pet_store, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, gym, bike_shop, jewelry_store, party_store : 59385
Saved path: gelateria, music_store, florist, hardware_store, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, cafe, dentist, craft_shop, pet_store : 60850
Saved path: toy_store, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, craft_shop, gym, hardware_store, bike_shop, party_store, jewelry_store, salon, noodle_house : 46413
Saved path: cafe, bookstore, hardware_store, salon, barber_shop, bike_shop, pharmacy, music_store, bank, gelateria, craft_shop, pizzeria, dentist, grocery_store, clothing_store : 60227
Saved path: pet_store, bank, music_store, florist, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, gym : 71111
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store : 68834
Saved path: craft_shop, pizzeria, gym, burger_joint, cafe, grocery_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy, bank, gelateria : 64885
Saved path: craft_shop, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, pet_store : 62890
