Saved path: bank, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store, burger_joint, bookstore, craft_shop, florist : 61369
Saved path: bakery, bank, gelateria, gym, hardware_store, burger_joint, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store : 69442
Saved path: jewelry_store, barber_shop, toy_store, grocery_store, tech_shop, dentist, cafe, bookstore, gym, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery : 60216
Saved path: party_store, bakery, barber_shop, salon, hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, music_store, bank : 66431
Saved path: music_store, bank, gelateria, florist, pet_store, bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, barber_shop, party_store, pharmacy : 61555
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, music_store, craft_shop, dentist : 56097
Saved path: craft_shop, music_store, bank, gelateria, jewelry_store, bakery, barber_shop, salon, clothing_store, cafe, bookstore, burger_joint, hardware_store, gym, pizzeria : 68466
Saved path: hardware_store, bakery, pharmacy, gelateria, bank, florist, pet_store, craft_shop, dentist, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store : 52801
Saved path: bookstore, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, tech_shop, clothing_store, cafe : 68611
Saved path: music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, tech_shop, grocery_store, noodle_house, salon, toy_store, bakery, party_store, bike_shop : 65313
Saved path: grocery_store, clothing_store, noodle_house, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, pet_store, craft_shop, gym, burger_joint, dentist, pizzeria : 62230
Saved path: clothing_store, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, pharmacy, bike_shop, jewelry_store, barber_shop, toy_store : 61109
Saved path: pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop, noodle_house, toy_store, gym, party_store : 62421
Saved path: grocery_store, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, hardware_store, burger_joint, bookstore, noodle_house, clothing_store : 68755
Saved path: hardware_store, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, bank, gelateria, party_store : 61151
Saved path: bank, gelateria, florist, craft_shop, dentist, tech_shop, grocery_store, clothing_store, toy_store, burger_joint, gym, bakery, jewelry_store, bike_shop, music_store : 59492
Saved path: florist, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, bike_shop, gelateria, bank : 57061
Saved path: tech_shop, pizzeria, dentist, cafe, burger_joint, gym, pet_store, florist, bank, music_store, pharmacy, bakery, toy_store, noodle_house, grocery_store : 55837
Saved path: florist, music_store, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, dentist, bookstore, burger_joint, gym, craft_shop : 58211
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop : 65870
Saved path: pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, bakery, party_store, jewelry_store, salon, noodle_house, grocery_store, cafe, burger_joint : 65972
Saved path: burger_joint, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, bike_shop, jewelry_store, music_store, bank, florist, pet_store, craft_shop : 64751
Saved path: pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, bakery, jewelry_store, pharmacy, bank, gelateria, florist, pet_store, craft_shop : 61741
Saved path: bakery, music_store, bank, gelateria, craft_shop, pizzeria, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, party_store : 65029
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, hardware_store, toy_store : 60205
Saved path: pet_store, music_store, pharmacy, bakery, jewelry_store, hardware_store, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop : 54568
Saved path: gelateria, pet_store, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, salon, toy_store, bike_shop, pharmacy : 53586
Saved path: bakery, jewelry_store, bike_shop, gym, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, music_store, pharmacy : 57781
Saved path: florist, pet_store, pizzeria, grocery_store, clothing_store, toy_store, burger_joint, gym, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, music_store : 65870
Saved path: bakery, party_store, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, dentist, pet_store, gelateria, bank, music_store, pharmacy : 62030
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house : 72702
Saved path: pharmacy, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store : 54197
Saved path: hardware_store, gym, craft_shop, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, clothing_store, tech_shop, bookstore : 56365
