Saved path: barber_shop, bike_shop, jewelry_store, party_store, bakery, gelateria, bank, pet_store, pizzeria, dentist, grocery_store, bookstore, burger_joint, hardware_store, salon : 71134
Saved path: salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, florist, music_store, pharmacy, bike_shop, jewelry_store : 62709
Saved path: bakery, party_store, bike_shop, barber_shop, salon, toy_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria : 61957
Saved path: party_store, jewelry_store, bike_shop, hardware_store, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pizzeria, florist, music_store, pharmacy : 54777
Saved path: jewelry_store, bike_shop, barber_shop, salon, toy_store, hardware_store, gym, bookstore, cafe, dentist, pet_store, bank, gelateria, bakery, party_store : 70430
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, pet_store, bank, gelateria, jewelry_store, hardware_store : 68397
Saved path: grocery_store, dentist, pizzeria, craft_shop, gelateria, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, salon, noodle_house, clothing_store : 57608
Saved path: barber_shop, party_store, pharmacy, bank, florist, craft_shop, gym, hardware_store, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store : 65944
Saved path: gym, craft_shop, florist, bank, gelateria, pharmacy, party_store, bike_shop, bakery, toy_store, noodle_house, clothing_store, grocery_store, cafe, burger_joint : 51433
Saved path: clothing_store, grocery_store, pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, bookstore, cafe, noodle_house : 56817
Saved path: gelateria, pharmacy, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, hardware_store, gym, craft_shop : 48561
Saved path: bike_shop, bakery, gelateria, bank, pet_store, craft_shop, dentist, grocery_store, tech_shop, cafe, bookstore, burger_joint, toy_store, salon, jewelry_store : 64670
Saved path: burger_joint, cafe, dentist, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store : 55803
Saved path: party_store, bakery, barber_shop, salon, grocery_store, tech_shop, burger_joint, cafe, dentist, craft_shop, florist, bank, pet_store, gym, hardware_store : 65505
Saved path: toy_store, salon, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop, florist, bank, music_store, bakery, hardware_store, gym, burger_joint : 57096
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, bank, gelateria, florist, pizzeria, dentist, bookstore, clothing_store, toy_store, salon, barber_shop : 71022
Saved path: clothing_store, toy_store, bakery, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, craft_shop, pizzeria, dentist, cafe, grocery_store : 58869
Saved path: cafe, bookstore, hardware_store, gym, florist, gelateria, bike_shop, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop : 56052
Saved path: pet_store, gelateria, music_store, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, clothing_store, grocery_store, tech_shop, dentist : 58794
Saved path: music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, clothing_store, dentist, pet_store, florist, gelateria, bank : 68996
Saved path: salon, noodle_house, toy_store, hardware_store, gym, bookstore, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, bank, gelateria, pharmacy, barber_shop : 60021
Saved path: music_store, bank, gelateria, pet_store, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy : 68880
Saved path: music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, gym, bookstore, pizzeria, craft_shop, pet_store : 65938
Saved path: bank, music_store, craft_shop, gym, burger_joint, bookstore, tech_shop, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, pharmacy, gelateria : 62751
Saved path: toy_store, salon, jewelry_store, bike_shop, pharmacy, gelateria, bank, pet_store, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, noodle_house : 67555
Saved path: toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, dentist, burger_joint, bookstore, clothing_store : 66993
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, pharmacy, music_store, gelateria, pet_store, craft_shop, hardware_store, burger_joint, bookstore : 58537
