Saved path: bike_shop, party_store, pharmacy, music_store, gelateria, florist, pet_store, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house, toy_store, gym : 55647
Saved path: craft_shop, pizzeria, dentist, cafe, burger_joint, noodle_house, toy_store, hardware_store, party_store, bike_shop, bakery, gelateria, bank, music_store, florist : 57334
Saved path: gelateria, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, cafe, pizzeria, craft_shop, florist, music_store : 58168
Saved path: toy_store, barber_shop, jewelry_store, bakery, pharmacy, bank, gelateria, craft_shop, pizzeria, gym, burger_joint, bookstore, cafe, grocery_store, noodle_house : 67099
Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, pizzeria, craft_shop, pet_store, florist, music_store, pharmacy, jewelry_store, bike_shop, hardware_store : 57613
Saved path: cafe, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, music_store, bank, gelateria, florist, pizzeria : 65322
Saved path: clothing_store, noodle_house, salon, hardware_store, party_store, bakery, pharmacy, bank, pet_store, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store : 64022
Saved path: gym, burger_joint, grocery_store, dentist, pizzeria, craft_shop, music_store, bank, pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, hardware_store : 69081
Saved path: hardware_store, toy_store, noodle_house, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon : 66311
Saved path: tech_shop, bookstore, burger_joint, cafe, dentist, pizzeria, craft_shop, pet_store, florist, jewelry_store, party_store, barber_shop, toy_store, noodle_house, clothing_store : 60168
Saved path: bookstore, burger_joint, hardware_store, gym, pet_store, pharmacy, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, cafe : 50591
Saved path: burger_joint, bookstore, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, jewelry_store, pharmacy, bank, gelateria, florist, pizzeria, cafe : 65958
Saved path: barber_shop, salon, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, jewelry_store : 57564
Saved path: hardware_store, salon, noodle_house, clothing_store, grocery_store, dentist, cafe, burger_joint, gym, florist, gelateria, music_store, jewelry_store, party_store, bakery : 55633
Saved path: burger_joint, gym, pet_store, gelateria, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, pizzeria, dentist, cafe, bookstore : 62090
Saved path: bakery, pharmacy, music_store, florist, pet_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, noodle_house, toy_store, barber_shop : 51424
Saved path: gelateria, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, barber_shop, jewelry_store, bike_shop, bakery, pharmacy : 54894
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, florist, pet_store, pizzeria, gym, burger_joint : 60907
Saved path: florist, music_store, pharmacy, bakery, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, gym, craft_shop, pet_store : 48384
Saved path: pet_store, gelateria, music_store, bike_shop, party_store, hardware_store, gym, toy_store, salon, noodle_house, tech_shop, cafe, dentist, pizzeria, craft_shop : 60174
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, party_store, jewelry_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, dentist : 63485
Saved path: pharmacy, gelateria, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, hardware_store, bike_shop : 51725
Saved path: noodle_house, clothing_store, bookstore, tech_shop, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon : 56291
Saved path: party_store, bike_shop, barber_shop, hardware_store, toy_store, clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery : 68199
Saved path: noodle_house, grocery_store, cafe, dentist, pizzeria, pet_store, gelateria, bank, music_store, florist, gym, hardware_store, party_store, bakery, barber_shop : 65612
Saved path: pet_store, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, hardware_store, bike_shop, bakery, pharmacy, bank, gelateria, florist : 59516
Saved path: gym, hardware_store, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, bakery, gelateria, music_store, florist, craft_shop : 48814
Saved path: bike_shop, hardware_store, gym, cafe, grocery_store, clothing_store, dentist, pizzeria, craft_shop, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store : 54911
Saved path: pet_store, florist, gelateria, bank, music_store, bakery, bike_shop, hardware_store, salon, clothing_store, tech_shop, bookstore, burger_joint, dentist, pizzeria : 62427
Saved path: gym, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, dentist, bookstore, tech_shop, clothing_store, toy_store, barber_shop, jewelry_store, hardware_store : 65147
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, hardware_store, gym, pet_store, florist, bank, pharmacy, jewelry_store, barber_shop : 64127
Saved path: pharmacy, music_store, bank, gelateria, florist, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, salon, barber_shop, bike_shop, jewelry_store : 62993
