Saved path: pizzeria, cafe, burger_joint, bookstore, clothing_store, noodle_house, barber_shop, bakery, party_store, bike_shop, hardware_store, gelateria, music_store, florist, craft_shop : 57868
Saved path: gelateria, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, toy_store, grocery_store, dentist, pizzeria, craft_shop, florist, music_store, bank : 62171
Saved path: gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, cafe, grocery_store, dentist, craft_shop, florist, music_store : 53538
Saved path: pet_store, florist, gelateria, bank, music_store, pharmacy, party_store, barber_shop, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym : 60573
Saved path: party_store, jewelry_store, bike_shop, barber_shop, clothing_store, tech_shop, pizzeria, dentist, cafe, hardware_store, gym, craft_shop, florist, music_store, pharmacy : 61440
Saved path: gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, cafe, clothing_store, tech_shop, pizzeria, pet_store : 64320
Saved path: barber_shop, salon, noodle_house, clothing_store, tech_shop, dentist, bookstore, burger_joint, hardware_store, florist, gelateria, pharmacy, bakery, party_store, bike_shop : 55522
Saved path: toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, pet_store, pizzeria, dentist, tech_shop, burger_joint : 69297
Saved path: toy_store, noodle_house, cafe, bookstore, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store : 52415
Saved path: grocery_store, clothing_store, cafe, burger_joint, hardware_store, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, craft_shop, pizzeria, dentist : 68942
Saved path: tech_shop, grocery_store, clothing_store, toy_store, salon, bike_shop, party_store, bakery, pharmacy, gelateria, florist, craft_shop, pizzeria, dentist, cafe : 51069
Saved path: party_store, jewelry_store, bike_shop, gym, burger_joint, toy_store, clothing_store, cafe, pizzeria, florist, gelateria, bank, music_store, pharmacy, bakery : 62282
Saved path: hardware_store, bakery, party_store, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, dentist, pet_store, bookstore, burger_joint : 54867
Saved path: bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, tech_shop, pizzeria, cafe, hardware_store, gym, pet_store, florist : 69753
Saved path: gelateria, barber_shop, bike_shop, party_store, hardware_store, burger_joint, bookstore, cafe, grocery_store, clothing_store, dentist, craft_shop, florist, music_store, bank : 61977
Saved path: tech_shop, grocery_store, clothing_store, barber_shop, party_store, bike_shop, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe, dentist : 55579
Saved path: dentist, cafe, bookstore, noodle_house, salon, toy_store, gym, hardware_store, bakery, party_store, jewelry_store, music_store, bank, pet_store, pizzeria : 69279
Saved path: craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, pharmacy, bank, florist, pet_store : 64874
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, party_store, bakery, gelateria, music_store, craft_shop, pizzeria, dentist, bookstore, cafe, tech_shop : 53089
Saved path: hardware_store, burger_joint, toy_store, salon, noodle_house, grocery_store, cafe, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store, party_store : 66809
Saved path: jewelry_store, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store, cafe, bookstore, gym, hardware_store : 61745
Saved path: cafe, dentist, pizzeria, craft_shop, gym, pet_store, florist, music_store, pharmacy, bakery, party_store, barber_shop, toy_store, clothing_store, grocery_store : 56767
Saved path: pharmacy, bakery, party_store, jewelry_store, barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 67434
Saved path: bakery, party_store, bike_shop, gelateria, music_store, florist, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, noodle_house, salon, barber_shop : 53165
Saved path: bike_shop, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, craft_shop, pet_store, florist, gelateria, bank, music_store, pharmacy : 54808
Saved path: gelateria, pharmacy, bike_shop, jewelry_store, salon, toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank : 67536
Saved path: pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, party_store, barber_shop, toy_store, noodle_house, clothing_store, bookstore, burger_joint, hardware_store, gym : 66029
