Saved path: burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, party_store, music_store, bank, gelateria, florist, craft_shop, hardware_store : 61688
Saved path: pizzeria, dentist, burger_joint, gym, florist, gelateria, bank, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, clothing_store : 69943
Saved path: pet_store, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, dentist, bookstore, burger_joint, hardware_store, gym : 61870
Saved path: bookstore, burger_joint, salon, jewelry_store, bike_shop, bakery, gym, pet_store, gelateria, music_store, florist, pizzeria, tech_shop, grocery_store, cafe : 63451
Saved path: gelateria, florist, pet_store, dentist, bookstore, tech_shop, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, music_store, bank : 59273
Saved path: toy_store, gym, party_store, jewelry_store, bike_shop, gelateria, bank, florist, craft_shop, pizzeria, dentist, bookstore, burger_joint, noodle_house, salon : 69371
Saved path: music_store, florist, craft_shop, pizzeria, cafe, burger_joint, bookstore, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, party_store, pharmacy : 54539
Saved path: tech_shop, grocery_store, barber_shop, bike_shop, jewelry_store, bakery, bank, music_store, florist, pet_store, gym, burger_joint, bookstore, dentist, pizzeria : 73028
Saved path: burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, florist, pet_store, pizzeria, dentist, cafe : 61328
Saved path: cafe, tech_shop, grocery_store, noodle_house, salon, hardware_store, bakery, party_store, jewelry_store, music_store, florist, craft_shop, gym, burger_joint, bookstore : 51318
Saved path: hardware_store, jewelry_store, bike_shop, bakery, music_store, gelateria, craft_shop, pizzeria, tech_shop, burger_joint, cafe, grocery_store, clothing_store, noodle_house, salon : 56455
Saved path: craft_shop, pizzeria, dentist, bookstore, grocery_store, salon, hardware_store, gym, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 60073
Saved path: clothing_store, noodle_house, salon, barber_shop, bakery, party_store, music_store, gym, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, grocery_store : 57174
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, pizzeria, craft_shop, pet_store, music_store, pharmacy, bike_shop, party_store, jewelry_store, salon, noodle_house : 60956
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, music_store, bank, gelateria, pharmacy, bike_shop, hardware_store, toy_store : 55853
Saved path: florist, gelateria, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, gym : 63301
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, clothing_store : 70649
Saved path: pizzeria, dentist, tech_shop, grocery_store, clothing_store, noodle_house, hardware_store, bike_shop, party_store, bakery, pharmacy, bank, music_store, florist, craft_shop : 57176
Saved path: craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, jewelry_store, hardware_store, toy_store, salon, noodle_house, bookstore, cafe, dentist, pizzeria : 58590
Saved path: jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, florist, gym, bookstore, cafe, dentist, tech_shop, toy_store, salon, barber_shop : 67612
Saved path: clothing_store, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, gelateria, hardware_store, bike_shop, jewelry_store, barber_shop, salon, noodle_house : 69006
Saved path: noodle_house, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, florist, gelateria, bank, music_store, jewelry_store, party_store, hardware_store, salon : 67686
Saved path: bike_shop, barber_shop, salon, toy_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, florist, music_store, pharmacy, party_store, jewelry_store : 62909
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, jewelry_store, barber_shop, salon, toy_store, gym, burger_joint, cafe, dentist, craft_shop : 59505
Saved path: bike_shop, pharmacy, gelateria, music_store, florist, pet_store, pizzeria, dentist, cafe, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop : 55893
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, pizzeria, dentist, tech_shop, toy_store, salon, hardware_store : 67840
Saved path: gelateria, music_store, florist, gym, burger_joint, bookstore, cafe, dentist, tech_shop, clothing_store, salon, jewelry_store, party_store, bakery, pharmacy : 57076
Saved path: barber_shop, jewelry_store, pharmacy, music_store, bank, gelateria, craft_shop, gym, bookstore, cafe, dentist, tech_shop, grocery_store, noodle_house, salon : 65384
Saved path: bakery, bike_shop, gym, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, florist, bank, gelateria, pharmacy : 59585
Saved path: clothing_store, noodle_house, toy_store, hardware_store, bike_shop, gym, florist, gelateria, bank, pet_store, pizzeria, tech_shop, cafe, bookstore, burger_joint : 59595
Saved path: noodle_house, salon, hardware_store, party_store, bakery, gym, pet_store, bank, florist, pizzeria, tech_shop, cafe, bookstore, burger_joint, toy_store : 66641
Saved path: cafe, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, gelateria, pet_store, pizzeria : 59879
Saved path: bank, music_store, florist, pet_store, craft_shop, dentist, tech_shop, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, bike_shop, bakery : 61106
Saved path: pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, gym, craft_shop, florist, bank : 58365
Saved path: bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, gym, hardware_store : 55985
Saved path: craft_shop, pet_store, bank, music_store, pharmacy, bike_shop, jewelry_store, barber_shop, toy_store, gym, bookstore, cafe, tech_shop, dentist, pizzeria : 71400
Saved path: cafe, tech_shop, grocery_store, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy, barber_shop, bike_shop, hardware_store, gym : 64543
Saved path: gym, hardware_store, jewelry_store, party_store, pharmacy, music_store, bank, gelateria, florist, pet_store, pizzeria, dentist, clothing_store, bookstore, burger_joint : 66151
Saved path: bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, bookstore, cafe, tech_shop, grocery_store, toy_store, hardware_store, salon, barber_shop : 59216
Saved path: grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, gym, bookstore, dentist, tech_shop : 56193
Saved path: bike_shop, barber_shop, salon, hardware_store, toy_store, grocery_store, tech_shop, bookstore, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store : 63346
Saved path: pharmacy, gelateria, florist, gym, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, barber_shop, bike_shop, jewelry_store, party_store, bakery : 58493
Saved path: salon, barber_shop, bakery, bank, florist, craft_shop, gym, burger_joint, bookstore, cafe, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house : 56729
Saved path: dentist, tech_shop, bookstore, burger_joint, hardware_store, toy_store, clothing_store, noodle_house, barber_shop, jewelry_store, bike_shop, pharmacy, bank, gelateria, craft_shop : 68290
Saved path: jewelry_store, bike_shop, bakery, music_store, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, clothing_store, noodle_house, salon, toy_store, hardware_store : 57519
Saved path: music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, tech_shop, toy_store, salon, hardware_store, bike_shop, gym, florist : 63127
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria, pharmacy, party_store, bike_shop, gym, burger_joint, bookstore, noodle_house, grocery_store : 54769
Saved path: craft_shop, florist, bank, gelateria, bike_shop, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, cafe, burger_joint, hardware_store, gym : 61094
Saved path: music_store, gelateria, florist, pet_store, craft_shop, gym, noodle_house, clothing_store, tech_shop, cafe, burger_joint, bakery, party_store, jewelry_store, pharmacy : 52297
Saved path: tech_shop, clothing_store, noodle_house, bookstore, burger_joint, gym, hardware_store, party_store, bike_shop, bakery, music_store, florist, pet_store, craft_shop, dentist : 54023
Saved path: bookstore, burger_joint, hardware_store, gym, pizzeria, florist, music_store, bank, gelateria, jewelry_store, party_store, barber_shop, salon, noodle_house, clothing_store : 69867
Saved path: burger_joint, dentist, craft_shop, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, bookstore : 60260
Saved path: bookstore, grocery_store, clothing_store, toy_store, barber_shop, party_store, hardware_store, gym, music_store, bank, gelateria, craft_shop, pizzeria, dentist, cafe : 65961
Saved path: pizzeria, florist, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, bookstore, cafe, tech_shop, dentist : 59056
Saved path: hardware_store, bookstore, dentist, tech_shop, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, gym : 62308
Saved path: pizzeria, dentist, cafe, tech_shop, noodle_house, salon, hardware_store, gym, bakery, party_store, bike_shop, gelateria, bank, music_store, craft_shop : 64118
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, grocery_store, bookstore, burger_joint, hardware_store, craft_shop, pet_store, florist, gelateria, pharmacy : 56984
Saved path: bike_shop, jewelry_store, party_store, hardware_store, gym, florist, gelateria, pet_store, craft_shop, pizzeria, dentist, grocery_store, noodle_house, toy_store, barber_shop : 63084
Saved path: gelateria, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store, clothing_store, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy : 54493
Saved path: gelateria, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, cafe, bookstore, burger_joint, hardware_store, craft_shop, florist, music_store : 47805
Saved path: craft_shop, gym, burger_joint, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, music_store, gelateria : 61880
Saved path: bank, pharmacy, bakery, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, music_store : 61119
Saved path: pizzeria, dentist, cafe, tech_shop, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, pharmacy, music_store, bank, florist, pet_store : 70279
Saved path: gym, hardware_store, burger_joint, bookstore, cafe, clothing_store, toy_store, salon, barber_shop, bakery, bike_shop, jewelry_store, gelateria, bank, florist : 62301
Saved path: toy_store, noodle_house, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, craft_shop, florist, pharmacy, bakery, bike_shop, barber_shop, salon : 52675
Saved path: pet_store, pizzeria, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, party_store, jewelry_store, bike_shop, gelateria, bank, music_store, florist : 65019
Saved path: bank, gelateria, gym, burger_joint, bookstore, dentist, pizzeria, tech_shop, grocery_store, toy_store, salon, hardware_store, jewelry_store, bike_shop, music_store : 69933
Saved path: gelateria, jewelry_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, bookstore, burger_joint, gym, craft_shop : 59038
Saved path: craft_shop, gym, pet_store, florist, music_store, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, grocery_store, cafe, pizzeria : 58850
Saved path: tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym, hardware_store, bakery, jewelry_store, barber_shop, noodle_house, toy_store, burger_joint : 68827
Saved path: bike_shop, jewelry_store, party_store, pharmacy, bank, florist, pizzeria, dentist, tech_shop, cafe, burger_joint, hardware_store, toy_store, salon, barber_shop : 69796
Saved path: clothing_store, barber_shop, bike_shop, party_store, bakery, music_store, bank, gelateria, gym, craft_shop, pizzeria, tech_shop, cafe, bookstore, grocery_store : 64898
Saved path: bank, florist, pet_store, pizzeria, dentist, tech_shop, cafe, bookstore, toy_store, salon, hardware_store, bike_shop, party_store, pharmacy, music_store : 67765
Saved path: salon, toy_store, clothing_store, grocery_store, burger_joint, cafe, dentist, craft_shop, pet_store, florist, pharmacy, party_store, jewelry_store, bike_shop, hardware_store : 56031
Saved path: barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, pet_store, gym, bookstore, cafe, tech_shop, noodle_house, toy_store, salon : 64260
Saved path: bookstore, burger_joint, cafe, dentist, craft_shop, florist, gelateria, bank, music_store, jewelry_store, party_store, bakery, toy_store, clothing_store, tech_shop : 58956
Saved path: music_store, bank, pharmacy, party_store, barber_shop, salon, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, dentist, pizzeria, pet_store, florist : 70143
Saved path: pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, toy_store, bike_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, pet_store : 62614
