Saved path: clothing_store, toy_store, barber_shop, bakery, party_store, pharmacy, gelateria, bank, florist, craft_shop, gym, burger_joint, dentist, tech_shop, grocery_store : 60477
Saved path: burger_joint, toy_store, clothing_store, grocery_store, cafe, pizzeria, craft_shop, florist, gelateria, bank, pet_store, gym, bike_shop, party_store, hardware_store : 62169
Saved path: pizzeria, tech_shop, burger_joint, grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, pet_store : 60495
Saved path: salon, toy_store, gym, bakery, party_store, music_store, bank, gelateria, pet_store, dentist, bookstore, cafe, tech_shop, grocery_store, noodle_house : 64206
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, burger_joint, hardware_store, gym, dentist, pizzeria, craft_shop, florist : 70339
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, craft_shop, florist, bank, gelateria, bike_shop, party_store, jewelry_store : 66059
Saved path: pharmacy, bakery, bike_shop, jewelry_store, hardware_store, salon, toy_store, clothing_store, cafe, bookstore, gym, craft_shop, pet_store, bank, gelateria : 61929
Saved path: gym, hardware_store, bike_shop, bakery, barber_shop, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, florist, music_store, gelateria, pet_store : 56335
Saved path: cafe, burger_joint, gym, pet_store, gelateria, pharmacy, hardware_store, toy_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist : 48072
Saved path: dentist, pizzeria, pet_store, bank, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, hardware_store, gym, bookstore : 72182
Saved path: gym, craft_shop, florist, music_store, pharmacy, jewelry_store, hardware_store, salon, noodle_house, clothing_store, tech_shop, pizzeria, dentist, cafe, burger_joint : 56709
Saved path: bookstore, grocery_store, tech_shop, dentist, pizzeria, pet_store, gelateria, bank, music_store, bike_shop, jewelry_store, party_store, bakery, hardware_store, gym : 66696
Saved path: burger_joint, bookstore, cafe, dentist, grocery_store, salon, bike_shop, bakery, pharmacy, music_store, bank, florist, pet_store, craft_shop, gym : 60716
Saved path: gym, bookstore, cafe, burger_joint, toy_store, noodle_house, grocery_store, tech_shop, pizzeria, pet_store, bank, gelateria, jewelry_store, bakery, hardware_store : 64251
Saved path: bike_shop, bakery, hardware_store, gym, florist, music_store, gelateria, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, clothing_store, barber_shop : 55725
Saved path: noodle_house, clothing_store, bookstore, dentist, pizzeria, florist, music_store, gelateria, pet_store, gym, party_store, bakery, barber_shop, salon, toy_store : 62180
Saved path: gym, hardware_store, party_store, jewelry_store, bakery, pharmacy, bank, music_store, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop : 67539
Saved path: jewelry_store, bike_shop, bakery, bank, gelateria, florist, pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, barber_shop : 66176
Saved path: bakery, bike_shop, jewelry_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, craft_shop, pet_store, florist, bank, pharmacy : 64431
Saved path: craft_shop, florist, music_store, bank, gelateria, pharmacy, jewelry_store, party_store, bakery, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria : 59357
Saved path: noodle_house, clothing_store, tech_shop, pizzeria, cafe, bookstore, burger_joint, hardware_store, gym, florist, music_store, pharmacy, bakery, jewelry_store, barber_shop : 57827
Saved path: dentist, craft_shop, florist, gelateria, bank, music_store, pharmacy, bakery, jewelry_store, party_store, hardware_store, barber_shop, noodle_house, tech_shop, bookstore : 66250
Saved path: grocery_store, bookstore, burger_joint, cafe, dentist, pizzeria, pet_store, bank, bakery, bike_shop, jewelry_store, salon, toy_store, noodle_house, clothing_store : 67580
Saved path: craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, salon, hardware_store, jewelry_store, party_store, bakery, pharmacy, bank, music_store, florist : 59304
Saved path: pharmacy, gelateria, music_store, pizzeria, dentist, bookstore, cafe, tech_shop, clothing_store, toy_store, gym, bike_shop, jewelry_store, party_store, bakery : 57701
Saved path: hardware_store, burger_joint, cafe, tech_shop, dentist, craft_shop, pet_store, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, barber_shop, toy_store : 61292
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, toy_store, grocery_store, tech_shop, cafe, dentist, pizzeria, craft_shop, pet_store, florist, gelateria : 59783
Saved path: clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, pet_store, florist, bank, gelateria, jewelry_store, bakery, barber_shop, noodle_house : 67094
Saved path: grocery_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bakery, barber_shop, salon, noodle_house : 50463
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe : 52844
