Saved path: bike_shop, party_store, toy_store, salon, noodle_house, grocery_store, tech_shop, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, pharmacy : 61626
Saved path: hardware_store, toy_store, clothing_store, cafe, tech_shop, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon : 70005
Saved path: bakery, party_store, hardware_store, salon, noodle_house, clothing_store, burger_joint, cafe, dentist, craft_shop, pet_store, bank, music_store, florist, gym : 62912
Saved path: party_store, bike_shop, barber_shop, noodle_house, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store, gelateria, pharmacy, bakery : 53318
Saved path: bike_shop, party_store, bakery, burger_joint, gym, florist, gelateria, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 57452
Saved path: clothing_store, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, bank, gelateria, pharmacy, party_store, bike_shop, hardware_store, gym, burger_joint : 58593
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, jewelry_store, pharmacy, pet_store, craft_shop : 60155
Saved path: barber_shop, noodle_house, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, florist, gelateria, music_store, bakery, jewelry_store : 56428
Saved path: pizzeria, craft_shop, pet_store, florist, music_store, bakery, party_store, bike_shop, gym, burger_joint, salon, clothing_store, grocery_store, cafe, tech_shop : 58527
Saved path: toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pizzeria, craft_shop, florist, gelateria, pharmacy, bakery, bike_shop, jewelry_store, salon : 56135
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bakery, party_store, gym, hardware_store, salon, toy_store, grocery_store, tech_shop, cafe : 57853
Saved path: pharmacy, music_store, florist, pet_store, craft_shop, dentist, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, gym, hardware_store, bike_shop, jewelry_store : 54956
Saved path: tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, bakery, party_store, jewelry_store, bike_shop, gelateria, pet_store, pizzeria, dentist, bookstore : 62396
Saved path: pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, toy_store, barber_shop, party_store, pharmacy, gelateria, bank, music_store, florist, craft_shop : 61071
Saved path: craft_shop, pizzeria, tech_shop, cafe, grocery_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, party_store, bakery, bank, music_store, florist : 61416
Saved path: bookstore, tech_shop, dentist, pizzeria, craft_shop, pet_store, bank, gelateria, party_store, bakery, barber_shop, salon, toy_store, hardware_store, burger_joint : 66516
Saved path: florist, gelateria, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, tech_shop, dentist, burger_joint, gym, craft_shop : 60053
Saved path: dentist, bookstore, burger_joint, hardware_store, gym, pet_store, gelateria, bike_shop, party_store, bakery, barber_shop, salon, toy_store, clothing_store, grocery_store : 57866
Saved path: noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop, pet_store, pharmacy, party_store, bike_shop, bakery, toy_store, salon : 54875
Saved path: clothing_store, noodle_house, salon, toy_store, hardware_store, party_store, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, tech_shop, grocery_store : 62553
Saved path: party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, tech_shop, pizzeria, burger_joint, hardware_store, gym, craft_shop, pet_store, pharmacy, bakery : 63252
Saved path: gelateria, craft_shop, hardware_store, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank : 62857
Saved path: pharmacy, bakery, jewelry_store, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, gym, music_store : 58217
Saved path: bookstore, burger_joint, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, florist, pet_store, craft_shop, pizzeria, dentist, clothing_store, noodle_house : 57546
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gym, hardware_store, cafe, dentist, pizzeria, tech_shop : 66711
