Saved path: grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria, bank, pharmacy, bakery, barber_shop, hardware_store, gym, burger_joint, bookstore, clothing_store : 60621
Saved path: florist, bank, music_store, pharmacy, bakery, barber_shop, salon, hardware_store, burger_joint, cafe, clothing_store, grocery_store, tech_shop, dentist, pizzeria : 56628
Saved path: gelateria, pharmacy, bike_shop, jewelry_store, hardware_store, gym, bookstore, burger_joint, toy_store, noodle_house, grocery_store, pizzeria, florist, music_store, bank : 64278
Saved path: music_store, gym, hardware_store, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, gelateria : 61874
Saved path: bookstore, burger_joint, hardware_store, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, music_store, craft_shop, pizzeria, clothing_store, noodle_house : 69450
Saved path: cafe, tech_shop, pizzeria, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, burger_joint, toy_store, salon, noodle_house, grocery_store : 56404
Saved path: noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, pet_store, music_store, pharmacy, party_store, jewelry_store, hardware_store, toy_store, salon : 61912
Saved path: cafe, burger_joint, gym, craft_shop, pet_store, florist, gelateria, bank, music_store, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist : 56606
Saved path: clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, bank, gelateria, pharmacy, barber_shop, salon, toy_store, noodle_house : 51350
Saved path: burger_joint, toy_store, salon, barber_shop, jewelry_store, party_store, bakery, gym, florist, music_store, bank, pet_store, dentist, grocery_store, cafe : 68898
Saved path: tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, gym, party_store, pharmacy, music_store, bank, florist, pet_store, craft_shop, dentist : 59329
Saved path: cafe, tech_shop, pizzeria, pet_store, florist, bank, pharmacy, bakery, party_store, bike_shop, gym, toy_store, salon, noodle_house, burger_joint : 67430
Saved path: bakery, barber_shop, salon, clothing_store, grocery_store, tech_shop, burger_joint, cafe, dentist, pizzeria, craft_shop, florist, music_store, bank, pharmacy : 53944
Saved path: bakery, pharmacy, music_store, bank, gelateria, florist, craft_shop, pizzeria, dentist, bookstore, toy_store, gym, hardware_store, jewelry_store, party_store : 61731
Saved path: clothing_store, barber_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, gym, craft_shop, pizzeria, cafe, bookstore, grocery_store : 66665
Saved path: cafe, burger_joint, dentist, pet_store, florist, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 59599
Saved path: dentist, pizzeria, craft_shop, music_store, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, clothing_store, toy_store, gym, burger_joint : 62198
Saved path: gelateria, florist, pizzeria, dentist, cafe, bookstore, noodle_house, salon, barber_shop, bike_shop, jewelry_store, hardware_store, gym, pet_store, bank : 71452
Saved path: music_store, bank, party_store, jewelry_store, barber_shop, salon, hardware_store, toy_store, noodle_house, clothing_store, grocery_store, cafe, dentist, pizzeria, craft_shop : 68587
Saved path: cafe, pizzeria, tech_shop, clothing_store, noodle_house, barber_shop, bike_shop, bakery, pharmacy, gelateria, bank, florist, gym, hardware_store, bookstore : 59891
Saved path: dentist, pizzeria, pet_store, bank, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store, grocery_store : 68214
Saved path: gym, hardware_store, salon, barber_shop, bike_shop, party_store, pharmacy, bank, music_store, florist, pizzeria, dentist, cafe, bookstore, burger_joint : 66076
Saved path: pharmacy, bank, gelateria, craft_shop, pizzeria, grocery_store, cafe, bookstore, hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store : 69470
Saved path: party_store, bike_shop, gym, burger_joint, salon, clothing_store, grocery_store, cafe, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy : 65606
Saved path: cafe, tech_shop, grocery_store, noodle_house, toy_store, bakery, jewelry_store, hardware_store, gym, florist, music_store, bank, pet_store, dentist, bookstore : 64471
Saved path: hardware_store, gym, craft_shop, pet_store, florist, pharmacy, bakery, barber_shop, salon, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint : 52807
Saved path: pharmacy, hardware_store, burger_joint, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, gelateria, bank, music_store : 53904
Saved path: noodle_house, barber_shop, jewelry_store, bakery, music_store, florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, hardware_store, toy_store, clothing_store : 61860
Saved path: tech_shop, grocery_store, noodle_house, salon, hardware_store, bike_shop, gelateria, florist, pet_store, craft_shop, gym, burger_joint, bookstore, dentist, pizzeria : 54975
Saved path: gym, toy_store, burger_joint, cafe, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, hardware_store : 51892
Saved path: craft_shop, pet_store, gelateria, bank, music_store, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, hardware_store, burger_joint, cafe, pizzeria : 66485
Saved path: pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, noodle_house, burger_joint, bakery, bike_shop, jewelry_store, party_store, pharmacy, bank, pet_store : 63108
Saved path: jewelry_store, bakery, hardware_store, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, dentist, pizzeria, florist, music_store, bank, barber_shop : 68822
Saved path: music_store, florist, pet_store, craft_shop, pizzeria, dentist, cafe, bookstore, burger_joint, gym, bike_shop, barber_shop, pharmacy, gelateria, bank : 62067
Saved path: dentist, pizzeria, craft_shop, pet_store, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, bookstore, noodle_house, clothing_store, tech_shop : 60799
Saved path: party_store, jewelry_store, barber_shop, toy_store, clothing_store, tech_shop, pizzeria, dentist, burger_joint, hardware_store, gym, florist, music_store, bank, pharmacy : 69300
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, dentist, pizzeria, gym, gelateria, bank, pharmacy : 69505
Saved path: cafe, tech_shop, grocery_store, toy_store, salon, hardware_store, jewelry_store, music_store, bank, gelateria, florist, pet_store, craft_shop, gym, bookstore : 64234
Saved path: dentist, pizzeria, pet_store, bank, gelateria, jewelry_store, party_store, bakery, barber_shop, salon, hardware_store, bookstore, clothing_store, grocery_store, tech_shop : 70938
Saved path: pizzeria, craft_shop, florist, bank, pharmacy, bakery, bike_shop, barber_shop, salon, toy_store, gym, burger_joint, bookstore, cafe, tech_shop : 59478
Saved path: salon, noodle_house, clothing_store, toy_store, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, gelateria, pharmacy, jewelry_store, party_store, hardware_store : 57309
Saved path: party_store, jewelry_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, craft_shop, bookstore, burger_joint, tech_shop, clothing_store, salon, hardware_store : 56449
Saved path: pizzeria, dentist, cafe, hardware_store, gym, florist, music_store, pharmacy, bakery, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 59298
Saved path: noodle_house, clothing_store, grocery_store, dentist, pizzeria, craft_shop, florist, gelateria, music_store, pharmacy, jewelry_store, gym, burger_joint, toy_store, salon : 57337
Saved path: salon, hardware_store, toy_store, clothing_store, grocery_store, tech_shop, bookstore, craft_shop, florist, music_store, bank, gelateria, party_store, bakery, barber_shop : 59293
Saved path: grocery_store, tech_shop, dentist, pizzeria, craft_shop, music_store, bank, gym, hardware_store, party_store, jewelry_store, bike_shop, barber_shop, toy_store, clothing_store : 70794
Saved path: pizzeria, craft_shop, pet_store, florist, gelateria, bakery, party_store, jewelry_store, bike_shop, barber_shop, grocery_store, tech_shop, burger_joint, cafe, dentist : 60803
