Saved path: pharmacy, music_store, gelateria, pet_store, craft_shop, gym, bookstore, cafe, tech_shop, grocery_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 58512
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, dentist, craft_shop, florist, gelateria, bank, bakery, bike_shop, jewelry_store : 63307
Saved path: clothing_store, noodle_house, toy_store, gym, hardware_store, jewelry_store, bike_shop, music_store, bank, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop : 67027
Saved path: barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, florist, pet_store, pizzeria, cafe, bookstore, grocery_store, clothing_store, toy_store, hardware_store : 73153
Saved path: noodle_house, clothing_store, grocery_store, toy_store, gym, craft_shop, florist, music_store, bank, gelateria, pharmacy, party_store, bakery, barber_shop, salon : 55100
Saved path: florist, bank, music_store, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, gym : 64812
Saved path: noodle_house, toy_store, barber_shop, jewelry_store, bakery, pharmacy, pet_store, craft_shop, gym, bookstore, dentist, pizzeria, tech_shop, grocery_store, clothing_store : 61128
Saved path: gym, florist, music_store, pharmacy, bike_shop, barber_shop, salon, toy_store, noodle_house, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop : 52489
Saved path: music_store, gelateria, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, hardware_store, party_store, bike_shop : 52830
Saved path: bookstore, burger_joint, hardware_store, toy_store, clothing_store, barber_shop, bakery, jewelry_store, gelateria, bank, music_store, florist, craft_shop, dentist, cafe : 64618
Saved path: florist, pet_store, craft_shop, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, bank : 71015
Saved path: party_store, bike_shop, barber_shop, salon, hardware_store, gym, bookstore, tech_shop, pizzeria, craft_shop, florist, gelateria, bank, pharmacy, bakery : 65244
Saved path: clothing_store, toy_store, gym, hardware_store, bike_shop, bakery, pharmacy, bank, florist, pet_store, craft_shop, pizzeria, tech_shop, bookstore, grocery_store : 58117
Saved path: dentist, tech_shop, grocery_store, noodle_house, toy_store, burger_joint, hardware_store, barber_shop, party_store, pharmacy, gelateria, bank, music_store, florist, pet_store : 66149
Saved path: pharmacy, bakery, bike_shop, jewelry_store, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, cafe, bookstore, craft_shop, pet_store, music_store : 54740
Saved path: clothing_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, music_store, pharmacy, party_store, barber_shop, salon, toy_store : 52062
Saved path: gym, florist, bank, bike_shop, jewelry_store, hardware_store, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, noodle_house, toy_store : 65747
Saved path: pizzeria, craft_shop, gelateria, bank, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, hardware_store, burger_joint, noodle_house, clothing_store : 64795
Saved path: florist, gelateria, music_store, jewelry_store, party_store, bakery, barber_shop, salon, toy_store, burger_joint, bookstore, tech_shop, dentist, pizzeria, craft_shop : 59359
Saved path: bakery, bike_shop, jewelry_store, hardware_store, bookstore, pet_store, gelateria, music_store, florist, craft_shop, pizzeria, dentist, tech_shop, noodle_house, barber_shop : 66115
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, toy_store, gym, hardware_store, burger_joint, bookstore, cafe, pizzeria, pet_store, florist, music_store, pharmacy : 64506
Saved path: florist, music_store, gelateria, jewelry_store, bike_shop, barber_shop, salon, toy_store, burger_joint, cafe, grocery_store, tech_shop, dentist, pizzeria, pet_store : 63592
Saved path: tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, music_store, gelateria, jewelry_store, hardware_store, salon, toy_store, clothing_store, grocery_store : 58102
Saved path: noodle_house, salon, hardware_store, party_store, pharmacy, music_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, bookstore, tech_shop, clothing_store : 57759
Saved path: burger_joint, bookstore, pet_store, bank, music_store, florist, pizzeria, grocery_store, toy_store, barber_shop, bakery, bike_shop, jewelry_store, party_store, hardware_store : 72752
Saved path: pizzeria, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, tech_shop : 58684
Saved path: cafe, dentist, tech_shop, grocery_store, noodle_house, salon, hardware_store, jewelry_store, pharmacy, music_store, bank, gelateria, florist, gym, burger_joint : 62719
Saved path: toy_store, burger_joint, bookstore, grocery_store, tech_shop, dentist, pet_store, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, salon : 67480
Saved path: florist, pizzeria, dentist, grocery_store, cafe, bookstore, burger_joint, toy_store, gym, hardware_store, bike_shop, party_store, pharmacy, music_store, bank : 61365
Saved path: bakery, gym, toy_store, noodle_house, grocery_store, bookstore, burger_joint, dentist, pizzeria, pet_store, gelateria, bank, music_store, pharmacy, jewelry_store : 65317
Saved path: clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, pizzeria, dentist, bookstore, grocery_store : 68396
Saved path: dentist, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, hardware_store, barber_shop, noodle_house, clothing_store, tech_shop, cafe, bookstore, burger_joint : 59622
Saved path: clothing_store, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, gelateria, music_store, bike_shop, party_store, bakery, barber_shop, salon, noodle_house : 52611
Saved path: clothing_store, toy_store, salon, hardware_store, bike_shop, bakery, pharmacy, music_store, gelateria, pet_store, dentist, burger_joint, cafe, tech_shop, grocery_store : 49716
Saved path: bike_shop, party_store, barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, craft_shop, pet_store, florist, music_store, gelateria : 53258
Saved path: noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, pharmacy, bank, pet_store, gym, craft_shop, pizzeria, dentist, bookstore, burger_joint : 70221
Saved path: music_store, bank, gelateria, pharmacy, party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, pizzeria, cafe, burger_joint, gym : 65268
Saved path: noodle_house, clothing_store, tech_shop, cafe, burger_joint, bookstore, florist, music_store, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, toy_store : 49338
Saved path: bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, noodle_house, grocery_store, tech_shop, dentist, pet_store, bank, music_store, florist, hardware_store : 69862
Saved path: jewelry_store, bike_shop, bakery, bank, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, salon, toy_store, burger_joint, bookstore, gym, hardware_store : 68560
Saved path: gelateria, bank, music_store, craft_shop, dentist, tech_shop, cafe, bookstore, burger_joint, noodle_house, toy_store, hardware_store, bike_shop, bakery, pharmacy : 52095
Saved path: burger_joint, hardware_store, gym, craft_shop, pet_store, florist, bank, music_store, pharmacy, barber_shop, salon, toy_store, grocery_store, dentist, cafe : 57902
Saved path: dentist, craft_shop, pet_store, florist, music_store, gelateria, pharmacy, bakery, party_store, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, bookstore : 61528
Saved path: pet_store, gym, craft_shop, pizzeria, bookstore, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, bank, gelateria, florist : 71682
Saved path: jewelry_store, party_store, bakery, pharmacy, music_store, bank, florist, cafe, tech_shop, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 62098
Saved path: dentist, pizzeria, florist, music_store, gelateria, hardware_store, jewelry_store, bakery, barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, cafe : 58999
Saved path: toy_store, salon, barber_shop, jewelry_store, pharmacy, gelateria, bank, music_store, florist, craft_shop, pizzeria, grocery_store, cafe, bookstore, hardware_store : 66634
Saved path: bank, music_store, jewelry_store, party_store, bakery, gym, burger_joint, bookstore, cafe, grocery_store, tech_shop, pizzeria, pet_store, florist, gelateria : 63320
Saved path: music_store, pharmacy, bakery, party_store, bike_shop, gym, hardware_store, salon, noodle_house, grocery_store, bookstore, cafe, pizzeria, craft_shop, pet_store : 58912
Saved path: burger_joint, bookstore, noodle_house, clothing_store, grocery_store, cafe, dentist, craft_shop, gelateria, bank, bakery, jewelry_store, bike_shop, hardware_store, gym : 61075
Saved path: craft_shop, pizzeria, tech_shop, bookstore, burger_joint, hardware_store, toy_store, noodle_house, salon, barber_shop, jewelry_store, party_store, bakery, bank, florist : 68216
Saved path: bookstore, burger_joint, cafe, dentist, craft_shop, pet_store, bank, gelateria, pharmacy, party_store, bike_shop, gym, toy_store, clothing_store, grocery_store : 59160
Saved path: pet_store, gym, hardware_store, burger_joint, bookstore, cafe, tech_shop, grocery_store, noodle_house, barber_shop, bike_shop, party_store, pharmacy, bank, florist : 62923
Saved path: pet_store, gym, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bike_shop, bakery, pharmacy, music_store, bank : 53477
Saved path: gelateria, bakery, bike_shop, party_store, jewelry_store, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, dentist, pizzeria, pet_store, bank : 66969
Saved path: burger_joint, gym, florist, music_store, bank, gelateria, pharmacy, bakery, party_store, hardware_store, salon, clothing_store, tech_shop, pizzeria, cafe : 61723
Saved path: clothing_store, grocery_store, tech_shop, burger_joint, bookstore, pet_store, florist, music_store, gelateria, pharmacy, bakery, bike_shop, hardware_store, salon, noodle_house : 47126
Saved path: bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, salon, hardware_store, bike_shop, jewelry_store, bakery, pharmacy, bank, music_store, gym : 66008
Saved path: noodle_house, barber_shop, bike_shop, jewelry_store, party_store, bakery, pharmacy, music_store, bank, gelateria, pet_store, bookstore, cafe, hardware_store, toy_store : 65201
Saved path: pharmacy, party_store, bike_shop, barber_shop, hardware_store, burger_joint, bookstore, noodle_house, grocery_store, dentist, pizzeria, craft_shop, florist, bank, music_store : 66240
Saved path: salon, barber_shop, bike_shop, party_store, pharmacy, music_store, florist, pet_store, craft_shop, dentist, cafe, bookstore, gym, hardware_store, toy_store : 59566
Saved path: gym, hardware_store, bakery, pharmacy, gelateria, bank, music_store, florist, craft_shop, dentist, cafe, bookstore, noodle_house, salon, toy_store : 52895
