Saved path: bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, hardware_store, gym, craft_shop, pet_store, pharmacy : 59816
Saved path: pizzeria, florist, music_store, bank, gelateria, pet_store, gym, bakery, party_store, bike_shop, barber_shop, toy_store, noodle_house, tech_shop, dentist : 69098
Saved path: grocery_store, dentist, pizzeria, craft_shop, florist, bank, music_store, pharmacy, party_store, jewelry_store, barber_shop, salon, hardware_store, bookstore, cafe : 67793
Saved path: pharmacy, music_store, florist, gym, hardware_store, burger_joint, cafe, dentist, pizzeria, clothing_store, noodle_house, salon, barber_shop, bike_shop, jewelry_store : 60480
Saved path: salon, barber_shop, bike_shop, jewelry_store, bakery, pharmacy, bank, pet_store, gym, hardware_store, bookstore, tech_shop, clothing_store, noodle_house, toy_store : 65863
Saved path: pizzeria, dentist, cafe, burger_joint, bookstore, tech_shop, clothing_store, noodle_house, toy_store, barber_shop, bike_shop, party_store, pharmacy, gelateria, florist : 55302
Saved path: pharmacy, bank, pet_store, gym, burger_joint, bookstore, cafe, dentist, pizzeria, tech_shop, clothing_store, salon, hardware_store, party_store, bakery : 65527
Saved path: hardware_store, jewelry_store, party_store, bakery, pharmacy, gelateria, craft_shop, pizzeria, dentist, bookstore, clothing_store, noodle_house, salon, toy_store, gym : 58205
Saved path: bakery, bike_shop, gym, burger_joint, toy_store, noodle_house, grocery_store, cafe, dentist, pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy : 48997
Saved path: pizzeria, craft_shop, florist, music_store, bank, gelateria, jewelry_store, party_store, bakery, gym, hardware_store, salon, toy_store, burger_joint, bookstore : 66361
Saved path: grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, gelateria, bank, pet_store, craft_shop, gym, burger_joint, bookstore, cafe, tech_shop : 51755
Saved path: bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, party_store, jewelry_store, salon, tech_shop, pizzeria, dentist : 70736
Saved path: gym, hardware_store, party_store, jewelry_store, bike_shop, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, noodle_house, bookstore, burger_joint : 58275
Saved path: gym, florist, bank, pet_store, craft_shop, pizzeria, dentist, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, bakery : 62330
Saved path: craft_shop, pizzeria, dentist, cafe, tech_shop, clothing_store, toy_store, burger_joint, hardware_store, bakery, party_store, jewelry_store, barber_shop, bank, pet_store : 70000
Saved path: pizzeria, florist, bank, gelateria, pharmacy, jewelry_store, barber_shop, salon, hardware_store, burger_joint, bookstore, cafe, tech_shop, clothing_store, dentist : 68079
Saved path: gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store, clothing_store, salon, barber_shop, bakery, jewelry_store, gelateria, florist, pet_store, craft_shop : 60083
Saved path: bike_shop, jewelry_store, party_store, barber_shop, toy_store, noodle_house, grocery_store, tech_shop, dentist, bookstore, hardware_store, gym, craft_shop, pet_store, gelateria : 63665
Saved path: music_store, gelateria, florist, pet_store, craft_shop, gym, burger_joint, tech_shop, toy_store, salon, barber_shop, bike_shop, party_store, bakery, pharmacy : 55210
Saved path: tech_shop, cafe, burger_joint, hardware_store, pet_store, gelateria, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 57069
Saved path: barber_shop, toy_store, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, pet_store, florist, bank, music_store, pharmacy, bike_shop : 64068
Saved path: bank, bakery, party_store, bike_shop, barber_shop, salon, clothing_store, tech_shop, dentist, cafe, bookstore, burger_joint, gym, craft_shop, florist : 64243
Saved path: bank, gelateria, pharmacy, party_store, jewelry_store, bike_shop, hardware_store, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, pet_store : 59524
Saved path: gym, craft_shop, pizzeria, dentist, bookstore, grocery_store, toy_store, barber_shop, bike_shop, party_store, bakery, pharmacy, gelateria, bank, pet_store : 67290
Saved path: bike_shop, jewelry_store, pharmacy, music_store, bank, pet_store, pizzeria, dentist, bookstore, burger_joint, cafe, tech_shop, clothing_store, noodle_house, barber_shop : 68159
Saved path: gym, hardware_store, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, bank, gelateria, florist : 61889
Saved path: hardware_store, toy_store, noodle_house, salon, barber_shop, bike_shop, party_store, pharmacy, bank, gelateria, craft_shop, pizzeria, tech_shop, cafe, bookstore : 65545
Saved path: hardware_store, gym, craft_shop, florist, music_store, gelateria, pet_store, bookstore, cafe, toy_store, salon, barber_shop, bakery, bike_shop, party_store : 56561
Saved path: music_store, florist, bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, salon, barber_shop, hardware_store, gym, craft_shop, pet_store, gelateria : 46473
Saved path: music_store, pharmacy, bakery, bike_shop, jewelry_store, party_store, hardware_store, gym, burger_joint, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank : 63134
Saved path: jewelry_store, party_store, bakery, hardware_store, gym, pet_store, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, clothing_store, noodle_house, barber_shop : 54529
Saved path: bike_shop, barber_shop, noodle_house, toy_store, hardware_store, bookstore, tech_shop, dentist, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store : 66792
