Saved path: cafe, bookstore, dentist, craft_shop, pet_store, bank, gelateria, party_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, tech_shop : 62866
Saved path: cafe, pizzeria, tech_shop, grocery_store, toy_store, salon, barber_shop, party_store, bakery, music_store, bank, pet_store, gym, hardware_store, burger_joint : 66559
Saved path: dentist, tech_shop, noodle_house, salon, barber_shop, jewelry_store, party_store, pharmacy, music_store, florist, pet_store, craft_shop, gym, bookstore, cafe : 61811
Saved path: cafe, grocery_store, tech_shop, dentist, craft_shop, florist, bank, pet_store, gym, bike_shop, jewelry_store, party_store, bakery, burger_joint, bookstore : 63969
Saved path: pet_store, gelateria, bike_shop, party_store, bakery, barber_shop, toy_store, noodle_house, clothing_store, grocery_store, dentist, cafe, bookstore, burger_joint, gym : 56028
Saved path: bike_shop, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, craft_shop, pizzeria, cafe, clothing_store, toy_store, salon, hardware_store, gym : 65608
Saved path: dentist, cafe, grocery_store, clothing_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, bike_shop, hardware_store, gym, bank, music_store, craft_shop : 67830
Saved path: burger_joint, hardware_store, gym, craft_shop, pet_store, gelateria, bank, music_store, bakery, barber_shop, salon, toy_store, grocery_store, tech_shop, dentist : 58844
Saved path: hardware_store, gym, pet_store, bank, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, dentist, burger_joint : 69715
Saved path: party_store, jewelry_store, bakery, gym, bookstore, noodle_house, grocery_store, tech_shop, pizzeria, craft_shop, pet_store, florist, bank, gelateria, pharmacy : 65118
Saved path: toy_store, salon, barber_shop, bakery, pharmacy, music_store, bank, gelateria, florist, pet_store, craft_shop, gym, hardware_store, tech_shop, clothing_store : 54933
Saved path: tech_shop, burger_joint, bookstore, cafe, dentist, pizzeria, pet_store, music_store, pharmacy, party_store, toy_store, salon, noodle_house, clothing_store, grocery_store : 57795
Saved path: bakery, barber_shop, salon, toy_store, clothing_store, tech_shop, pizzeria, burger_joint, gym, florist, music_store, bank, gelateria, jewelry_store, party_store : 67786
Saved path: pharmacy, bakery, bike_shop, barber_shop, salon, noodle_house, toy_store, hardware_store, burger_joint, bookstore, tech_shop, dentist, pet_store, bank, music_store : 61247
Saved path: music_store, gelateria, pet_store, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, clothing_store, noodle_house, toy_store, hardware_store, party_store, pharmacy : 53528
Saved path: gym, florist, gelateria, bank, party_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint : 64310
Saved path: salon, barber_shop, bike_shop, party_store, bakery, bank, gelateria, florist, dentist, tech_shop, grocery_store, cafe, burger_joint, hardware_store, toy_store : 63527
Saved path: toy_store, noodle_house, clothing_store, grocery_store, tech_shop, bookstore, pet_store, bank, gelateria, florist, craft_shop, gym, bakery, jewelry_store, salon : 63270
Saved path: salon, noodle_house, burger_joint, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, gelateria, jewelry_store, bakery, barber_shop : 60325
Saved path: toy_store, hardware_store, gym, burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, florist, bank, pharmacy, party_store, barber_shop, salon : 65929
Saved path: florist, gym, bike_shop, jewelry_store, bakery, toy_store, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, pet_store, bank, gelateria : 68064
Saved path: party_store, jewelry_store, salon, toy_store, clothing_store, tech_shop, burger_joint, cafe, dentist, florist, pet_store, gym, hardware_store, bakery, bike_shop : 58715
Saved path: burger_joint, toy_store, noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, pet_store, bank, pharmacy, bakery, party_store, bike_shop, gym : 61674
Saved path: pizzeria, craft_shop, pet_store, music_store, pharmacy, bakery, jewelry_store, bike_shop, gym, hardware_store, salon, noodle_house, clothing_store, tech_shop, dentist : 61271
Saved path: cafe, tech_shop, dentist, pizzeria, gelateria, music_store, bakery, party_store, jewelry_store, bike_shop, hardware_store, salon, noodle_house, toy_store, burger_joint : 60296
Saved path: gym, toy_store, salon, noodle_house, clothing_store, tech_shop, bookstore, dentist, pizzeria, florist, music_store, bank, bakery, bike_shop, hardware_store : 61221
Saved path: noodle_house, bookstore, burger_joint, gym, party_store, music_store, bank, gelateria, florist, pet_store, craft_shop, pizzeria, tech_shop, grocery_store, salon : 67102
Saved path: barber_shop, salon, clothing_store, grocery_store, tech_shop, dentist, cafe, burger_joint, hardware_store, gym, pet_store, bank, music_store, jewelry_store, bakery : 66715
Saved path: bank, music_store, jewelry_store, party_store, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, bookstore, hardware_store, gym, gelateria : 64266
Saved path: pizzeria, craft_shop, music_store, bank, jewelry_store, party_store, hardware_store, gym, burger_joint, bookstore, noodle_house, grocery_store, tech_shop, cafe, dentist : 65120
Saved path: jewelry_store, bakery, pharmacy, bank, pet_store, gym, craft_shop, pizzeria, dentist, cafe, tech_shop, grocery_store, clothing_store, salon, barber_shop : 67524
Saved path: clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, jewelry_store, gelateria, florist, pet_store, craft_shop, pizzeria, dentist, grocery_store : 58408
Saved path: burger_joint, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, gelateria, florist, gym, toy_store, salon, noodle_house, grocery_store, tech_shop, bookstore : 53718
Saved path: cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, barber_shop, noodle_house, toy_store, hardware_store, burger_joint : 68598
Saved path: pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, tech_shop, grocery_store, noodle_house, toy_store, salon, barber_shop, jewelry_store, gelateria, florist : 57558
Saved path: bank, music_store, pharmacy, party_store, hardware_store, gym, burger_joint, cafe, clothing_store, grocery_store, tech_shop, dentist, pet_store, florist, gelateria : 58671
Saved path: toy_store, salon, hardware_store, party_store, jewelry_store, bike_shop, bakery, bank, florist, pet_store, pizzeria, cafe, bookstore, grocery_store, clothing_store : 69923
