Saved path: clothing_store, noodle_house, toy_store, salon, jewelry_store, party_store, bike_shop, bakery, hardware_store, gym, florist, bank, pet_store, dentist, tech_shop : 69287
Saved path: florist, music_store, bank, gelateria, bakery, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, tech_shop, dentist, craft_shop, gym : 66231
Saved path: cafe, grocery_store, clothing_store, toy_store, salon, barber_shop, party_store, pharmacy, music_store, bank, florist, pet_store, hardware_store, burger_joint, bookstore : 62190
Saved path: tech_shop, grocery_store, clothing_store, noodle_house, toy_store, burger_joint, hardware_store, jewelry_store, bike_shop, music_store, bank, florist, craft_shop, pizzeria, dentist : 61507
Saved path: pet_store, florist, gelateria, music_store, pharmacy, bakery, bike_shop, gym, burger_joint, bookstore, noodle_house, clothing_store, cafe, dentist, pizzeria : 51435
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, cafe, burger_joint, dentist, florist, music_store, bike_shop, party_store, bakery, barber_shop, salon, toy_store : 52753
Saved path: cafe, bookstore, noodle_house, clothing_store, tech_shop, pizzeria, music_store, bank, gelateria, bike_shop, jewelry_store, party_store, bakery, hardware_store, burger_joint : 62134
Saved path: noodle_house, salon, jewelry_store, bakery, gelateria, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, pizzeria, tech_shop, grocery_store : 60739
Saved path: burger_joint, bookstore, clothing_store, toy_store, gym, bike_shop, jewelry_store, party_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, pizzeria : 60813
Saved path: grocery_store, pizzeria, craft_shop, gelateria, bank, pharmacy, party_store, bike_shop, gym, hardware_store, salon, toy_store, burger_joint, bookstore, cafe : 65279
Saved path: burger_joint, toy_store, noodle_house, salon, hardware_store, gym, pet_store, bank, music_store, florist, craft_shop, pizzeria, tech_shop, cafe, bookstore : 54856
Saved path: pizzeria, tech_shop, clothing_store, toy_store, salon, barber_shop, bike_shop, party_store, bakery, bank, music_store, florist, gym, hardware_store, burger_joint : 66888
Saved path: gym, florist, music_store, bank, gelateria, pharmacy, bike_shop, party_store, jewelry_store, salon, clothing_store, grocery_store, bookstore, cafe, pizzeria : 67781
Saved path: bike_shop, hardware_store, salon, toy_store, grocery_store, bookstore, dentist, pizzeria, pet_store, bank, gelateria, florist, gym, bakery, party_store : 68697
Saved path: jewelry_store, bakery, gym, florist, gelateria, bank, pet_store, pizzeria, dentist, burger_joint, grocery_store, clothing_store, noodle_house, toy_store, barber_shop : 69855
Saved path: bank, pet_store, pizzeria, tech_shop, burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, gym, florist, gelateria : 60116
Saved path: bookstore, grocery_store, noodle_house, toy_store, barber_shop, pharmacy, music_store, bank, gelateria, pet_store, craft_shop, pizzeria, dentist, cafe, burger_joint : 56129
Saved path: hardware_store, bookstore, dentist, grocery_store, clothing_store, toy_store, barber_shop, jewelry_store, bike_shop, pharmacy, music_store, gelateria, florist, pet_store, gym : 63729
Saved path: bank, music_store, pharmacy, jewelry_store, bike_shop, gym, toy_store, clothing_store, grocery_store, tech_shop, cafe, dentist, craft_shop, pet_store, gelateria : 61248
Saved path: pharmacy, gelateria, florist, craft_shop, gym, hardware_store, cafe, clothing_store, noodle_house, toy_store, salon, barber_shop, bike_shop, jewelry_store, party_store : 54070
Saved path: bank, bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria, craft_shop : 67546
Saved path: cafe, pizzeria, craft_shop, florist, gelateria, bakery, party_store, hardware_store, gym, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store : 52167
Saved path: jewelry_store, party_store, pharmacy, bank, gelateria, pizzeria, tech_shop, cafe, bookstore, gym, hardware_store, toy_store, salon, barber_shop, bike_shop : 71376
Saved path: toy_store, noodle_house, clothing_store, grocery_store, cafe, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, party_store, hardware_store : 46800
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, gelateria, bank, bakery, party_store, jewelry_store, bike_shop : 61545
Saved path: salon, toy_store, hardware_store, gym, burger_joint, tech_shop, dentist, craft_shop, florist, music_store, bank, pharmacy, jewelry_store, bike_shop, barber_shop : 68349
Saved path: bike_shop, party_store, pharmacy, gelateria, bank, music_store, pizzeria, dentist, tech_shop, cafe, burger_joint, toy_store, salon, hardware_store, gym : 65496
Saved path: hardware_store, gym, craft_shop, pet_store, florist, gelateria, bank, pharmacy, party_store, bakery, barber_shop, noodle_house, grocery_store, tech_shop, toy_store : 61736
Saved path: noodle_house, clothing_store, grocery_store, cafe, burger_joint, bookstore, pet_store, florist, gelateria, pharmacy, bakery, bike_shop, party_store, jewelry_store, salon : 52532
Saved path: craft_shop, pet_store, florist, bank, music_store, pharmacy, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe, burger_joint, dentist : 55744
Saved path: florist, gym, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, tech_shop, burger_joint, dentist, pizzeria, craft_shop, pet_store, bank : 71938
Saved path: gelateria, music_store, florist, craft_shop, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, barber_shop, bakery, party_store, jewelry_store, bike_shop : 57755
Saved path: pizzeria, dentist, bookstore, burger_joint, noodle_house, salon, hardware_store, gym, bike_shop, party_store, bakery, pharmacy, gelateria, music_store, craft_shop : 57713
