Saved path: toy_store, noodle_house, tech_shop, cafe, bookstore, dentist, craft_shop, music_store, gelateria, pharmacy, bakery, jewelry_store, bike_shop, hardware_store, gym : 55034
Saved path: pizzeria, dentist, cafe, bookstore, grocery_store, toy_store, gym, hardware_store, party_store, jewelry_store, bike_shop, music_store, bank, florist, craft_shop : 64897
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, jewelry_store, hardware_store, pharmacy, bank, gelateria, florist, pizzeria, cafe, burger_joint, bookstore : 67288
Saved path: barber_shop, bike_shop, party_store, gelateria, florist, pet_store, gym, burger_joint, bookstore, dentist, tech_shop, grocery_store, noodle_house, toy_store, salon : 60015
Saved path: jewelry_store, party_store, music_store, bank, gelateria, gym, hardware_store, burger_joint, cafe, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop : 63696
Saved path: gelateria, music_store, jewelry_store, party_store, bike_shop, barber_shop, salon, grocery_store, tech_shop, burger_joint, bookstore, cafe, dentist, craft_shop, pet_store : 61580
Saved path: salon, toy_store, noodle_house, grocery_store, tech_shop, bookstore, dentist, craft_shop, pet_store, bank, florist, gym, bakery, bike_shop, barber_shop : 62721
Saved path: bakery, bike_shop, party_store, jewelry_store, salon, noodle_house, clothing_store, grocery_store, tech_shop, burger_joint, bookstore, dentist, florist, gym, hardware_store : 55050
Saved path: pizzeria, craft_shop, florist, gelateria, bike_shop, party_store, bakery, burger_joint, toy_store, salon, noodle_house, clothing_store, grocery_store, cafe, tech_shop : 51372
Saved path: craft_shop, pet_store, bank, pharmacy, bakery, hardware_store, gym, toy_store, noodle_house, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria : 53371
Saved path: jewelry_store, bike_shop, barber_shop, noodle_house, bookstore, cafe, burger_joint, hardware_store, gym, pizzeria, gelateria, bank, music_store, pharmacy, party_store : 70621
Saved path: salon, noodle_house, grocery_store, dentist, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, florist, gelateria, pharmacy, bike_shop, barber_shop : 51648
Saved path: craft_shop, gym, pet_store, gelateria, pharmacy, party_store, bakery, barber_shop, salon, toy_store, noodle_house, clothing_store, grocery_store, bookstore, pizzeria : 57658
Saved path: bike_shop, jewelry_store, barber_shop, toy_store, clothing_store, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, pharmacy, bakery : 61553
Saved path: pet_store, florist, gym, hardware_store, bakery, jewelry_store, barber_shop, salon, toy_store, noodle_house, grocery_store, bookstore, dentist, pizzeria, craft_shop : 60133
Saved path: party_store, hardware_store, salon, clothing_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, gym, craft_shop, pet_store, gelateria, music_store, jewelry_store : 55962
Saved path: gym, florist, music_store, gelateria, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon, toy_store, clothing_store, grocery_store, tech_shop, bookstore : 53429
Saved path: party_store, bike_shop, gym, florist, craft_shop, pizzeria, tech_shop, cafe, grocery_store, clothing_store, noodle_house, salon, toy_store, burger_joint, hardware_store : 52137
Saved path: florist, gelateria, music_store, bike_shop, barber_shop, toy_store, clothing_store, grocery_store, tech_shop, dentist, cafe, bookstore, hardware_store, gym, craft_shop : 52267
Saved path: grocery_store, toy_store, barber_shop, jewelry_store, bakery, pharmacy, gelateria, music_store, florist, pet_store, gym, burger_joint, cafe, pizzeria, tech_shop : 61853
Saved path: dentist, pizzeria, pet_store, florist, gelateria, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe : 56659
