Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, burger_joint, hardware_store, gym, craft_shop, gelateria, bakery : 49617
Saved path: hardware_store, gym, burger_joint, toy_store, clothing_store, dentist, pizzeria, craft_shop, florist, bank, music_store, pharmacy, barber_shop, bike_shop, jewelry_store : 70032
Saved path: salon, toy_store, gym, bike_shop, party_store, pharmacy, bank, gelateria, craft_shop, pizzeria, cafe, bookstore, grocery_store, clothing_store, noodle_house : 63761
Saved path: cafe, tech_shop, clothing_store, toy_store, salon, party_store, bakery, bank, music_store, florist, pet_store, craft_shop, gym, burger_joint, bookstore : 61199
Saved path: burger_joint, bookstore, clothing_store, toy_store, salon, barber_shop, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, gym, hardware_store : 65699
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, noodle_house, hardware_store, bike_shop, jewelry_store, party_store, pharmacy, music_store, bank, pet_store, gym : 60678
Saved path: barber_shop, toy_store, clothing_store, grocery_store, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gym, hardware_store, party_store, jewelry_store, bike_shop : 59080
Saved path: pharmacy, gelateria, pet_store, craft_shop, pizzeria, cafe, bookstore, burger_joint, toy_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery : 57841
Saved path: salon, barber_shop, bike_shop, jewelry_store, pharmacy, music_store, pet_store, gym, hardware_store, burger_joint, bookstore, pizzeria, tech_shop, grocery_store, toy_store : 66098
Saved path: cafe, bookstore, burger_joint, hardware_store, barber_shop, jewelry_store, gelateria, bank, music_store, florist, pizzeria, dentist, clothing_store, grocery_store, tech_shop : 66933
Saved path: party_store, jewelry_store, bakery, music_store, bank, florist, craft_shop, dentist, grocery_store, noodle_house, salon, toy_store, burger_joint, gym, hardware_store : 64418
Saved path: music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, toy_store, noodle_house, grocery_store, bookstore, hardware_store, gym, pizzeria, florist, gelateria : 64951
Saved path: bank, music_store, bakery, jewelry_store, bike_shop, barber_shop, salon, toy_store, clothing_store, dentist, burger_joint, gym, craft_shop, pet_store, gelateria : 68320
Saved path: gym, toy_store, noodle_house, clothing_store, bookstore, dentist, craft_shop, pet_store, florist, bank, pharmacy, bakery, jewelry_store, bike_shop, hardware_store : 65155
Saved path: bakery, pharmacy, music_store, bank, pet_store, craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, toy_store, salon, barber_shop, jewelry_store : 60982
Saved path: burger_joint, bookstore, craft_shop, music_store, bank, pharmacy, jewelry_store, bike_shop, barber_shop, salon, toy_store, noodle_house, grocery_store, tech_shop, cafe : 62251
Saved path: clothing_store, cafe, bookstore, burger_joint, toy_store, salon, hardware_store, jewelry_store, music_store, gelateria, florist, craft_shop, pizzeria, tech_shop, grocery_store : 56580
Saved path: dentist, craft_shop, florist, music_store, gelateria, pharmacy, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, bookstore, cafe : 55977
Saved path: cafe, dentist, grocery_store, noodle_house, toy_store, barber_shop, bike_shop, bakery, pharmacy, gelateria, pet_store, gym, hardware_store, burger_joint, bookstore : 51670
Saved path: dentist, pizzeria, pet_store, bank, gelateria, pharmacy, party_store, jewelry_store, salon, toy_store, clothing_store, grocery_store, tech_shop, burger_joint, cafe : 65945
Saved path: grocery_store, clothing_store, toy_store, barber_shop, bakery, party_store, music_store, florist, pet_store, craft_shop, pizzeria, dentist, burger_joint, cafe, tech_shop : 55908
Saved path: grocery_store, clothing_store, noodle_house, salon, barber_shop, party_store, hardware_store, gym, florist, gelateria, bank, pet_store, pizzeria, tech_shop, cafe : 65045
