Saved path: gelateria, music_store, florist, craft_shop, dentist, cafe, bookstore, gym, hardware_store, toy_store, noodle_house, barber_shop, jewelry_store, bike_shop, bakery : 60189
Saved path: tech_shop, cafe, burger_joint, bookstore, dentist, pizzeria, bank, gelateria, bike_shop, jewelry_store, party_store, hardware_store, toy_store, noodle_house, clothing_store : 65182
Saved path: hardware_store, gym, burger_joint, toy_store, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, florist, bank, gelateria, barber_shop, jewelry_store, party_store : 69005
Saved path: grocery_store, tech_shop, dentist, cafe, bookstore, burger_joint, hardware_store, gym, craft_shop, florist, bank, bakery, barber_shop, toy_store, noodle_house : 57095
Saved path: bike_shop, party_store, hardware_store, salon, toy_store, clothing_store, tech_shop, bookstore, burger_joint, dentist, craft_shop, pet_store, florist, bank, gelateria : 66006
Saved path: hardware_store, salon, toy_store, clothing_store, tech_shop, cafe, gym, craft_shop, gelateria, bank, pharmacy, bakery, bike_shop, jewelry_store, party_store : 61694
Saved path: cafe, clothing_store, tech_shop, dentist, craft_shop, pet_store, florist, bank, gelateria, jewelry_store, party_store, bakery, hardware_store, burger_joint, bookstore : 61627
Saved path: dentist, pizzeria, craft_shop, florist, bank, music_store, barber_shop, salon, toy_store, hardware_store, burger_joint, cafe, tech_shop, grocery_store, clothing_store : 56858
Saved path: bike_shop, party_store, hardware_store, toy_store, noodle_house, bookstore, cafe, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, florist, gym : 64055
Saved path: dentist, pizzeria, grocery_store, noodle_house, toy_store, salon, barber_shop, bike_shop, pharmacy, bank, florist, craft_shop, gym, hardware_store, burger_joint : 63091
Saved path: gym, pet_store, gelateria, pharmacy, bakery, jewelry_store, barber_shop, salon, clothing_store, grocery_store, bookstore, cafe, tech_shop, pizzeria, craft_shop : 59495
Saved path: hardware_store, party_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, gelateria, bank, music_store, florist : 66915
Saved path: craft_shop, florist, music_store, gelateria, bike_shop, party_store, bakery, gym, toy_store, clothing_store, grocery_store, bookstore, burger_joint, cafe, pizzeria : 52214
Saved path: bookstore, cafe, tech_shop, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store, pharmacy, gelateria, bank, pet_store, craft_shop, dentist : 58039
Saved path: party_store, jewelry_store, bike_shop, toy_store, clothing_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, bank, music_store, pharmacy : 65554
Saved path: bakery, bike_shop, party_store, jewelry_store, salon, hardware_store, gym, burger_joint, bookstore, cafe, tech_shop, dentist, pizzeria, florist, pharmacy : 58512
Saved path: noodle_house, clothing_store, tech_shop, cafe, burger_joint, hardware_store, gym, bank, music_store, pharmacy, party_store, jewelry_store, bike_shop, barber_shop, salon : 63076
Saved path: tech_shop, grocery_store, noodle_house, salon, toy_store, bakery, bike_shop, party_store, pharmacy, music_store, bank, florist, craft_shop, dentist, bookstore : 60845
Saved path: pizzeria, dentist, cafe, hardware_store, gym, craft_shop, florist, bank, pharmacy, jewelry_store, barber_shop, salon, clothing_store, grocery_store, tech_shop : 68192
Saved path: noodle_house, clothing_store, grocery_store, tech_shop, dentist, pizzeria, florist, gelateria, bank, music_store, bakery, party_store, hardware_store, gym, bookstore : 59954
Saved path: pizzeria, dentist, bookstore, burger_joint, tech_shop, grocery_store, noodle_house, salon, barber_shop, party_store, jewelry_store, gelateria, bank, florist, pet_store : 71314
Saved path: pizzeria, craft_shop, pet_store, gelateria, music_store, pharmacy, bakery, barber_shop, hardware_store, gym, burger_joint, cafe, grocery_store, clothing_store, dentist : 51743
Saved path: tech_shop, dentist, cafe, bookstore, gym, craft_shop, music_store, bank, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, grocery_store : 68914
Saved path: grocery_store, tech_shop, pizzeria, dentist, cafe, bookstore, gym, florist, bank, pharmacy, bakery, jewelry_store, party_store, hardware_store, salon : 68215
Saved path: noodle_house, barber_shop, bakery, party_store, jewelry_store, hardware_store, gym, pet_store, bank, florist, craft_shop, dentist, cafe, burger_joint, clothing_store : 67452
Saved path: pizzeria, dentist, cafe, grocery_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, bakery, pharmacy, music_store, bank, gym, craft_shop : 67059
Saved path: party_store, jewelry_store, bike_shop, barber_shop, hardware_store, gym, burger_joint, cafe, grocery_store, dentist, pizzeria, craft_shop, pet_store, bank, bakery : 70753
Saved path: salon, noodle_house, clothing_store, grocery_store, tech_shop, dentist, burger_joint, gym, florist, bank, gelateria, pharmacy, bike_shop, jewelry_store, hardware_store : 64291
Saved path: music_store, gelateria, pet_store, craft_shop, dentist, tech_shop, cafe, burger_joint, salon, barber_shop, jewelry_store, party_store, bakery, gym, florist : 62066
Saved path: bookstore, burger_joint, hardware_store, gym, pizzeria, pet_store, florist, gelateria, pharmacy, party_store, jewelry_store, barber_shop, toy_store, clothing_store, grocery_store : 63909
Saved path: barber_shop, toy_store, noodle_house, clothing_store, cafe, bookstore, gym, pet_store, florist, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop : 56439
Saved path: gelateria, bank, party_store, jewelry_store, bike_shop, barber_shop, toy_store, grocery_store, tech_shop, pizzeria, dentist, bookstore, hardware_store, gym, florist : 72222
Saved path: florist, pet_store, pizzeria, tech_shop, grocery_store, clothing_store, cafe, bookstore, burger_joint, toy_store, barber_shop, jewelry_store, party_store, bakery, pharmacy : 57480
Saved path: craft_shop, bookstore, burger_joint, cafe, tech_shop, grocery_store, clothing_store, toy_store, salon, barber_shop, bakery, gelateria, music_store, florist, pet_store : 45872
Saved path: toy_store, salon, noodle_house, burger_joint, bookstore, dentist, pizzeria, craft_shop, florist, music_store, jewelry_store, party_store, bakery, hardware_store, gym : 59154
Saved path: bookstore, dentist, tech_shop, grocery_store, barber_shop, bike_shop, jewelry_store, party_store, pharmacy, gelateria, bank, florist, gym, hardware_store, burger_joint : 68607
Saved path: party_store, bike_shop, barber_shop, salon, toy_store, grocery_store, tech_shop, cafe, bookstore, burger_joint, hardware_store, craft_shop, gelateria, pharmacy, bakery : 51358
Saved path: jewelry_store, party_store, pharmacy, music_store, florist, pet_store, craft_shop, gym, burger_joint, cafe, tech_shop, grocery_store, noodle_house, toy_store, salon : 54700
Saved path: toy_store, burger_joint, bookstore, cafe, clothing_store, tech_shop, pizzeria, craft_shop, pet_store, bank, music_store, pharmacy, bakery, hardware_store, salon : 55392
Saved path: tech_shop, pizzeria, craft_shop, florist, bank, music_store, pharmacy, bakery, bike_shop, bookstore, burger_joint, toy_store, salon, noodle_house, clothing_store : 56598
Saved path: bike_shop, barber_shop, salon, noodle_house, grocery_store, bookstore, cafe, dentist, pizzeria, craft_shop, pet_store, florist, music_store, hardware_store, jewelry_store : 64304
Saved path: burger_joint, bookstore, grocery_store, clothing_store, noodle_house, salon, bike_shop, bakery, gym, florist, gelateria, pet_store, craft_shop, pizzeria, dentist : 54011
Saved path: toy_store, hardware_store, burger_joint, cafe, pizzeria, craft_shop, florist, bank, pharmacy, bakery, party_store, bike_shop, barber_shop, salon, noodle_house : 63446
Saved path: hardware_store, burger_joint, bookstore, tech_shop, dentist, craft_shop, pet_store, florist, music_store, bank, gelateria, jewelry_store, barber_shop, noodle_house, toy_store : 69707
Saved path: toy_store, salon, jewelry_store, party_store, bike_shop, pharmacy, music_store, bank, gelateria, craft_shop, gym, cafe, grocery_store, clothing_store, noodle_house : 60620
