Saved path: grocery_store, clothing_store, noodle_house, salon, toy_store, gym, hardware_store, bakery, bank, music_store, craft_shop, pizzeria, dentist, cafe, tech_shop : 55633
Saved path: clothing_store, noodle_house, salon, barber_shop, jewelry_store, bike_shop, music_store, bank, gelateria, pet_store, craft_shop, bookstore, burger_joint, hardware_store, toy_store : 66017
Saved path: gym, craft_shop, dentist, cafe, burger_joint, salon, jewelry_store, party_store, bike_shop, bakery, pharmacy, bank, gelateria, florist, pet_store : 67717
Saved path: barber_shop, salon, noodle_house, clothing_store, grocery_store, cafe, burger_joint, hardware_store, gym, pizzeria, craft_shop, florist, bank, bike_shop, jewelry_store : 68534
Saved path: bank, music_store, florist, craft_shop, dentist, grocery_store, clothing_store, noodle_house, salon, barber_shop, bakery, bike_shop, jewelry_store, hardware_store, gelateria : 63872
Saved path: florist, gelateria, bike_shop, jewelry_store, party_store, bakery, barber_shop, salon, grocery_store, tech_shop, bookstore, burger_joint, hardware_store, gym, pet_store : 58755
Saved path: bookstore, gym, craft_shop, florist, bank, music_store, pharmacy, bakery, jewelry_store, salon, toy_store, grocery_store, tech_shop, dentist, cafe : 64235
Saved path: pizzeria, dentist, cafe, grocery_store, toy_store, salon, hardware_store, jewelry_store, bakery, pharmacy, gelateria, bank, music_store, florist, pet_store : 65643
Saved path: pizzeria, dentist, burger_joint, gym, bank, gelateria, pharmacy, bakery, party_store, jewelry_store, bike_shop, barber_shop, noodle_house, clothing_store, grocery_store : 68412
Saved path: bakery, pharmacy, bank, florist, pizzeria, cafe, burger_joint, bookstore, grocery_store, clothing_store, toy_store, gym, hardware_store, party_store, jewelry_store : 62720
Saved path: dentist, clothing_store, noodle_house, salon, barber_shop, party_store, jewelry_store, music_store, pet_store, craft_shop, gym, hardware_store, burger_joint, bookstore, cafe : 62422
Saved path: florist, bank, music_store, bike_shop, party_store, jewelry_store, barber_shop, salon, toy_store, noodle_house, clothing_store, tech_shop, cafe, bookstore, dentist : 67019
Saved path: barber_shop, salon, clothing_store, grocery_store, bookstore, burger_joint, cafe, tech_shop, pizzeria, craft_shop, pet_store, florist, gym, bike_shop, bakery : 51482
Saved path: gelateria, florist, pet_store, craft_shop, dentist, cafe, tech_shop, grocery_store, clothing_store, toy_store, hardware_store, jewelry_store, party_store, bakery, pharmacy : 50612
Saved path: bakery, party_store, jewelry_store, bike_shop, barber_shop, salon, noodle_house, clothing_store, tech_shop, cafe, burger_joint, craft_shop, pet_store, bank, music_store : 63624
